ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NSEJIME-1-1,NSEJIME,Nsejime,1,I,m3,,
NSEJIME-2-1,NSEJIME,Nsejime,2,you,y3,,
NSEJIME-3-1,NSEJIME,Nsejime,3,we,s3,,
NSEJIME-11-1,NSEJIME,Nsejime,11,one,mo,,
NSEJIME-18-1,NSEJIME,Nsejime,18,person,mu*,,
NSEJIME-19-1,NSEJIME,Nsejime,19,fish,co,,
NSEJIME-21-1,NSEJIME,Nsejime,21,dog,va,,
NSEJIME-22-1,NSEJIME,Nsejime,22,louse,sina,,
NSEJIME-23-1,NSEJIME,Nsejime,23,tree,te,,
NSEJIME-25-1,NSEJIME,Nsejime,25,leaf,kai,,
NSEJIME-28-1,NSEJIME,Nsejime,28,skin,po,,
NSEJIME-28-2,NSEJIME,Nsejime,28,skin,zib,,
NSEJIME-31-1,NSEJIME,Nsejime,31,bone,kfa,,
NSEJIME-39-1,NSEJIME,Nsejime,39,ear,ci,,
NSEJIME-40-1,NSEJIME,Nsejime,40,eye,i,,
NSEJIME-41-1,NSEJIME,Nsejime,41,nose,muni,,
NSEJIME-43-1,NSEJIME,Nsejime,43,tooth,ini,,
NSEJIME-44-1,NSEJIME,Nsejime,44,tongue,nim,,
NSEJIME-47-1,NSEJIME,Nsejime,47,knee,buE,,
NSEJIME-53-1,NSEJIME,Nsejime,53,liver,sina,,
NSEJIME-54-1,NSEJIME,Nsejime,54,drink,mina,,
NSEJIME-54-2,NSEJIME,Nsejime,54,drink,nE,,
NSEJIME-57-1,NSEJIME,Nsejime,57,see,mw~i,,
NSEJIME-66-1,NSEJIME,Nsejime,66,come,nc~3,,
NSEJIME-74-1,NSEJIME,Nsejime,74,star,5i5i,,
NSEJIME-75-1,NSEJIME,Nsejime,75,water,pei,,
NSEJIME-82-1,NSEJIME,Nsejime,82,fire,sia,,
NSEJIME-85-1,NSEJIME,Nsejime,85,path,buo,,
NSEJIME-92-1,NSEJIME,Nsejime,92,night,Si,,
NSEJIME-95-1,NSEJIME,Nsejime,95,full,Ta,,
NSEJIME-95-2,NSEJIME,Nsejime,95,full,Tua,,
