ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NUMANGGANG-1-1,NUMANGGANG,Numanggang,1,I,nu,,
NUMANGGANG-2-1,NUMANGGANG,Numanggang,2,you,du,,
NUMANGGANG-3-1,NUMANGGANG,Numanggang,3,we,indi,,
NUMANGGANG-11-1,NUMANGGANG,Numanggang,11,one,kubugoN,,
NUMANGGANG-12-1,NUMANGGANG,Numanggang,12,two,lufom,,
NUMANGGANG-21-1,NUMANGGANG,Numanggang,21,dog,kamo,,
NUMANGGANG-22-1,NUMANGGANG,Numanggang,22,louse,tumuN,,
NUMANGGANG-23-1,NUMANGGANG,Numanggang,23,tree,bEm,,
NUMANGGANG-30-1,NUMANGGANG,Numanggang,30,blood,naNgat,,
NUMANGGANG-31-1,NUMANGGANG,Numanggang,31,bone,kitili,,
NUMANGGANG-39-1,NUMANGGANG,Numanggang,39,ear,magi,,
NUMANGGANG-40-1,NUMANGGANG,Numanggang,40,eye,dawi,,
NUMANGGANG-41-1,NUMANGGANG,Numanggang,41,nose,timei,,
NUMANGGANG-44-1,NUMANGGANG,Numanggang,44,tongue,mabalem,,
NUMANGGANG-48-1,NUMANGGANG,Numanggang,48,hand,kohoN,,
NUMANGGANG-51-1,NUMANGGANG,Numanggang,51,breast,nom,,
NUMANGGANG-57-1,NUMANGGANG,Numanggang,57,see,kala,,
NUMANGGANG-58-1,NUMANGGANG,Numanggang,58,hear,nadilak,,
NUMANGGANG-61-1,NUMANGGANG,Numanggang,61,die,kumula,,
NUMANGGANG-66-1,NUMANGGANG,Numanggang,66,come,bula,,
NUMANGGANG-72-1,NUMANGGANG,Numanggang,72,sun,mele,,
NUMANGGANG-74-1,NUMANGGANG,Numanggang,74,star,bamholiNe,,
NUMANGGANG-75-1,NUMANGGANG,Numanggang,75,water,ime,,
NUMANGGANG-77-1,NUMANGGANG,Numanggang,77,stone,kawade,,
NUMANGGANG-82-1,NUMANGGANG,Numanggang,82,fire,kudup,,
NUMANGGANG-85-1,NUMANGGANG,Numanggang,85,path,talik,,
NUMANGGANG-86-1,NUMANGGANG,Numanggang,86,mountain,boboje,,
NUMANGGANG-92-1,NUMANGGANG,Numanggang,92,night,timiN,,
NUMANGGANG-95-1,NUMANGGANG,Numanggang,95,full,takolak,,
NUMANGGANG-96-1,NUMANGGANG,Numanggang,96,new,kobuli,,
NUMANGGANG-100-1,NUMANGGANG,Numanggang,100,name,wou,,
