ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NYAKYUSA_2-11-1,NYAKYUSA_2,Nyakyusa 2,11,one,mo,,
NYAKYUSA_2-12-1,NYAKYUSA_2,Nyakyusa 2,12,two,bili,,
NYAKYUSA_2-18-1,NYAKYUSA_2,Nyakyusa 2,18,person,ndu,,
NYAKYUSA_2-19-1,NYAKYUSA_2,Nyakyusa 2,19,fish,swi,,
NYAKYUSA_2-21-1,NYAKYUSA_2,Nyakyusa 2,21,dog,imbwa,,
NYAKYUSA_2-22-1,NYAKYUSA_2,Nyakyusa 2,22,louse,ngolo,,
NYAKYUSA_2-23-1,NYAKYUSA_2,Nyakyusa 2,23,tree,piki,,
NYAKYUSA_2-25-1,NYAKYUSA_2,Nyakyusa 2,25,leaf,ani,,
NYAKYUSA_2-28-1,NYAKYUSA_2,Nyakyusa 2,28,skin,bili,,
NYAKYUSA_2-30-1,NYAKYUSA_2,Nyakyusa 2,30,blood,lopa,,
NYAKYUSA_2-31-1,NYAKYUSA_2,Nyakyusa 2,31,bone,fupa,,
NYAKYUSA_2-34-1,NYAKYUSA_2,Nyakyusa 2,34,horn,bembe,,
NYAKYUSA_2-34-2,NYAKYUSA_2,Nyakyusa 2,34,horn,pembe,,
NYAKYUSA_2-39-1,NYAKYUSA_2,Nyakyusa 2,39,ear,mbulukutu,,
NYAKYUSA_2-40-1,NYAKYUSA_2,Nyakyusa 2,40,eye,sighe,,
NYAKYUSA_2-40-2,NYAKYUSA_2,Nyakyusa 2,40,eye,maso,,
NYAKYUSA_2-41-1,NYAKYUSA_2,Nyakyusa 2,41,nose,mbulo,,
NYAKYUSA_2-43-1,NYAKYUSA_2,Nyakyusa 2,43,tooth,ino,,
NYAKYUSA_2-44-1,NYAKYUSA_2,Nyakyusa 2,44,tongue,limi,,
NYAKYUSA_2-44-2,NYAKYUSA_2,Nyakyusa 2,44,tongue,dimi,,
NYAKYUSA_2-47-1,NYAKYUSA_2,Nyakyusa 2,47,knee,fundo,,
NYAKYUSA_2-51-1,NYAKYUSA_2,Nyakyusa 2,51,breast,bele,,
NYAKYUSA_2-53-1,NYAKYUSA_2,Nyakyusa 2,53,liver,nie,,
NYAKYUSA_2-54-1,NYAKYUSA_2,Nyakyusa 2,54,drink,mwa,,
NYAKYUSA_2-57-1,NYAKYUSA_2,Nyakyusa 2,57,see,keta,,
NYAKYUSA_2-58-1,NYAKYUSA_2,Nyakyusa 2,58,hear,pilika,,
NYAKYUSA_2-61-1,NYAKYUSA_2,Nyakyusa 2,61,die,fwa,,
NYAKYUSA_2-66-1,NYAKYUSA_2,Nyakyusa 2,66,come,isa,,
NYAKYUSA_2-72-1,NYAKYUSA_2,Nyakyusa 2,72,sun,suba,,
NYAKYUSA_2-74-1,NYAKYUSA_2,Nyakyusa 2,74,star,tonwa,,
NYAKYUSA_2-74-2,NYAKYUSA_2,Nyakyusa 2,74,star,dondwa,,
NYAKYUSA_2-75-1,NYAKYUSA_2,Nyakyusa 2,75,water,misi,,
NYAKYUSA_2-77-1,NYAKYUSA_2,Nyakyusa 2,77,stone,bwe,,
NYAKYUSA_2-82-1,NYAKYUSA_2,Nyakyusa 2,82,fire,moto,,
NYAKYUSA_2-85-1,NYAKYUSA_2,Nyakyusa 2,85,path,njila,,
NYAKYUSA_2-86-1,NYAKYUSA_2,Nyakyusa 2,86,mountain,amba,,
NYAKYUSA_2-92-1,NYAKYUSA_2,Nyakyusa 2,92,night,pakilo,,
NYAKYUSA_2-95-1,NYAKYUSA_2,Nyakyusa 2,95,full,isula,,
NYAKYUSA_2-96-1,NYAKYUSA_2,Nyakyusa 2,96,new,pya,,
NYAKYUSA_2-100-1,NYAKYUSA_2,Nyakyusa 2,100,name,ngamu,,
