ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NYUNGWE-1-1,NYUNGWE,Nyungwe,1,I,ine,,
NYUNGWE-2-1,NYUNGWE,Nyungwe,2,you,iwe,,
NYUNGWE-3-1,NYUNGWE,Nyungwe,3,we,ife,,
NYUNGWE-11-1,NYUNGWE,Nyungwe,11,one,posi,,
NYUNGWE-12-1,NYUNGWE,Nyungwe,12,two,piri,,
NYUNGWE-18-1,NYUNGWE,Nyungwe,18,person,nttu,,
NYUNGWE-19-1,NYUNGWE,Nyungwe,19,fish,zomba,,
NYUNGWE-21-1,NYUNGWE,Nyungwe,21,dog,bua,,
NYUNGWE-22-1,NYUNGWE,Nyungwe,22,louse,zavava,,
NYUNGWE-23-1,NYUNGWE,Nyungwe,23,tree,ti,,
NYUNGWE-25-1,NYUNGWE,Nyungwe,25,leaf,camba,,
NYUNGWE-28-1,NYUNGWE,Nyungwe,28,skin,kanda,,
NYUNGWE-30-1,NYUNGWE,Nyungwe,30,blood,ropa,,
NYUNGWE-31-1,NYUNGWE,Nyungwe,31,bone,fupa,,
NYUNGWE-34-1,NYUNGWE,Nyungwe,34,horn,nyaNga,,
NYUNGWE-39-1,NYUNGWE,Nyungwe,39,ear,kutu,,
NYUNGWE-40-1,NYUNGWE,Nyungwe,40,eye,so,,
NYUNGWE-41-1,NYUNGWE,Nyungwe,41,nose,puno,,
NYUNGWE-43-1,NYUNGWE,Nyungwe,43,tooth,no,,
NYUNGWE-44-1,NYUNGWE,Nyungwe,44,tongue,rimi,,
NYUNGWE-47-1,NYUNGWE,Nyungwe,47,knee,bondo,,
NYUNGWE-51-1,NYUNGWE,Nyungwe,51,breast,zuku,,
NYUNGWE-53-1,NYUNGWE,Nyungwe,53,liver,Siropa,,
NYUNGWE-54-1,NYUNGWE,Nyungwe,54,drink,ma,,
NYUNGWE-57-1,NYUNGWE,Nyungwe,57,see,ona,,
NYUNGWE-58-1,NYUNGWE,Nyungwe,58,hear,boa,,
NYUNGWE-61-1,NYUNGWE,Nyungwe,61,die,fa,,
NYUNGWE-66-1,NYUNGWE,Nyungwe,66,come,ca,,
NYUNGWE-72-1,NYUNGWE,Nyungwe,72,sun,zuva,,
NYUNGWE-74-1,NYUNGWE,Nyungwe,74,star,nyenyezi,,
NYUNGWE-75-1,NYUNGWE,Nyungwe,75,water,Ce,,
NYUNGWE-77-1,NYUNGWE,Nyungwe,77,stone,muara,,
NYUNGWE-82-1,NYUNGWE,Nyungwe,82,fire,moto,,
NYUNGWE-85-1,NYUNGWE,Nyungwe,85,path,Cira,,
NYUNGWE-86-1,NYUNGWE,Nyungwe,86,mountain,piri,,
NYUNGWE-92-1,NYUNGWE,Nyungwe,92,night,usiku,,
NYUNGWE-95-1,NYUNGWE,Nyungwe,95,full,cara,,
NYUNGWE-96-1,NYUNGWE,Nyungwe,96,new,mupea,,
NYUNGWE-100-1,NYUNGWE,Nyungwe,100,name,cina,,
