ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
OAXACA_CHONTAL-1-1,OAXACA_CHONTAL,Oaxaca Chontal,1,I,iya7,,
OAXACA_CHONTAL-2-1,OAXACA_CHONTAL,Oaxaca Chontal,2,you,ima7,,
OAXACA_CHONTAL-3-1,OAXACA_CHONTAL,Oaxaca Chontal,3,we,"iyank""",,
OAXACA_CHONTAL-11-1,OAXACA_CHONTAL,Oaxaca Chontal,11,one,5uly~i,,
OAXACA_CHONTAL-12-1,OAXACA_CHONTAL,Oaxaca Chontal,12,two,kwesi7,,
OAXACA_CHONTAL-12-2,OAXACA_CHONTAL,Oaxaca Chontal,12,two,ukwe7,,
OAXACA_CHONTAL-18-1,OAXACA_CHONTAL,Oaxaca Chontal,18,person,asans,,
OAXACA_CHONTAL-19-1,OAXACA_CHONTAL,Oaxaca Chontal,19,fish,aty~u,,
OAXACA_CHONTAL-21-1,OAXACA_CHONTAL,Oaxaca Chontal,21,dog,mily~a,,
OAXACA_CHONTAL-22-1,OAXACA_CHONTAL,Oaxaca Chontal,22,louse,aykwih,,
OAXACA_CHONTAL-23-1,OAXACA_CHONTAL,Oaxaca Chontal,23,tree,ex,,
OAXACA_CHONTAL-25-1,OAXACA_CHONTAL,Oaxaca Chontal,25,leaf,ipela,,
OAXACA_CHONTAL-28-1,OAXACA_CHONTAL,Oaxaca Chontal,28,skin,esmi,,
OAXACA_CHONTAL-30-1,OAXACA_CHONTAL,Oaxaca Chontal,30,blood,"awxac""",,
OAXACA_CHONTAL-31-1,OAXACA_CHONTAL,Oaxaca Chontal,31,bone,ekaL,,
OAXACA_CHONTAL-39-1,OAXACA_CHONTAL,Oaxaca Chontal,39,ear,asmas,,
OAXACA_CHONTAL-40-1,OAXACA_CHONTAL,Oaxaca Chontal,40,eye,u,,
OAXACA_CHONTAL-41-1,OAXACA_CHONTAL,Oaxaca Chontal,41,nose,naL,,
OAXACA_CHONTAL-43-1,OAXACA_CHONTAL,Oaxaca Chontal,43,tooth,a7ay,,
OAXACA_CHONTAL-44-1,OAXACA_CHONTAL,Oaxaca Chontal,44,tongue,apaL,,
OAXACA_CHONTAL-47-1,OAXACA_CHONTAL,Oaxaca Chontal,47,knee,ankonne,,
OAXACA_CHONTAL-48-1,OAXACA_CHONTAL,Oaxaca Chontal,48,hand,mane,,
OAXACA_CHONTAL-53-1,OAXACA_CHONTAL,Oaxaca Chontal,53,liver,enteda,,
OAXACA_CHONTAL-54-1,OAXACA_CHONTAL,Oaxaca Chontal,54,drink,sna,,
OAXACA_CHONTAL-57-1,OAXACA_CHONTAL,Oaxaca Chontal,57,see,sin,,
OAXACA_CHONTAL-58-1,OAXACA_CHONTAL,Oaxaca Chontal,58,hear,tay,,
OAXACA_CHONTAL-61-1,OAXACA_CHONTAL,Oaxaca Chontal,61,die,ma,,
OAXACA_CHONTAL-66-1,OAXACA_CHONTAL,Oaxaca Chontal,66,come,mayyu,,
OAXACA_CHONTAL-66-2,OAXACA_CHONTAL,Oaxaca Chontal,66,come,pa7,,
OAXACA_CHONTAL-74-1,OAXACA_CHONTAL,Oaxaca Chontal,74,star,sanna,,
OAXACA_CHONTAL-75-1,OAXACA_CHONTAL,Oaxaca Chontal,75,water,axa7,,
OAXACA_CHONTAL-77-1,OAXACA_CHONTAL,Oaxaca Chontal,77,stone,apix,,
OAXACA_CHONTAL-82-1,OAXACA_CHONTAL,Oaxaca Chontal,82,fire,unkwa,,
OAXACA_CHONTAL-85-1,OAXACA_CHONTAL,Oaxaca Chontal,85,path,ane,,
OAXACA_CHONTAL-86-1,OAXACA_CHONTAL,Oaxaca Chontal,86,mountain,iwxala,,
OAXACA_CHONTAL-92-1,OAXACA_CHONTAL,Oaxaca Chontal,92,night,ipugi7,,
OAXACA_CHONTAL-95-1,OAXACA_CHONTAL,Oaxaca Chontal,95,full,manda,,
OAXACA_CHONTAL-96-1,OAXACA_CHONTAL,Oaxaca Chontal,96,new,"ac""e",,
OAXACA_CHONTAL-100-1,OAXACA_CHONTAL,Oaxaca Chontal,100,name,gufty~i5e,,
