ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
OI-1-1,OI,Oi,1,I,aL,,
OI-2-1,OI,Oi,2,you,sa3,,
OI-2-2,OI,Oi,2,you,sal,,
OI-3-1,OI,Oi,3,we,na,,
OI-11-1,OI,Oi,11,one,muy,,
OI-12-1,OI,Oi,12,two,bar,,
OI-19-1,OI,Oi,19,fish,tr3,,
OI-21-1,OI,Oi,21,dog,To,,
OI-22-1,OI,Oi,22,louse,Tay,,
OI-23-1,OI,Oi,23,tree,loN,,
OI-25-1,OI,Oi,25,leaf,hla,,
OI-28-1,OI,Oi,28,skin,sruat,,
OI-30-1,OI,Oi,30,blood,ph~am,,
OI-31-1,OI,Oi,31,bone,kr3d3N,,
OI-34-1,OI,Oi,34,horn,takuay,,
OI-39-1,OI,Oi,39,ear,trapit,,
OI-40-1,OI,Oi,40,eye,mat,,
OI-41-1,OI,Oi,41,nose,muh,,
OI-43-1,OI,Oi,43,tooth,p3N,,
OI-44-1,OI,Oi,44,tongue,sapiat,,
OI-47-1,OI,Oi,47,knee,trakaw,,
OI-48-1,OI,Oi,48,hand,ti,,
OI-51-1,OI,Oi,51,breast,toh,,
OI-53-1,OI,Oi,53,liver,kl3m,,
OI-57-1,OI,Oi,57,see,ta3,,
OI-58-1,OI,Oi,58,hear,ndoN,,
OI-61-1,OI,Oi,61,die,ket,,
OI-66-1,OI,Oi,66,come,b3h,,
OI-72-1,OI,Oi,72,sun,taNay,,
OI-74-1,OI,Oi,74,star,patuar,,
OI-75-1,OI,Oi,75,water,dak,,
OI-77-1,OI,Oi,77,stone,tamo,,
OI-82-1,OI,Oi,82,fire,u5,,
OI-85-1,OI,Oi,85,path,truoN,,
OI-86-1,OI,Oi,86,mountain,bru,,
OI-92-1,OI,Oi,92,night,maN,,
OI-95-1,OI,Oi,95,full,biN,,
OI-96-1,OI,Oi,96,new,naw,,
