ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
OLD_TAMIL-2-1,OLD_TAMIL,Old Tamil,2,you,ni,,
OLD_TAMIL-18-1,OLD_TAMIL,Old Tamil,18,person,oru,,
OLD_TAMIL-19-1,OLD_TAMIL,Old Tamil,19,fish,min,,
OLD_TAMIL-19-2,OLD_TAMIL,Old Tamil,19,fish,aral,,
OLD_TAMIL-21-1,OLD_TAMIL,Old Tamil,21,dog,nay,,
OLD_TAMIL-23-1,OLD_TAMIL,Old Tamil,23,tree,marat,,
OLD_TAMIL-23-2,OLD_TAMIL,Old Tamil,23,tree,wazai,,
OLD_TAMIL-25-1,OLD_TAMIL,Old Tamil,25,leaf,totu,,
OLD_TAMIL-25-2,OLD_TAMIL,Old Tamil,25,leaf,ilai,,
OLD_TAMIL-40-1,OLD_TAMIL,Old Tamil,40,eye,kan,,
OLD_TAMIL-43-1,OLD_TAMIL,Old Tamil,43,tooth,eyiru,,
OLD_TAMIL-48-1,OLD_TAMIL,Old Tamil,48,hand,kai,,
OLD_TAMIL-51-1,OLD_TAMIL,Old Tamil,51,breast,niram,,
OLD_TAMIL-51-2,OLD_TAMIL,Old Tamil,51,breast,marpu,,
OLD_TAMIL-57-1,OLD_TAMIL,Old Tamil,57,see,kan,,
OLD_TAMIL-57-2,OLD_TAMIL,Old Tamil,57,see,par,,
OLD_TAMIL-58-1,OLD_TAMIL,Old Tamil,58,hear,kel,,
OLD_TAMIL-66-1,OLD_TAMIL,Old Tamil,66,come,wa,,
OLD_TAMIL-75-1,OLD_TAMIL,Old Tamil,75,water,nir,,
OLD_TAMIL-77-1,OLD_TAMIL,Old Tamil,77,stone,kal,,
OLD_TAMIL-77-2,OLD_TAMIL,Old Tamil,77,stone,arai,,
OLD_TAMIL-85-1,OLD_TAMIL,Old Tamil,85,path,neri,,
OLD_TAMIL-86-1,OLD_TAMIL,Old Tamil,86,mountain,malai,,
OLD_TAMIL-86-2,OLD_TAMIL,Old Tamil,86,mountain,Tilamp,,
OLD_TAMIL-86-3,OLD_TAMIL,Old Tamil,86,mountain,varai,,
OLD_TAMIL-92-1,OLD_TAMIL,Old Tamil,92,night,irawu,,
OLD_TAMIL-92-2,OLD_TAMIL,Old Tamil,92,night,irul,,
OLD_TAMIL-96-1,OLD_TAMIL,Old Tamil,96,new,putu,,
