ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
OREJON_2-1-1,OREJON_2,Orejon 2,1,I,yi,,
OREJON_2-2-1,OREJON_2,Orejon 2,2,you,m3,,
OREJON_2-3-1,OREJON_2,Orejon 2,3,we,mai,,
OREJON_2-11-1,OREJON_2,Orejon 2,11,one,te,,
OREJON_2-12-1,OREJON_2,Orejon 2,12,two,tepe,,
OREJON_2-18-1,OREJON_2,Orejon 2,18,person,mai,,
OREJON_2-19-1,OREJON_2,Orejon 2,19,fish,yadibai,,
OREJON_2-21-1,OREJON_2,Orejon 2,21,dog,yai xoyi,,
OREJON_2-22-1,OREJON_2,Orejon 2,22,louse,3*,,
OREJON_2-25-1,OREJON_2,Orejon 2,25,leaf,xao,,
OREJON_2-28-1,OREJON_2,Orejon 2,28,skin,anib3,,
OREJON_2-30-1,OREJON_2,Orejon 2,30,blood,maxabe,,
OREJON_2-31-1,OREJON_2,Orejon 2,31,bone,tadab3,,
OREJON_2-39-1,OREJON_2,Orejon 2,39,ear,a*xo*do,,
OREJON_2-40-1,OREJON_2,Orejon 2,40,eye,5akoa,,
OREJON_2-41-1,OREJON_2,Orejon 2,41,nose,u*keb3,,
OREJON_2-43-1,OREJON_2,Orejon 2,43,tooth,u*xi*,,
OREJON_2-44-1,OREJON_2,Orejon 2,44,tongue,nemetoyo,,
OREJON_2-48-1,OREJON_2,Orejon 2,48,hand,x3t3,,
OREJON_2-51-1,OREJON_2,Orejon 2,51,breast,kotib3,,
OREJON_2-53-1,OREJON_2,Orejon 2,53,liver,nemeb3,,
OREJON_2-54-1,OREJON_2,Orejon 2,54,drink,u*ku,,
OREJON_2-57-1,OREJON_2,Orejon 2,57,see,5ia,,
OREJON_2-58-1,OREJON_2,Orejon 2,58,hear,asa,,
OREJON_2-61-1,OREJON_2,Orejon 2,61,die,xu*i*,,
OREJON_2-66-1,OREJON_2,Orejon 2,66,come,dai,,
OREJON_2-74-1,OREJON_2,Orejon 2,74,star,tuku,,
OREJON_2-75-1,OREJON_2,Orejon 2,75,water,oko,,
OREJON_2-77-1,OREJON_2,Orejon 2,77,stone,ata,,
OREJON_2-77-2,OREJON_2,Orejon 2,77,stone,3no,,
OREJON_2-82-1,OREJON_2,Orejon 2,82,fire,toa,,
OREJON_2-85-1,OREJON_2,Orejon 2,85,path,ma,,
OREJON_2-92-1,OREJON_2,Orejon 2,92,night,5ami,,
OREJON_2-96-1,OREJON_2,Orejon 2,96,new,mama,,
OREJON_2-100-1,OREJON_2,Orejon 2,100,name,mami,,
