ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
OROKOLO-1-1,OROKOLO,Orokolo,1,I,ara,,
OROKOLO-3-1,OROKOLO,Orokolo,3,we,elavila,,
OROKOLO-11-1,OROKOLO,Orokolo,11,one,haroapo,,
OROKOLO-12-1,OROKOLO,Orokolo,12,two,orahokaila,,
OROKOLO-18-1,OROKOLO,Orokolo,18,person,haela,,
OROKOLO-19-1,OROKOLO,Orokolo,19,fish,ekaka,,
OROKOLO-21-1,OROKOLO,Orokolo,21,dog,ave,,
OROKOLO-22-1,OROKOLO,Orokolo,22,louse,karula,,
OROKOLO-23-1,OROKOLO,Orokolo,23,tree,kora,,
OROKOLO-25-1,OROKOLO,Orokolo,25,leaf,korokoro,,
OROKOLO-28-1,OROKOLO,Orokolo,28,skin,maea ilu,,
OROKOLO-30-1,OROKOLO,Orokolo,30,blood,apu,,
OROKOLO-31-1,OROKOLO,Orokolo,31,bone,uki,,
OROKOLO-39-1,OROKOLO,Orokolo,39,ear,avako,,
OROKOLO-40-1,OROKOLO,Orokolo,40,eye,ovohae,,
OROKOLO-41-1,OROKOLO,Orokolo,41,nose,overa,,
OROKOLO-43-1,OROKOLO,Orokolo,43,tooth,kao,,
OROKOLO-44-1,OROKOLO,Orokolo,44,tongue,auli,,
OROKOLO-48-1,OROKOLO,Orokolo,48,hand,mai,,
OROKOLO-53-1,OROKOLO,Orokolo,53,liver,iki,,
OROKOLO-54-1,OROKOLO,Orokolo,54,drink,ma lara,,
OROKOLO-57-1,OROKOLO,Orokolo,57,see,ovohae eava,,
OROKOLO-58-1,OROKOLO,Orokolo,58,hear,iapa,,
OROKOLO-61-1,OROKOLO,Orokolo,61,die,apa,,
OROKOLO-66-1,OROKOLO,Orokolo,66,come,iki,,
OROKOLO-66-2,OROKOLO,Orokolo,66,come,eke,,
OROKOLO-72-1,OROKOLO,Orokolo,72,sun,hare,,
OROKOLO-74-1,OROKOLO,Orokolo,74,star,kou,,
OROKOLO-75-1,OROKOLO,Orokolo,75,water,ma,,
OROKOLO-77-1,OROKOLO,Orokolo,77,stone,have,,
OROKOLO-85-1,OROKOLO,Orokolo,85,path,oki,,
OROKOLO-85-2,OROKOLO,Orokolo,85,path,okiharo,,
OROKOLO-86-1,OROKOLO,Orokolo,86,mountain,kela,,
OROKOLO-92-1,OROKOLO,Orokolo,92,night,oroa,,
OROKOLO-96-1,OROKOLO,Orokolo,96,new,are,,
OROKOLO-100-1,OROKOLO,Orokolo,100,name,rare,,
