ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PAAMA_FAULILI-1-1,PAAMA_FAULILI,Paama Faulili,1,I,inau,,
PAAMA_FAULILI-2-1,PAAMA_FAULILI,Paama Faulili,2,you,kaiko,,
PAAMA_FAULILI-3-1,PAAMA_FAULILI,Paama Faulili,3,we,ir,,
PAAMA_FAULILI-11-1,PAAMA_FAULILI,Paama Faulili,11,one,tae,,
PAAMA_FAULILI-12-1,PAAMA_FAULILI,Paama Faulili,12,two,lu,,
PAAMA_FAULILI-18-1,PAAMA_FAULILI,Paama Faulili,18,person,haitenek,,
PAAMA_FAULILI-21-1,PAAMA_FAULILI,Paama Faulili,21,dog,huli,,
PAAMA_FAULILI-22-1,PAAMA_FAULILI,Paama Faulili,22,louse,aut,,
PAAMA_FAULILI-25-1,PAAMA_FAULILI,Paama Faulili,25,leaf,lawai,,
PAAMA_FAULILI-28-1,PAAMA_FAULILI,Paama Faulili,28,skin,hilife,,
PAAMA_FAULILI-30-1,PAAMA_FAULILI,Paama Faulili,30,blood,ra,,
PAAMA_FAULILI-31-1,PAAMA_FAULILI,Paama Faulili,31,bone,si,,
PAAMA_FAULILI-39-1,PAAMA_FAULILI,Paama Faulili,39,ear,raliNo,,
PAAMA_FAULILI-40-1,PAAMA_FAULILI,Paama Faulili,40,eye,meto,,
PAAMA_FAULILI-41-1,PAAMA_FAULILI,Paama Faulili,41,nose,Nasu,,
PAAMA_FAULILI-43-1,PAAMA_FAULILI,Paama Faulili,43,tooth,luho,,
PAAMA_FAULILI-44-1,PAAMA_FAULILI,Paama Faulili,44,tongue,me,,
PAAMA_FAULILI-48-1,PAAMA_FAULILI,Paama Faulili,48,hand,he,,
PAAMA_FAULILI-53-1,PAAMA_FAULILI,Paama Faulili,53,liver,leato,,
PAAMA_FAULILI-54-1,PAAMA_FAULILI,Paama Faulili,54,drink,muni,,
PAAMA_FAULILI-57-1,PAAMA_FAULILI,Paama Faulili,57,see,lesi,,
PAAMA_FAULILI-58-1,PAAMA_FAULILI,Paama Faulili,58,hear,kiloNe,,
PAAMA_FAULILI-61-1,PAAMA_FAULILI,Paama Faulili,61,die,mat,,
PAAMA_FAULILI-66-1,PAAMA_FAULILI,Paama Faulili,66,come,hamai,,
PAAMA_FAULILI-72-1,PAAMA_FAULILI,Paama Faulili,72,sun,mete alo,,
PAAMA_FAULILI-74-1,PAAMA_FAULILI,Paama Faulili,74,star,hitu,,
PAAMA_FAULILI-77-1,PAAMA_FAULILI,Paama Faulili,77,stone,ahatu,,
PAAMA_FAULILI-82-1,PAAMA_FAULILI,Paama Faulili,82,fire,ahaNo,,
PAAMA_FAULILI-85-1,PAAMA_FAULILI,Paama Faulili,85,path,sisel,,
PAAMA_FAULILI-86-1,PAAMA_FAULILI,Paama Faulili,86,mountain,hau,,
PAAMA_FAULILI-92-1,PAAMA_FAULILI,Paama Faulili,92,night,foNien,,
PAAMA_FAULILI-96-1,PAAMA_FAULILI,Paama Faulili,96,new,haitehau,,
PAAMA_FAULILI-100-1,PAAMA_FAULILI,Paama Faulili,100,name,iso,,
