ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PACOH-1-1,PACOH,Pacoh,1,I,k3,,
PACOH-2-1,PACOH,Pacoh,2,you,may,,
PACOH-3-1,PACOH,Pacoh,3,we,hE,,
PACOH-11-1,PACOH,Pacoh,11,one,moy,,
PACOH-12-1,PACOH,Pacoh,12,two,bar,,
PACOH-18-1,PACOH,Pacoh,18,person,tikuay,,
PACOH-19-1,PACOH,Pacoh,19,fish,buay7,,
PACOH-21-1,PACOH,Pacoh,21,dog,3To,,
PACOH-22-1,PACOH,Pacoh,22,louse,nTe,,
PACOH-23-1,PACOH,Pacoh,23,tree,3loN,,
PACOH-25-1,PACOH,Pacoh,25,leaf,ula,,
PACOH-28-1,PACOH,Pacoh,28,skin,nkar,,
PACOH-30-1,PACOH,Pacoh,30,blood,3ham,,
PACOH-31-1,PACOH,Pacoh,31,bone,NhaN,,
PACOH-34-1,PACOH,Pacoh,34,horn,t3Nkoy,,
PACOH-39-1,PACOH,Pacoh,39,ear,kutor,,
PACOH-40-1,PACOH,Pacoh,40,eye,mat,,
PACOH-41-1,PACOH,Pacoh,41,nose,moh,,
PACOH-43-1,PACOH,Pacoh,43,tooth,kinEN,,
PACOH-44-1,PACOH,Pacoh,44,tongue,nta7,,
PACOH-47-1,PACOH,Pacoh,47,knee,t3rkol,,
PACOH-48-1,PACOH,Pacoh,48,hand,3ti,,
PACOH-51-1,PACOH,Pacoh,51,breast,toh,,
PACOH-53-1,PACOH,Pacoh,53,liver,lom,,
PACOH-54-1,PACOH,Pacoh,54,drink,Noy7,,
PACOH-57-1,PACOH,Pacoh,57,see,hom,,
PACOH-58-1,PACOH,Pacoh,58,hear,hom,,
PACOH-61-1,PACOH,Pacoh,61,die,Tet,,
PACOH-66-1,PACOH,Pacoh,66,come,to7,,
PACOH-72-1,PACOH,Pacoh,72,sun,mat r3baN,,
PACOH-75-1,PACOH,Pacoh,75,water,da7,,
PACOH-77-1,PACOH,Pacoh,77,stone,bul,,
PACOH-82-1,PACOH,Pacoh,82,fire,uyh,,
PACOH-85-1,PACOH,Pacoh,85,path,karna,,
PACOH-86-1,PACOH,Pacoh,86,mountain,koh,,
PACOH-92-1,PACOH,Pacoh,92,night,idaw,,
PACOH-95-1,PACOH,Pacoh,95,full,bi5,,
PACOH-95-2,PACOH,Pacoh,95,full,b35,,
PACOH-96-1,PACOH,Pacoh,96,new,t3mmE,,
PACOH-100-1,PACOH,Pacoh,100,name,noh,,
