ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PAGU-1-1,PAGU,Pagu,1,I,Noi,,
PAGU-2-1,PAGU,Pagu,2,you,ngona,,
PAGU-2-2,PAGU,Pagu,2,you,Nini,,
PAGU-3-1,PAGU,Pagu,3,we,None,,
PAGU-3-2,PAGU,Pagu,3,we,Nomi mi,,
PAGU-11-1,PAGU,Pagu,11,one,mudu moi,,
PAGU-12-1,PAGU,Pagu,12,two,modidi,,
PAGU-18-1,PAGU,Pagu,18,person,5awa,,
PAGU-19-1,PAGU,Pagu,19,fish,naok,,
PAGU-21-1,PAGU,Pagu,21,dog,kaso,,
PAGU-22-1,PAGU,Pagu,22,louse,atom,,
PAGU-22-2,PAGU,Pagu,22,louse,gani,,
PAGU-23-1,PAGU,Pagu,23,tree,gota,,
PAGU-25-1,PAGU,Pagu,25,leaf,soka,,
PAGU-28-1,PAGU,Pagu,28,skin,kai,,
PAGU-30-1,PAGU,Pagu,30,blood,aunum,,
PAGU-31-1,PAGU,Pagu,31,bone,koboN,,
PAGU-39-1,PAGU,Pagu,39,ear,NaukNauku,,
PAGU-39-2,PAGU,Pagu,39,ear,ngau7u,,
PAGU-40-1,PAGU,Pagu,40,eye,lako,,
PAGU-43-1,PAGU,Pagu,43,tooth,iNil,,
PAGU-44-1,PAGU,Pagu,44,tongue,akeri,,
PAGU-44-2,PAGU,Pagu,44,tongue,akil,,
PAGU-47-1,PAGU,Pagu,47,knee,bubuku,,
PAGU-48-1,PAGU,Pagu,48,hand,giama,,
PAGU-51-1,PAGU,Pagu,51,breast,susu,,
PAGU-53-1,PAGU,Pagu,53,liver,gatel,,
PAGU-54-1,PAGU,Pagu,54,drink,okel,,
PAGU-54-2,PAGU,Pagu,54,drink,okele,,
PAGU-57-1,PAGU,Pagu,57,see,Nolik,,
PAGU-58-1,PAGU,Pagu,58,hear,sigisene,,
PAGU-61-1,PAGU,Pagu,61,die,soneN,,
PAGU-66-1,PAGU,Pagu,66,come,sapoN,,
PAGU-72-1,PAGU,Pagu,72,sun,waNe,,
PAGU-74-1,PAGU,Pagu,74,star,NaNama,,
PAGU-75-1,PAGU,Pagu,75,water,akel,,
PAGU-77-1,PAGU,Pagu,77,stone,mamaliN,,
PAGU-82-1,PAGU,Pagu,82,fire,uku,,
PAGU-85-1,PAGU,Pagu,85,path,Nekom,,
PAGU-85-2,PAGU,Pagu,85,path,tapak,,
PAGU-86-1,PAGU,Pagu,86,mountain,yeku,,
PAGU-92-1,PAGU,Pagu,92,night,lobi,,
PAGU-92-2,PAGU,Pagu,92,night,lobili,,
PAGU-95-1,PAGU,Pagu,95,full,de ma deaka,,
PAGU-96-1,PAGU,Pagu,96,new,ma suNi,,
PAGU-100-1,PAGU,Pagu,100,name,lomaN,,
PAGU-100-2,PAGU,Pagu,100,name,lomaNa,,
