ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PAPORA_2-1-1,PAPORA_2,Papora 2,1,I,ujiga,,
PAPORA_2-1-2,PAPORA_2,Papora 2,1,I,uji,,
PAPORA_2-1-3,PAPORA_2,Papora 2,1,I,loli,,
PAPORA_2-2-1,PAPORA_2,Papora 2,2,you,nauga,,
PAPORA_2-2-2,PAPORA_2,Papora 2,2,you,nao,,
PAPORA_2-2-3,PAPORA_2,Papora 2,2,you,lo,,
PAPORA_2-3-1,PAPORA_2,Papora 2,3,we,atkun,,
PAPORA_2-11-1,PAPORA_2,Papora 2,11,one,mital,,
PAPORA_2-11-2,PAPORA_2,Papora 2,11,one,metara,,
PAPORA_2-11-3,PAPORA_2,Papora 2,11,one,myata,,
PAPORA_2-11-4,PAPORA_2,Papora 2,11,one,meta,,
PAPORA_2-11-5,PAPORA_2,Papora 2,11,one,itta,,
PAPORA_2-11-6,PAPORA_2,Papora 2,11,one,ata,,
PAPORA_2-11-7,PAPORA_2,Papora 2,11,one,tasa,,
PAPORA_2-11-8,PAPORA_2,Papora 2,11,one,minun,,
PAPORA_2-12-1,PAPORA_2,Papora 2,12,two,misa,,
PAPORA_2-12-2,PAPORA_2,Papora 2,12,two,mesa,,
PAPORA_2-12-3,PAPORA_2,Papora 2,12,two,miSa,,
PAPORA_2-12-4,PAPORA_2,Papora 2,12,two,mil,,
PAPORA_2-12-5,PAPORA_2,Papora 2,12,two,lusa,,
PAPORA_2-12-6,PAPORA_2,Papora 2,12,two,rusa,,
PAPORA_2-12-7,PAPORA_2,Papora 2,12,two,lisat,,
PAPORA_2-12-8,PAPORA_2,Papora 2,12,two,kipala,,
PAPORA_2-12-9,PAPORA_2,Papora 2,12,two,kipara,,
PAPORA_2-12-10,PAPORA_2,Papora 2,12,two,kiparya,,
PAPORA_2-18-1,PAPORA_2,Papora 2,18,person,sau,,
PAPORA_2-18-2,PAPORA_2,Papora 2,18,person,ssau,,
PAPORA_2-18-3,PAPORA_2,Papora 2,18,person,sao,,
PAPORA_2-19-1,PAPORA_2,Papora 2,19,fish,sikan,,
PAPORA_2-19-2,PAPORA_2,Papora 2,19,fish,sukan,,
PAPORA_2-19-3,PAPORA_2,Papora 2,19,fish,sskan,,
PAPORA_2-19-4,PAPORA_2,Papora 2,19,fish,cukkan,,
PAPORA_2-19-5,PAPORA_2,Papora 2,19,fish,ckan,,
PAPORA_2-19-6,PAPORA_2,Papora 2,19,fish,likan,,
PAPORA_2-19-7,PAPORA_2,Papora 2,19,fish,sikan,,
PAPORA_2-19-8,PAPORA_2,Papora 2,19,fish,usikan,,
PAPORA_2-19-9,PAPORA_2,Papora 2,19,fish,hipu,,
PAPORA_2-19-10,PAPORA_2,Papora 2,19,fish,ibu,,
PAPORA_2-19-11,PAPORA_2,Papora 2,19,fish,usikan,,
PAPORA_2-21-1,PAPORA_2,Papora 2,21,dog,atu,,
PAPORA_2-21-2,PAPORA_2,Papora 2,21,dog,atou,,
PAPORA_2-21-3,PAPORA_2,Papora 2,21,dog,ato,,
PAPORA_2-21-4,PAPORA_2,Papora 2,21,dog,acu,,
PAPORA_2-22-1,PAPORA_2,Papora 2,22,louse,usu,,
PAPORA_2-30-1,PAPORA_2,Papora 2,30,blood,maregran,,
PAPORA_2-30-2,PAPORA_2,Papora 2,30,blood,ddoi,,
PAPORA_2-39-1,PAPORA_2,Papora 2,39,ear,saNina,,
PAPORA_2-39-2,PAPORA_2,Papora 2,39,ear,saninna,,
PAPORA_2-39-3,PAPORA_2,Papora 2,39,ear,saNila,,
PAPORA_2-39-4,PAPORA_2,Papora 2,39,ear,sa ira,,
PAPORA_2-39-5,PAPORA_2,Papora 2,39,ear,saNera,,
PAPORA_2-39-6,PAPORA_2,Papora 2,39,ear,saNida,,
PAPORA_2-39-7,PAPORA_2,Papora 2,39,ear,sarina,,
PAPORA_2-39-8,PAPORA_2,Papora 2,39,ear,sarinna,,
PAPORA_2-39-9,PAPORA_2,Papora 2,39,ear,sakilak,,
PAPORA_2-39-10,PAPORA_2,Papora 2,39,ear,satlilat,,
PAPORA_2-40-1,PAPORA_2,Papora 2,40,eye,masa,,
PAPORA_2-40-2,PAPORA_2,Papora 2,40,eye,ma8ak,,
PAPORA_2-40-3,PAPORA_2,Papora 2,40,eye,masat,,
PAPORA_2-40-4,PAPORA_2,Papora 2,40,eye,mimi,,
PAPORA_2-40-5,PAPORA_2,Papora 2,40,eye,meme,,
PAPORA_2-40-6,PAPORA_2,Papora 2,40,eye,me,,
PAPORA_2-40-7,PAPORA_2,Papora 2,40,eye,miju,,
PAPORA_2-40-8,PAPORA_2,Papora 2,40,eye,matap,,
PAPORA_2-40-9,PAPORA_2,Papora 2,40,eye,ralkajin,,
PAPORA_2-40-10,PAPORA_2,Papora 2,40,eye,bui,,
PAPORA_2-40-11,PAPORA_2,Papora 2,40,eye,betah,,
PAPORA_2-41-1,PAPORA_2,Papora 2,41,nose,nud,,
PAPORA_2-41-2,PAPORA_2,Papora 2,41,nose,nudnud,,
PAPORA_2-41-3,PAPORA_2,Papora 2,41,nose,nunut,,
PAPORA_2-41-4,PAPORA_2,Papora 2,41,nose,nut,,
PAPORA_2-41-5,PAPORA_2,Papora 2,41,nose,lut,,
PAPORA_2-41-6,PAPORA_2,Papora 2,41,nose,tot,,
PAPORA_2-41-7,PAPORA_2,Papora 2,41,nose,mud,,
PAPORA_2-41-8,PAPORA_2,Papora 2,41,nose,mut,,
PAPORA_2-41-9,PAPORA_2,Papora 2,41,nose,mun,,
PAPORA_2-41-10,PAPORA_2,Papora 2,41,nose,muz,,
PAPORA_2-41-11,PAPORA_2,Papora 2,41,nose,ngotut,,
PAPORA_2-41-12,PAPORA_2,Papora 2,41,nose,gotuh,,
PAPORA_2-43-1,PAPORA_2,Papora 2,43,tooth,ripun,,
PAPORA_2-43-2,PAPORA_2,Papora 2,43,tooth,lipun,,
PAPORA_2-43-3,PAPORA_2,Papora 2,43,tooth,lipuN,,
PAPORA_2-43-4,PAPORA_2,Papora 2,43,tooth,lepan,,
PAPORA_2-44-1,PAPORA_2,Papora 2,44,tongue,rarira,,
PAPORA_2-44-2,PAPORA_2,Papora 2,44,tongue,dalida,,
PAPORA_2-44-3,PAPORA_2,Papora 2,44,tongue,tatina,,
PAPORA_2-44-4,PAPORA_2,Papora 2,44,tongue,talila,,
PAPORA_2-44-5,PAPORA_2,Papora 2,44,tongue,lanila,,
PAPORA_2-44-6,PAPORA_2,Papora 2,44,tongue,larila,,
PAPORA_2-44-7,PAPORA_2,Papora 2,44,tongue,lalila,,
PAPORA_2-44-8,PAPORA_2,Papora 2,44,tongue,lila,,
PAPORA_2-44-9,PAPORA_2,Papora 2,44,tongue,latlilat,,
PAPORA_2-44-10,PAPORA_2,Papora 2,44,tongue,tatot,,
PAPORA_2-44-11,PAPORA_2,Papora 2,44,tongue,dondodo,,
PAPORA_2-48-1,PAPORA_2,Papora 2,48,hand,pirat,,
PAPORA_2-48-2,PAPORA_2,Papora 2,48,hand,pilat,,
PAPORA_2-48-3,PAPORA_2,Papora 2,48,hand,pilas,,
PAPORA_2-48-4,PAPORA_2,Papora 2,48,hand,pilasu,,
PAPORA_2-48-5,PAPORA_2,Papora 2,48,hand,pila,,
PAPORA_2-48-6,PAPORA_2,Papora 2,48,hand,pira,,
PAPORA_2-48-7,PAPORA_2,Papora 2,48,hand,pirya,,
PAPORA_2-48-8,PAPORA_2,Papora 2,48,hand,pijet,,
PAPORA_2-48-9,PAPORA_2,Papora 2,48,hand,pidjet,,
PAPORA_2-48-10,PAPORA_2,Papora 2,48,hand,bilasek,,
PAPORA_2-48-11,PAPORA_2,Papora 2,48,hand,asa,,
PAPORA_2-48-12,PAPORA_2,Papora 2,48,hand,imbe,,
PAPORA_2-48-13,PAPORA_2,Papora 2,48,hand,lima,,
PAPORA_2-48-14,PAPORA_2,Papora 2,48,hand,imma,,
PAPORA_2-51-1,PAPORA_2,Papora 2,51,breast,ragan,,
PAPORA_2-51-2,PAPORA_2,Papora 2,51,breast,ragaN,,
PAPORA_2-51-3,PAPORA_2,Papora 2,51,breast,lizum,,
PAPORA_2-57-1,PAPORA_2,Papora 2,57,see,kaidin,,
PAPORA_2-57-2,PAPORA_2,Papora 2,57,see,kailin,,
PAPORA_2-57-3,PAPORA_2,Papora 2,57,see,kaicin,,
PAPORA_2-57-4,PAPORA_2,Papora 2,57,see,kumren,,
PAPORA_2-57-5,PAPORA_2,Papora 2,57,see,kaiyun,,
PAPORA_2-57-6,PAPORA_2,Papora 2,57,see,kamita,,
PAPORA_2-57-7,PAPORA_2,Papora 2,57,see,kuman,,
PAPORA_2-57-8,PAPORA_2,Papora 2,57,see,kaman,,
PAPORA_2-57-9,PAPORA_2,Papora 2,57,see,kathowan,,
PAPORA_2-57-10,PAPORA_2,Papora 2,57,see,alekalan,,
PAPORA_2-58-1,PAPORA_2,Papora 2,58,hear,samagisi,,
PAPORA_2-58-2,PAPORA_2,Papora 2,58,hear,gisi,,
PAPORA_2-58-3,PAPORA_2,Papora 2,58,hear,tunmala,,
PAPORA_2-58-4,PAPORA_2,Papora 2,58,hear,tomain,,
PAPORA_2-58-5,PAPORA_2,Papora 2,58,hear,sunre,,
PAPORA_2-61-1,PAPORA_2,Papora 2,61,die,mapasa,,
PAPORA_2-61-2,PAPORA_2,Papora 2,61,die,ma8a,,
PAPORA_2-61-3,PAPORA_2,Papora 2,61,die,masak tajuli,,
PAPORA_2-61-4,PAPORA_2,Papora 2,61,die,papaChan,,
PAPORA_2-66-1,PAPORA_2,Papora 2,66,come,moa,,
PAPORA_2-66-2,PAPORA_2,Papora 2,66,come,uga,,
PAPORA_2-66-3,PAPORA_2,Papora 2,66,come,ugwa,,
PAPORA_2-66-4,PAPORA_2,Papora 2,66,come,ugoa mikun,,
PAPORA_2-66-5,PAPORA_2,Papora 2,66,come,put la muhi,,
PAPORA_2-66-6,PAPORA_2,Papora 2,66,come,mohe,,
PAPORA_2-66-7,PAPORA_2,Papora 2,66,come,magi,,
PAPORA_2-66-8,PAPORA_2,Papora 2,66,come,maki,,
PAPORA_2-66-9,PAPORA_2,Papora 2,66,come,inakai,,
PAPORA_2-66-10,PAPORA_2,Papora 2,66,come,musa,,
PAPORA_2-74-1,PAPORA_2,Papora 2,74,star,saNat,,
PAPORA_2-74-2,PAPORA_2,Papora 2,74,star,sathahlan,,
PAPORA_2-74-3,PAPORA_2,Papora 2,74,star,buntapkan,,
PAPORA_2-74-4,PAPORA_2,Papora 2,74,star,mNtahkan,,
PAPORA_2-75-1,PAPORA_2,Papora 2,75,water,zazum,,
PAPORA_2-75-2,PAPORA_2,Papora 2,75,water,zarom,,
PAPORA_2-75-3,PAPORA_2,Papora 2,75,water,salum,,
PAPORA_2-75-4,PAPORA_2,Papora 2,75,water,ladum,,
PAPORA_2-75-5,PAPORA_2,Papora 2,75,water,lazum,,
PAPORA_2-75-6,PAPORA_2,Papora 2,75,water,radum,,
PAPORA_2-75-7,PAPORA_2,Papora 2,75,water,rarum,,
PAPORA_2-75-8,PAPORA_2,Papora 2,75,water,lalum,,
PAPORA_2-75-9,PAPORA_2,Papora 2,75,water,laroum,,
PAPORA_2-75-10,PAPORA_2,Papora 2,75,water,nalum,,
PAPORA_2-75-11,PAPORA_2,Papora 2,75,water,latlim,,
PAPORA_2-77-1,PAPORA_2,Papora 2,77,stone,batu,,
PAPORA_2-77-2,PAPORA_2,Papora 2,77,stone,watu,,
PAPORA_2-82-1,PAPORA_2,Papora 2,82,fire,capu,,
PAPORA_2-82-2,PAPORA_2,Papora 2,82,fire,zapu,,
PAPORA_2-82-3,PAPORA_2,Papora 2,82,fire,rapu,,
PAPORA_2-82-4,PAPORA_2,Papora 2,82,fire,rappu,,
PAPORA_2-82-5,PAPORA_2,Papora 2,82,fire,lapu,,
PAPORA_2-82-6,PAPORA_2,Papora 2,82,fire,latpo,,
PAPORA_2-85-1,PAPORA_2,Papora 2,85,path,calan,,
PAPORA_2-92-1,PAPORA_2,Papora 2,92,night,maduN,,
PAPORA_2-92-2,PAPORA_2,Papora 2,92,night,soahhoe,,
PAPORA_2-100-1,PAPORA_2,Papora 2,100,name,CiNan,,
PAPORA_2-100-2,PAPORA_2,Papora 2,100,name,ciNa,,
