ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PASARWAJO-1-1,PASARWAJO,Pasarwajo,1,I,ind~a7u,,
PASARWAJO-2-1,PASARWAJO,Pasarwajo,2,you,iso7o,,
PASARWAJO-2-2,PASARWAJO,Pasarwajo,2,you,isimiu,,
PASARWAJO-3-1,PASARWAJO,Pasarwajo,3,we,isami,,
PASARWAJO-11-1,PASARWAJO,Pasarwajo,11,one,akalulu,,
PASARWAJO-12-1,PASARWAJO,Pasarwajo,12,two,doxua,,
PASARWAJO-18-1,PASARWAJO,Pasarwajo,18,person,mia,,
PASARWAJO-19-1,PASARWAJO,Pasarwajo,19,fish,isa,,
PASARWAJO-22-1,PASARWAJO,Pasarwajo,22,louse,cucu,,
PASARWAJO-22-2,PASARWAJO,Pasarwajo,22,louse,cuma,,
PASARWAJO-23-1,PASARWAJO,Pasarwajo,23,tree,pukunosau,,
PASARWAJO-25-1,PASARWAJO,Pasarwajo,25,leaf,ro7o,,
PASARWAJO-28-1,PASARWAJO,Pasarwajo,28,skin,sili,,
PASARWAJO-30-1,PASARWAJO,Pasarwajo,30,blood,xea,,
PASARWAJO-31-1,PASARWAJO,Pasarwajo,31,bone,buku,,
PASARWAJO-34-1,PASARWAJO,Pasarwajo,34,horn,tand~u,,
PASARWAJO-39-1,PASARWAJO,Pasarwajo,39,ear,toliNa,,
PASARWAJO-40-1,PASARWAJO,Pasarwajo,40,eye,mata,,
PASARWAJO-41-1,PASARWAJO,Pasarwajo,41,nose,No7o,,
PASARWAJO-43-1,PASARWAJO,Pasarwajo,43,tooth,Ni7i,,
PASARWAJO-44-1,PASARWAJO,Pasarwajo,44,tongue,ela,,
PASARWAJO-47-1,PASARWAJO,Pasarwajo,47,knee,su7u,,
PASARWAJO-48-1,PASARWAJO,Pasarwajo,48,hand,lima,,
PASARWAJO-51-1,PASARWAJO,Pasarwajo,51,breast,CiCi,,
PASARWAJO-53-1,PASARWAJO,Pasarwajo,53,liver,hate,,
PASARWAJO-54-1,PASARWAJO,Pasarwajo,54,drink,poxoku,,
PASARWAJO-57-1,PASARWAJO,Pasarwajo,57,see,ita7e,,
PASARWAJO-58-1,PASARWAJO,Pasarwajo,58,hear,pind~omo,,
PASARWAJO-61-1,PASARWAJO,Pasarwajo,61,die,mate,,
PASARWAJO-66-1,PASARWAJO,Pasarwajo,66,come,bund~o,,
PASARWAJO-72-1,PASARWAJO,Pasarwajo,72,sun,holeo,,
PASARWAJO-74-1,PASARWAJO,Pasarwajo,74,star,biCuko,,
PASARWAJO-75-1,PASARWAJO,Pasarwajo,75,water,e7e,,
PASARWAJO-77-1,PASARWAJO,Pasarwajo,77,stone,bacu,,
PASARWAJO-82-1,PASARWAJO,Pasarwajo,82,fire,api,,
PASARWAJO-85-1,PASARWAJO,Pasarwajo,85,path,lala,,
PASARWAJO-86-1,PASARWAJO,Pasarwajo,86,mountain,gunu,,
PASARWAJO-92-1,PASARWAJO,Pasarwajo,92,night,rond~orond~o,,
PASARWAJO-95-1,PASARWAJO,Pasarwajo,95,full,mp~onom,,
PASARWAJO-96-1,PASARWAJO,Pasarwajo,96,new,bukou,,
PASARWAJO-100-1,PASARWAJO,Pasarwajo,100,name,Nea,,
