ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PEVE_LAME-11-1,PEVE_LAME,Peve Lame,11,one,dao,,
PEVE_LAME-12-1,PEVE_LAME,Peve Lame,12,two,hw~ob,,
PEVE_LAME-18-1,PEVE_LAME,Peve Lame,18,person,sum ra7,,
PEVE_LAME-19-1,PEVE_LAME,Peve Lame,19,fish,keve,,
PEVE_LAME-21-1,PEVE_LAME,Peve Lame,21,dog,da,,
PEVE_LAME-22-1,PEVE_LAME,Peve Lame,22,louse,tand~i,,
PEVE_LAME-23-1,PEVE_LAME,Peve Lame,23,tree,gu,,
PEVE_LAME-25-1,PEVE_LAME,Peve Lame,25,leaf,tl~ap,,
PEVE_LAME-28-1,PEVE_LAME,Peve Lame,28,skin,diketu,,
PEVE_LAME-30-1,PEVE_LAME,Peve Lame,30,blood,v3s3,,
PEVE_LAME-31-1,PEVE_LAME,Peve Lame,31,bone,so,,
PEVE_LAME-34-1,PEVE_LAME,Peve Lame,34,horn,my~ek,,
PEVE_LAME-39-1,PEVE_LAME,Peve Lame,39,ear,hum,,
PEVE_LAME-41-1,PEVE_LAME,Peve Lame,41,nose,Cin,,
PEVE_LAME-43-1,PEVE_LAME,Peve Lame,43,tooth,Se7,,
PEVE_LAME-44-1,PEVE_LAME,Peve Lame,44,tongue,Sele,,
PEVE_LAME-47-1,PEVE_LAME,Peve Lame,47,knee,Cingit,,
PEVE_LAME-51-1,PEVE_LAME,Peve Lame,51,breast,pa7,,
PEVE_LAME-53-1,PEVE_LAME,Peve Lame,53,liver,duk,,
PEVE_LAME-54-1,PEVE_LAME,Peve Lame,54,drink,Ce,,
PEVE_LAME-57-1,PEVE_LAME,Peve Lame,57,see,we,,
PEVE_LAME-58-1,PEVE_LAME,Peve Lame,58,hear,mun,,
PEVE_LAME-61-1,PEVE_LAME,Peve Lame,61,die,mat,,
PEVE_LAME-66-1,PEVE_LAME,Peve Lame,66,come,mb~3,,
PEVE_LAME-72-1,PEVE_LAME,Peve Lame,72,sun,f3ta,,
PEVE_LAME-74-1,PEVE_LAME,Peve Lame,74,star,CiCu,,
PEVE_LAME-75-1,PEVE_LAME,Peve Lame,75,water,mb~i,,
PEVE_LAME-77-1,PEVE_LAME,Peve Lame,77,stone,gw~oi7,,
PEVE_LAME-82-1,PEVE_LAME,Peve Lame,82,fire,ku,,
PEVE_LAME-85-1,PEVE_LAME,Peve Lame,85,path,vari,,
PEVE_LAME-86-1,PEVE_LAME,Peve Lame,86,mountain,gw~oi7,,
PEVE_LAME-92-1,PEVE_LAME,Peve Lame,92,night,dokri,,
PEVE_LAME-96-1,PEVE_LAME,Peve Lame,96,new,k3 mb~reo,,
PEVE_LAME-100-1,PEVE_LAME,Peve Lame,100,name,Sem de,,
