ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PHUTI-1-1,PHUTI,Phuti,1,I,mina,,
PHUTI-2-1,PHUTI,Phuti,2,you,wena,,
PHUTI-3-1,PHUTI,Phuti,3,we,cina,,
PHUTI-11-1,PHUTI,Phuti,11,one,5e,,
PHUTI-12-1,PHUTI,Phuti,12,two,bini,,
PHUTI-18-1,PHUTI,Phuti,18,person,nd~u,,
PHUTI-19-1,PHUTI,Phuti,19,fish,Lati,,
PHUTI-21-1,PHUTI,Phuti,21,dog,ja,,
PHUTI-22-1,PHUTI,Phuti,22,louse,tfw~ala,,
PHUTI-23-1,PHUTI,Phuti,23,tree,ph~ace,,
PHUTI-25-1,PHUTI,Phuti,25,leaf,!abi,,
PHUTI-28-1,PHUTI,Phuti,28,skin,tL~alo,,
PHUTI-30-1,PHUTI,Phuti,30,blood,madi,,
PHUTI-31-1,PHUTI,Phuti,31,bone,cabo,,
PHUTI-34-1,PHUTI,Phuti,34,horn,naga,,
PHUTI-39-1,PHUTI,Phuti,39,ear,dL~ebe,,
PHUTI-40-1,PHUTI,Phuti,40,eye,Lo,,
PHUTI-41-1,PHUTI,Phuti,41,nose,ph~umulo,,
PHUTI-43-1,PHUTI,Phuti,43,tooth,ti5o,,
PHUTI-44-1,PHUTI,Phuti,44,tongue,limi,,
PHUTI-47-1,PHUTI,Phuti,47,knee,dvolo,,
PHUTI-48-1,PHUTI,Phuti,48,hand,adL~a,,
PHUTI-51-1,PHUTI,Phuti,51,breast,bele,,
PHUTI-53-1,PHUTI,Phuti,53,liver,beze,,
PHUTI-54-1,PHUTI,Phuti,54,drink,sel,,
PHUTI-57-1,PHUTI,Phuti,57,see,bon,,
PHUTI-58-1,PHUTI,Phuti,58,hear,v,,
PHUTI-61-1,PHUTI,Phuti,61,die,f,,
PHUTI-66-1,PHUTI,Phuti,66,come,t,,
PHUTI-72-1,PHUTI,Phuti,72,sun,laga,,
PHUTI-74-1,PHUTI,Phuti,74,star,naledi,,
PHUTI-75-1,PHUTI,Phuti,75,water,ti,,
PHUTI-77-1,PHUTI,Phuti,77,stone,jw~e,,
PHUTI-82-1,PHUTI,Phuti,82,fire,lo,,
PHUTI-85-1,PHUTI,Phuti,85,path,mila,,
PHUTI-86-1,PHUTI,Phuti,86,mountain,caba,,
PHUTI-92-1,PHUTI,Phuti,92,night,suku,,
PHUTI-95-1,PHUTI,Phuti,95,full,tele,,
PHUTI-96-1,PHUTI,Phuti,96,new,Ca,,
PHUTI-100-1,PHUTI,Phuti,100,name,bito,,
