ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
POKO_RAWO-1-1,POKO_RAWO,Poko Rawo,1,I,nEn,,
POKO_RAWO-2-1,POKO_RAWO,Poko Rawo,2,you,mEmu,,
POKO_RAWO-3-1,POKO_RAWO,Poko Rawo,3,we,ipi,,
POKO_RAWO-11-1,POKO_RAWO,Poko Rawo,11,one,kmEnpi,,
POKO_RAWO-12-1,POKO_RAWO,Poko Rawo,12,two,kleki,,
POKO_RAWO-18-1,POKO_RAWO,Poko Rawo,18,person,ka,,
POKO_RAWO-19-1,POKO_RAWO,Poko Rawo,19,fish,bini,,
POKO_RAWO-21-1,POKO_RAWO,Poko Rawo,21,dog,dE,,
POKO_RAWO-22-1,POKO_RAWO,Poko Rawo,22,louse,ni,,
POKO_RAWO-23-1,POKO_RAWO,Poko Rawo,23,tree,wu,,
POKO_RAWO-25-1,POKO_RAWO,Poko Rawo,25,leaf,wu,,
POKO_RAWO-28-1,POKO_RAWO,Poko Rawo,28,skin,ili,,
POKO_RAWO-30-1,POKO_RAWO,Poko Rawo,30,blood,no,,
POKO_RAWO-31-1,POKO_RAWO,Poko Rawo,31,bone,ulu,,
POKO_RAWO-39-1,POKO_RAWO,Poko Rawo,39,ear,sepe,,
POKO_RAWO-40-1,POKO_RAWO,Poko Rawo,40,eye,ning~i,,
POKO_RAWO-41-1,POKO_RAWO,Poko Rawo,41,nose,uwu,,
POKO_RAWO-43-1,POKO_RAWO,Poko Rawo,43,tooth,nuwu,,
POKO_RAWO-44-1,POKO_RAWO,Poko Rawo,44,tongue,pEkE,,
POKO_RAWO-47-1,POKO_RAWO,Poko Rawo,47,knee,wiEpulu,,
POKO_RAWO-48-1,POKO_RAWO,Poko Rawo,48,hand,bene,,
POKO_RAWO-51-1,POKO_RAWO,Poko Rawo,51,breast,so,,
POKO_RAWO-53-1,POKO_RAWO,Poko Rawo,53,liver,se,,
POKO_RAWO-54-1,POKO_RAWO,Poko Rawo,54,drink,dE,,
POKO_RAWO-57-1,POKO_RAWO,Poko Rawo,57,see,booko,,
POKO_RAWO-58-1,POKO_RAWO,Poko Rawo,58,hear,nEpi,,
POKO_RAWO-61-1,POKO_RAWO,Poko Rawo,61,die,wEluku,,
POKO_RAWO-66-1,POKO_RAWO,Poko Rawo,66,come,EE,,
POKO_RAWO-72-1,POKO_RAWO,Poko Rawo,72,sun,EsE,,
POKO_RAWO-74-1,POKO_RAWO,Poko Rawo,74,star,dEng~e,,
POKO_RAWO-75-1,POKO_RAWO,Poko Rawo,75,water,ni,,
POKO_RAWO-77-1,POKO_RAWO,Poko Rawo,77,stone,sosing~i,,
POKO_RAWO-82-1,POKO_RAWO,Poko Rawo,82,fire,Elu,,
POKO_RAWO-85-1,POKO_RAWO,Poko Rawo,85,path,bili,,
POKO_RAWO-86-1,POKO_RAWO,Poko Rawo,86,mountain,bElE,,
POKO_RAWO-92-1,POKO_RAWO,Poko Rawo,92,night,busung~u,,
POKO_RAWO-95-1,POKO_RAWO,Poko Rawo,95,full,dEpsoko,,
POKO_RAWO-96-1,POKO_RAWO,Poko Rawo,96,new,bEsini,,
POKO_RAWO-100-1,POKO_RAWO,Poko Rawo,100,name,ili,,
