ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PO_AI-2-1,PO_AI,Po Ai,2,you,m3N,,
PO_AI-3-1,PO_AI,Po Ai,3,we,law,,
PO_AI-12-1,PO_AI,Po Ai,12,two,3oN,,
PO_AI-18-1,PO_AI,Po Ai,18,person,h3n,,
PO_AI-19-1,PO_AI,Po Ai,19,fish,pya,,
PO_AI-21-1,PO_AI,Po Ai,21,dog,ma,,
PO_AI-22-1,PO_AI,Po Ai,22,louse,law,,
PO_AI-23-1,PO_AI,Po Ai,23,tree,may,,
PO_AI-25-1,PO_AI,Po Ai,25,leaf,ma3,,
PO_AI-28-1,PO_AI,Po Ai,28,skin,naN,,
PO_AI-30-1,PO_AI,Po Ai,30,blood,l3t,,
PO_AI-31-1,PO_AI,Po Ai,31,bone,nok,,
PO_AI-34-1,PO_AI,Po Ai,34,horn,kaw,,
PO_AI-39-1,PO_AI,Po Ai,39,ear,l3,,
PO_AI-40-1,PO_AI,Po Ai,40,eye,ta,,
PO_AI-41-1,PO_AI,Po Ai,41,nose,naN,,
PO_AI-43-1,PO_AI,Po Ai,43,tooth,hew,,
PO_AI-44-1,PO_AI,Po Ai,44,tongue,lin,,
PO_AI-48-1,PO_AI,Po Ai,48,hand,f3n,,
PO_AI-53-1,PO_AI,Po Ai,53,liver,tap,,
PO_AI-61-1,PO_AI,Po Ai,61,die,tay,,
PO_AI-66-1,PO_AI,Po Ai,66,come,ma,,
PO_AI-74-1,PO_AI,Po Ai,74,star,naw,,
PO_AI-74-2,PO_AI,Po Ai,74,star,ni,,
PO_AI-75-1,PO_AI,Po Ai,75,water,lam,,
PO_AI-77-1,PO_AI,Po Ai,77,stone,hin,,
PO_AI-82-1,PO_AI,Po Ai,82,fire,fi,,
PO_AI-85-1,PO_AI,Po Ai,85,path,hon,,
PO_AI-92-1,PO_AI,Po Ai,92,night,h3n,,
PO_AI-95-1,PO_AI,Po Ai,95,full,lim,,
PO_AI-96-1,PO_AI,Po Ai,96,new,mo,,
PO_AI-100-1,PO_AI,Po Ai,100,name,s3,,
