ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_BUNGKU_TOLAKI-11-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,11,one,asa,,
PROTO_BUNGKU_TOLAKI-12-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,12,two,rua,,
PROTO_BUNGKU_TOLAKI-12-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,12,two,orua,,
PROTO_BUNGKU_TOLAKI-19-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,19,fish,ikan,,
PROTO_BUNGKU_TOLAKI-21-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,21,dog,dahu,,
PROTO_BUNGKU_TOLAKI-22-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,22,louse,kutu,,
PROTO_BUNGKU_TOLAKI-23-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,23,tree,watan,,
PROTO_BUNGKU_TOLAKI-28-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,28,skin,kuliq,,
PROTO_BUNGKU_TOLAKI-30-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,30,blood,raraq,,
PROTO_BUNGKU_TOLAKI-31-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,31,bone,wuku,,
PROTO_BUNGKU_TOLAKI-34-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,34,horn,tanduq,,
PROTO_BUNGKU_TOLAKI-39-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,39,ear,birin,,
PROTO_BUNGKU_TOLAKI-40-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,40,eye,mata,,
PROTO_BUNGKU_TOLAKI-41-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,41,nose,eNe,,
PROTO_BUNGKU_TOLAKI-43-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,43,tooth,Nisi,,
PROTO_BUNGKU_TOLAKI-44-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,44,tongue,elo,,
PROTO_BUNGKU_TOLAKI-47-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,47,knee,tu,,
PROTO_BUNGKU_TOLAKI-47-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,47,knee,olontu,,
PROTO_BUNGKU_TOLAKI-51-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,51,breast,susu,,
PROTO_BUNGKU_TOLAKI-51-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,51,breast,uhu,,
PROTO_BUNGKU_TOLAKI-53-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,53,liver,ate,,
PROTO_BUNGKU_TOLAKI-54-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,54,drink,inun,,
PROTO_BUNGKU_TOLAKI-57-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,57,see,kita,,
PROTO_BUNGKU_TOLAKI-57-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,57,see,onton,,
PROTO_BUNGKU_TOLAKI-58-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,58,hear,podea,,
PROTO_BUNGKU_TOLAKI-58-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,58,hear,roNor,,
PROTO_BUNGKU_TOLAKI-66-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,66,come,mai,,
PROTO_BUNGKU_TOLAKI-75-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,75,water,iwoi,,
PROTO_BUNGKU_TOLAKI-77-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,77,stone,watu,,
PROTO_BUNGKU_TOLAKI-82-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,82,fire,apuy,,
PROTO_BUNGKU_TOLAKI-85-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,85,path,salan,,
PROTO_BUNGKU_TOLAKI-86-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,86,mountain,pusuq,,
PROTO_BUNGKU_TOLAKI-86-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,86,mountain,taNke,,
PROTO_BUNGKU_TOLAKI-86-3,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,86,mountain,toruku,,
PROTO_BUNGKU_TOLAKI-92-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,92,night,wiNi,,
PROTO_BUNGKU_TOLAKI-92-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,92,night,woNi,,
PROTO_BUNGKU_TOLAKI-95-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,95,full,buke,,
PROTO_BUNGKU_TOLAKI-95-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,95,full,pono,,
PROTO_BUNGKU_TOLAKI-96-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,96,new,sarai,,
PROTO_BUNGKU_TOLAKI-96-2,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,96,new,tonia,,
PROTO_BUNGKU_TOLAKI-100-1,PROTO_BUNGKU_TOLAKI,Proto Bungku Tolaki,100,name,Nean,,
