ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_INDO_EUROPEAN_3-1-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,1,I,egXom,,
PROTO_INDO_EUROPEAN_3-1-2,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,1,I,me,,
PROTO_INDO_EUROPEAN_3-2-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,2,you,tuX,,
PROTO_INDO_EUROPEAN_3-3-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,3,we,wey,,
PROTO_INDO_EUROPEAN_3-11-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,11,one,hoynos,,
PROTO_INDO_EUROPEAN_3-11-2,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,11,one,sem,,
PROTO_INDO_EUROPEAN_3-12-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,12,two,dwoh,,
PROTO_INDO_EUROPEAN_3-12-2,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,12,two,dwo,,
PROTO_INDO_EUROPEAN_3-19-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,19,fish,dh~gh~u,,
PROTO_INDO_EUROPEAN_3-21-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,21,dog,kwo,,
PROTO_INDO_EUROPEAN_3-22-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,22,louse,knid,,
PROTO_INDO_EUROPEAN_3-22-2,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,22,louse,luhs,,
PROTO_INDO_EUROPEAN_3-23-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,23,tree,doru,,
PROTO_INDO_EUROPEAN_3-28-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,28,skin,pel,,
PROTO_INDO_EUROPEAN_3-28-2,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,28,skin,twekos,,
PROTO_INDO_EUROPEAN_3-30-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,30,blood,krewX,,
PROTO_INDO_EUROPEAN_3-30-2,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,30,blood,hesXr,,
PROTO_INDO_EUROPEAN_3-31-1,PROTO_INDO_EUROPEAN_3,Proto Indo European 3,31,bone,xw~ost,,
