ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_KAM_SUI-3-1,PROTO_KAM_SUI,Proto Kam Sui,3,we,trau,,
PROTO_KAM_SUI-12-1,PROTO_KAM_SUI,Proto Kam Sui,12,two,hra,,
PROTO_KAM_SUI-18-1,PROTO_KAM_SUI,Proto Kam Sui,18,person,lak,,
PROTO_KAM_SUI-19-1,PROTO_KAM_SUI,Proto Kam Sui,19,fish,mprai,,
PROTO_KAM_SUI-19-2,PROTO_KAM_SUI,Proto Kam Sui,19,fish,pa,,
PROTO_KAM_SUI-21-1,PROTO_KAM_SUI,Proto Kam Sui,21,dog,khma,,
PROTO_KAM_SUI-22-1,PROTO_KAM_SUI,Proto Kam Sui,22,louse,nan,,
PROTO_KAM_SUI-25-1,PROTO_KAM_SUI,Proto Kam Sui,25,leaf,pwa,,
PROTO_KAM_SUI-28-1,PROTO_KAM_SUI,Proto Kam Sui,28,skin,hNra,,
PROTO_KAM_SUI-30-1,PROTO_KAM_SUI,Proto Kam Sui,30,blood,phlat,,
PROTO_KAM_SUI-31-1,PROTO_KAM_SUI,Proto Kam Sui,31,bone,tlak,,
PROTO_KAM_SUI-39-1,PROTO_KAM_SUI,Proto Kam Sui,39,ear,khra,,
PROTO_KAM_SUI-40-1,PROTO_KAM_SUI,Proto Kam Sui,40,eye,thla,,
PROTO_KAM_SUI-41-1,PROTO_KAM_SUI,Proto Kam Sui,41,nose,naN,,
PROTO_KAM_SUI-43-1,PROTO_KAM_SUI,Proto Kam Sui,43,tooth,pjwan,,
PROTO_KAM_SUI-44-1,PROTO_KAM_SUI,Proto Kam Sui,44,tongue,ma,,
PROTO_KAM_SUI-48-1,PROTO_KAM_SUI,Proto Kam Sui,48,hand,kmjat,,
PROTO_KAM_SUI-53-1,PROTO_KAM_SUI,Proto Kam Sui,53,liver,tap,,
PROTO_KAM_SUI-54-1,PROTO_KAM_SUI,Proto Kam Sui,54,drink,trwap,,
PROTO_KAM_SUI-57-1,PROTO_KAM_SUI,Proto Kam Sui,57,see,lun,,
PROTO_KAM_SUI-57-2,PROTO_KAM_SUI,Proto Kam Sui,57,see,dai,,
PROTO_KAM_SUI-61-1,PROTO_KAM_SUI,Proto Kam Sui,61,die,pjai,,
PROTO_KAM_SUI-66-1,PROTO_KAM_SUI,Proto Kam Sui,66,come,hma,,
PROTO_KAM_SUI-66-2,PROTO_KAM_SUI,Proto Kam Sui,66,come,taN,,
PROTO_KAM_SUI-74-1,PROTO_KAM_SUI,Proto Kam Sui,74,star,hmlut,,
PROTO_KAM_SUI-74-2,PROTO_KAM_SUI,Proto Kam Sui,74,star,drau,,
PROTO_KAM_SUI-75-1,PROTO_KAM_SUI,Proto Kam Sui,75,water,namti,,
PROTO_KAM_SUI-77-1,PROTO_KAM_SUI,Proto Kam Sui,77,stone,pra,,
PROTO_KAM_SUI-82-1,PROTO_KAM_SUI,Proto Kam Sui,82,fire,pwai,,
PROTO_KAM_SUI-92-1,PROTO_KAM_SUI,Proto Kam Sui,92,night,nam,,
PROTO_KAM_SUI-96-1,PROTO_KAM_SUI,Proto Kam Sui,96,new,hmai,,
