ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_MIEN-2-1,PROTO_MIEN,Proto Mien,2,you,mw~3i,,
PROTO_MIEN-3-1,PROTO_MIEN,Proto Mien,3,we,pua,,
PROTO_MIEN-11-1,PROTO_MIEN,Proto Mien,11,one,yet,,
PROTO_MIEN-12-1,PROTO_MIEN,Proto Mien,12,two,i,,
PROTO_MIEN-18-1,PROTO_MIEN,Proto Mien,18,person,5en,,
PROTO_MIEN-19-1,PROTO_MIEN,Proto Mien,19,fish,by~au,,
PROTO_MIEN-21-1,PROTO_MIEN,Proto Mien,21,dog,kl~u,,
PROTO_MIEN-22-1,PROTO_MIEN,Proto Mien,22,louse,tam,,
PROTO_MIEN-23-1,PROTO_MIEN,Proto Mien,23,tree,dy~aN,,
PROTO_MIEN-25-1,PROTO_MIEN,Proto Mien,25,leaf,nom,,
PROTO_MIEN-28-1,PROTO_MIEN,Proto Mien,28,skin,dop,,
PROTO_MIEN-30-1,PROTO_MIEN,Proto Mien,30,blood,jhy$am,,
PROTO_MIEN-31-1,PROTO_MIEN,Proto Mien,31,bone,ch~uN,,
PROTO_MIEN-34-1,PROTO_MIEN,Proto Mien,34,horn,ky~oN,,
PROTO_MIEN-39-1,PROTO_MIEN,Proto Mien,39,ear,nom,,
PROTO_MIEN-40-1,PROTO_MIEN,Proto Mien,40,eye,mw~3i,,
PROTO_MIEN-41-1,PROTO_MIEN,Proto Mien,41,nose,CoN,,
PROTO_MIEN-41-2,PROTO_MIEN,Proto Mien,41,nose,bl~ui,,
PROTO_MIEN-43-1,PROTO_MIEN,Proto Mien,43,tooth,5a,,
PROTO_MIEN-44-1,PROTO_MIEN,Proto Mien,44,tongue,by~et,,
PROTO_MIEN-48-1,PROTO_MIEN,Proto Mien,48,hand,pua,,
PROTO_MIEN-53-1,PROTO_MIEN,Proto Mien,53,liver,ran,,
PROTO_MIEN-54-1,PROTO_MIEN,Proto Mien,54,drink,hop,,
PROTO_MIEN-57-1,PROTO_MIEN,Proto Mien,57,see,maN,,
PROTO_MIEN-58-1,PROTO_MIEN,Proto Mien,58,hear,pw~at,,
PROTO_MIEN-58-2,PROTO_MIEN,Proto Mien,58,hear,nom,,
PROTO_MIEN-61-1,PROTO_MIEN,Proto Mien,61,die,tai,,
PROTO_MIEN-66-1,PROTO_MIEN,Proto Mien,66,come,tai,,
PROTO_MIEN-66-2,PROTO_MIEN,Proto Mien,66,come,lau,,
PROTO_MIEN-72-1,PROTO_MIEN,Proto Mien,72,sun,noi,,
PROTO_MIEN-74-1,PROTO_MIEN,Proto Mien,74,star,rei,,
PROTO_MIEN-74-2,PROTO_MIEN,Proto Mien,74,star,fiN,,
PROTO_MIEN-77-1,PROTO_MIEN,Proto Mien,77,stone,ry~ou,,
PROTO_MIEN-82-1,PROTO_MIEN,Proto Mien,82,fire,tou,,
PROTO_MIEN-85-1,PROTO_MIEN,Proto Mien,85,path,ky~au,,
PROTO_MIEN-86-1,PROTO_MIEN,Proto Mien,86,mountain,CoN,,
PROTO_MIEN-92-1,PROTO_MIEN,Proto Mien,92,night,mw~aN,,
PROTO_MIEN-95-1,PROTO_MIEN,Proto Mien,95,full,pw~aN,,
PROTO_MIEN-96-1,PROTO_MIEN,Proto Mien,96,new,Sy~aN,,
PROTO_MIEN-100-1,PROTO_MIEN,Proto Mien,100,name,bua,,
PROTO_MIEN-100-2,PROTO_MIEN,Proto Mien,100,name,meN,,
