ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_OTI_VOLTA_ORIENTAL-18-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,18,person,ni,,
PROTO_OTI_VOLTA_ORIENTAL-21-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,21,dog,bua,,
PROTO_OTI_VOLTA_ORIENTAL-23-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,23,tree,tie,,
PROTO_OTI_VOLTA_ORIENTAL-25-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,25,leaf,fian,,
PROTO_OTI_VOLTA_ORIENTAL-28-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,28,skin,kuan,,
PROTO_OTI_VOLTA_ORIENTAL-30-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,30,blood,yia,,
PROTO_OTI_VOLTA_ORIENTAL-31-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,31,bone,kuan,,
PROTO_OTI_VOLTA_ORIENTAL-34-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,34,horn,yen,,
PROTO_OTI_VOLTA_ORIENTAL-39-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,39,ear,tuo,,
PROTO_OTI_VOLTA_ORIENTAL-40-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,40,eye,nuan,,
PROTO_OTI_VOLTA_ORIENTAL-41-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,41,nose,wuan,,
PROTO_OTI_VOLTA_ORIENTAL-43-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,43,tooth,nin,,
PROTO_OTI_VOLTA_ORIENTAL-44-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,44,tongue,dian,,
PROTO_OTI_VOLTA_ORIENTAL-47-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,47,knee,dun,,
PROTO_OTI_VOLTA_ORIENTAL-48-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,48,hand,nua,,
PROTO_OTI_VOLTA_ORIENTAL-51-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,51,breast,bua,,
PROTO_OTI_VOLTA_ORIENTAL-54-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,54,drink,yan,,
PROTO_OTI_VOLTA_ORIENTAL-57-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,57,see,yan,,
PROTO_OTI_VOLTA_ORIENTAL-58-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,58,hear,yo,,
PROTO_OTI_VOLTA_ORIENTAL-61-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,61,die,ku,,
PROTO_OTI_VOLTA_ORIENTAL-72-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,72,sun,yen,,
PROTO_OTI_VOLTA_ORIENTAL-74-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,74,star,wan,,
PROTO_OTI_VOLTA_ORIENTAL-75-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,75,water,nia,,
PROTO_OTI_VOLTA_ORIENTAL-77-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,77,stone,tan,,
PROTO_OTI_VOLTA_ORIENTAL-85-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,85,path,kia,,
PROTO_OTI_VOLTA_ORIENTAL-85-2,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,85,path,kua,,
PROTO_OTI_VOLTA_ORIENTAL-86-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,86,mountain,tan,,
PROTO_OTI_VOLTA_ORIENTAL-92-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,92,night,yan,,
PROTO_OTI_VOLTA_ORIENTAL-95-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,95,full,su,,
PROTO_OTI_VOLTA_ORIENTAL-96-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,96,new,pan,,
PROTO_OTI_VOLTA_ORIENTAL-100-1,PROTO_OTI_VOLTA_ORIENTAL,Proto Oti Volta Oriental,100,name,yi,,
