ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_VIET_MUONG-1-1,PROTO_VIET_MUONG,Proto Viet Muong,1,I,toy,,
PROTO_VIET_MUONG-2-1,PROTO_VIET_MUONG,Proto Viet Muong,2,you,oN,,
PROTO_VIET_MUONG-2-2,PROTO_VIET_MUONG,Proto Viet Muong,2,you,ba,,
PROTO_VIET_MUONG-11-1,PROTO_VIET_MUONG,Proto Viet Muong,11,one,moT,,
PROTO_VIET_MUONG-12-1,PROTO_VIET_MUONG,Proto Viet Muong,12,two,hal,,
PROTO_VIET_MUONG-18-1,PROTO_VIET_MUONG,Proto Viet Muong,18,person,Ni3y,,
PROTO_VIET_MUONG-19-1,PROTO_VIET_MUONG,Proto Viet Muong,19,fish,ka,,
PROTO_VIET_MUONG-21-1,PROTO_VIET_MUONG,Proto Viet Muong,21,dog,To,,
PROTO_VIET_MUONG-22-1,PROTO_VIET_MUONG,Proto Viet Muong,22,louse,gr35,,
PROTO_VIET_MUONG-22-2,PROTO_VIET_MUONG,Proto Viet Muong,22,louse,T3y,,
PROTO_VIET_MUONG-23-1,PROTO_VIET_MUONG,Proto Viet Muong,23,tree,k3l,,
PROTO_VIET_MUONG-25-1,PROTO_VIET_MUONG,Proto Viet Muong,25,leaf,hla,,
PROTO_VIET_MUONG-28-1,PROTO_VIET_MUONG,Proto Viet Muong,28,skin,h3ta,,
PROTO_VIET_MUONG-30-1,PROTO_VIET_MUONG,Proto Viet Muong,30,blood,hmaw,,
PROTO_VIET_MUONG-31-1,PROTO_VIET_MUONG,Proto Viet Muong,31,bone,Ti3N,,
PROTO_VIET_MUONG-39-1,PROTO_VIET_MUONG,Proto Viet Muong,39,ear,tay,,
PROTO_VIET_MUONG-40-1,PROTO_VIET_MUONG,Proto Viet Muong,40,eye,h3mat,,
PROTO_VIET_MUONG-41-1,PROTO_VIET_MUONG,Proto Viet Muong,41,nose,muy,,
PROTO_VIET_MUONG-43-1,PROTO_VIET_MUONG,Proto Viet Muong,43,tooth,traN,,
PROTO_VIET_MUONG-44-1,PROTO_VIET_MUONG,Proto Viet Muong,44,tongue,lay,,
PROTO_VIET_MUONG-54-1,PROTO_VIET_MUONG,Proto Viet Muong,54,drink,oN,,
PROTO_VIET_MUONG-66-1,PROTO_VIET_MUONG,Proto Viet Muong,66,come,lay,,
PROTO_VIET_MUONG-74-1,PROTO_VIET_MUONG,Proto Viet Muong,74,star,khaw,,
PROTO_VIET_MUONG-75-1,PROTO_VIET_MUONG,Proto Viet Muong,75,water,dak,,
PROTO_VIET_MUONG-82-1,PROTO_VIET_MUONG,Proto Viet Muong,82,fire,kuy,,
PROTO_VIET_MUONG-86-1,PROTO_VIET_MUONG,Proto Viet Muong,86,mountain,dol,,
PROTO_VIET_MUONG-92-1,PROTO_VIET_MUONG,Proto Viet Muong,92,night,tem,,
PROTO_VIET_MUONG-95-1,PROTO_VIET_MUONG,Proto Viet Muong,95,full,d3y,,
PROTO_VIET_MUONG-96-1,PROTO_VIET_MUONG,Proto Viet Muong,96,new,hmey,,
PROTO_VIET_MUONG-100-1,PROTO_VIET_MUONG,Proto Viet Muong,100,name,ten,,
