ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PROTO_WEST_KHOE-11-1,PROTO_WEST_KHOE,Proto West Khoe,11,one,!ui,,
PROTO_WEST_KHOE-12-1,PROTO_WEST_KHOE,Proto West Khoe,12,two,!am,,
PROTO_WEST_KHOE-19-1,PROTO_WEST_KHOE,Proto West Khoe,19,fish,"!""au",,
PROTO_WEST_KHOE-21-1,PROTO_WEST_KHOE,Proto West Khoe,21,dog,aba,,
PROTO_WEST_KHOE-22-1,PROTO_WEST_KHOE,Proto West Khoe,22,louse,"kx""~uni",,
PROTO_WEST_KHOE-23-1,PROTO_WEST_KHOE,Proto West Khoe,23,tree,yi,,
PROTO_WEST_KHOE-25-1,PROTO_WEST_KHOE,Proto West Khoe,25,leaf,!ana,,
PROTO_WEST_KHOE-28-1,PROTO_WEST_KHOE,Proto West Khoe,28,skin,kho,,
PROTO_WEST_KHOE-30-1,PROTO_WEST_KHOE,Proto West Khoe,30,blood,"!""ao",,
PROTO_WEST_KHOE-31-1,PROTO_WEST_KHOE,Proto West Khoe,31,bone,"!""o*a*",,
PROTO_WEST_KHOE-34-1,PROTO_WEST_KHOE,Proto West Khoe,34,horn,!na,,
PROTO_WEST_KHOE-39-1,PROTO_WEST_KHOE,Proto West Khoe,39,ear,!e,,
PROTO_WEST_KHOE-40-1,PROTO_WEST_KHOE,Proto West Khoe,40,eye,!xai,,
PROTO_WEST_KHOE-41-1,PROTO_WEST_KHOE,Proto West Khoe,41,nose,!ui,,
PROTO_WEST_KHOE-43-1,PROTO_WEST_KHOE,Proto West Khoe,43,tooth,!u*,,
PROTO_WEST_KHOE-44-1,PROTO_WEST_KHOE,Proto West Khoe,44,tongue,dam,,
PROTO_WEST_KHOE-47-1,PROTO_WEST_KHOE,Proto West Khoe,47,knee,!udu,,
PROTO_WEST_KHOE-48-1,PROTO_WEST_KHOE,Proto West Khoe,48,hand,chau,,
PROTO_WEST_KHOE-53-1,PROTO_WEST_KHOE,Proto West Khoe,53,liver,"kx""~a*i*",,
PROTO_WEST_KHOE-54-1,PROTO_WEST_KHOE,Proto West Khoe,54,drink,"kx""~a",,
PROTO_WEST_KHOE-58-1,PROTO_WEST_KHOE,Proto West Khoe,58,hear,kum,,
PROTO_WEST_KHOE-58-2,PROTO_WEST_KHOE,Proto West Khoe,58,hear,kom,,
PROTO_WEST_KHOE-61-1,PROTO_WEST_KHOE,Proto West Khoe,61,die,"!""o",,
PROTO_WEST_KHOE-66-1,PROTO_WEST_KHOE,Proto West Khoe,66,come,ha,,
PROTO_WEST_KHOE-72-1,PROTO_WEST_KHOE,Proto West Khoe,72,sun,!am,,
PROTO_WEST_KHOE-75-1,PROTO_WEST_KHOE,Proto West Khoe,75,water,cha,,
PROTO_WEST_KHOE-77-1,PROTO_WEST_KHOE,Proto West Khoe,77,stone,!noa,,
PROTO_WEST_KHOE-77-2,PROTO_WEST_KHOE,Proto West Khoe,77,stone,!oa,,
PROTO_WEST_KHOE-82-1,PROTO_WEST_KHOE,Proto West Khoe,82,fire,"!""e",,
PROTO_WEST_KHOE-85-1,PROTO_WEST_KHOE,Proto West Khoe,85,path,dao,,
PROTO_WEST_KHOE-100-1,PROTO_WEST_KHOE,Proto West Khoe,100,name,"x""on",,
