ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PSIKYE-1-1,PSIKYE,Psikye,1,I,Ta,,
PSIKYE-2-1,PSIKYE,Psikye,2,you,na,,
PSIKYE-3-1,PSIKYE,Psikye,3,we,bumu,,
PSIKYE-3-2,PSIKYE,Psikye,3,we,gebumu,,
PSIKYE-11-1,PSIKYE,Psikye,11,one,kw3ty~EN,,
PSIKYE-12-1,PSIKYE,Psikye,12,two,bak,,
PSIKYE-18-1,PSIKYE,Psikye,18,person,wund~u,,
PSIKYE-19-1,PSIKYE,Psikye,19,fish,kelepe,,
PSIKYE-21-1,PSIKYE,Psikye,21,dog,klEketi,,
PSIKYE-23-1,PSIKYE,Psikye,23,tree,wufe,,
PSIKYE-28-1,PSIKYE,Psikye,28,skin,xw~eta,,
PSIKYE-40-1,PSIKYE,Psikye,40,eye,nSi,,
PSIKYE-43-1,PSIKYE,Psikye,43,tooth,tl~ene,,
PSIKYE-48-1,PSIKYE,Psikye,48,hand,dz~eve,,
PSIKYE-57-1,PSIKYE,Psikye,57,see,tenewe,,
PSIKYE-58-1,PSIKYE,Psikye,58,hear,fa,,
PSIKYE-61-1,PSIKYE,Psikye,61,die,mt~e,,
PSIKYE-66-1,PSIKYE,Psikye,66,come,se,,
PSIKYE-74-1,PSIKYE,Psikye,74,star,sasurgw~a,,
PSIKYE-75-1,PSIKYE,Psikye,75,water,yEmu,,
PSIKYE-77-1,PSIKYE,Psikye,77,stone,pelE,,
PSIKYE-82-1,PSIKYE,Psikye,82,fire,gwu,,
PSIKYE-92-1,PSIKYE,Psikye,92,night,xE,,
PSIKYE-92-2,PSIKYE,Psikye,92,night,vidi,,
PSIKYE-95-1,PSIKYE,Psikye,95,full,vidi,,
PSIKYE-96-1,PSIKYE,Psikye,96,new,mEnEfE,,
