ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
PUQUINA-1-1,PUQUINA,Puquina,1,I,ni,,
PUQUINA-1-2,PUQUINA,Puquina,1,I,niqe,,
PUQUINA-2-1,PUQUINA,Puquina,2,you,pi,,
PUQUINA-2-2,PUQUINA,Puquina,2,you,ipi,,
PUQUINA-3-1,PUQUINA,Puquina,3,we,niC,,
PUQUINA-11-1,PUQUINA,Puquina,11,one,pesq,,
PUQUINA-12-1,PUQUINA,Puquina,12,two,so,,
PUQUINA-18-1,PUQUINA,Puquina,18,person,mi5,,
PUQUINA-19-1,PUQUINA,Puquina,19,fish,juCa,,
PUQUINA-21-1,PUQUINA,Puquina,21,dog,qomse,,
PUQUINA-23-1,PUQUINA,Puquina,23,tree,tara,,
PUQUINA-28-1,PUQUINA,Puquina,28,skin,lipe,,
PUQUINA-30-1,PUQUINA,Puquina,30,blood,qami,,
PUQUINA-40-1,PUQUINA,Puquina,40,eye,yuqe,,
PUQUINA-40-2,PUQUINA,Puquina,40,eye,hiski,,
PUQUINA-47-1,PUQUINA,Puquina,47,knee,esqa,,
PUQUINA-48-1,PUQUINA,Puquina,48,hand,moha,,
PUQUINA-54-1,PUQUINA,Puquina,54,drink,Coqana,,
PUQUINA-54-2,PUQUINA,Puquina,54,drink,Cuqana,,
PUQUINA-58-1,PUQUINA,Puquina,58,hear,orena,,
PUQUINA-61-1,PUQUINA,Puquina,61,die,halana,,
PUQUINA-66-1,PUQUINA,Puquina,66,come,waCana,,
PUQUINA-66-2,PUQUINA,Puquina,66,come,waCaqena,,
PUQUINA-72-1,PUQUINA,Puquina,72,sun,inti,,
PUQUINA-74-1,PUQUINA,Puquina,74,star,wara,,
PUQUINA-75-1,PUQUINA,Puquina,75,water,unu,,
PUQUINA-96-1,PUQUINA,Puquina,96,new,wanaqa,,
PUQUINA-100-1,PUQUINA,Puquina,100,name,nana,,
