ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-1-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,1,I,kou,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-2-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,2,you,muN,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-3-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,3,we,lousai,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-11-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,11,one,yat,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-12-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,12,two,LoN,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-12-2,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,12,two,Nui,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-18-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,18,person,hun,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-19-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,19,fish,pa,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-21-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,21,dog,ma,,
QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG-22-1,QINZHOU_CENTRAL_HONGSHUIHE_ZHUANG,Qinzhou Central Hongshuihe Zhuang,22,louse,th~au,,
