ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
QUECHUA_YAUYOS_HONGOS-1-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,1,I,5uXa,,
QUECHUA_YAUYOS_HONGOS-2-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,2,you,qam,,
QUECHUA_YAUYOS_HONGOS-3-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,3,we,5uXa5Cik,,
QUECHUA_YAUYOS_HONGOS-11-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,11,one,huk,,
QUECHUA_YAUYOS_HONGOS-11-2,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,11,one,huki,,
QUECHUA_YAUYOS_HONGOS-12-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,12,two,iSkay,,
QUECHUA_YAUYOS_HONGOS-18-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,18,person,luna,,
QUECHUA_YAUYOS_HONGOS-21-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,21,dog,aLuXu,,
QUECHUA_YAUYOS_HONGOS-22-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,22,louse,usa,,
QUECHUA_YAUYOS_HONGOS-28-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,28,skin,qala,,
QUECHUA_YAUYOS_HONGOS-30-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,30,blood,yawar,,
QUECHUA_YAUYOS_HONGOS-34-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,34,horn,waXla,,
QUECHUA_YAUYOS_HONGOS-39-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,39,ear,linli,,
QUECHUA_YAUYOS_HONGOS-40-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,40,eye,5awi,,
QUECHUA_YAUYOS_HONGOS-41-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,41,nose,sinXa,,
QUECHUA_YAUYOS_HONGOS-43-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,43,tooth,kilu,,
QUECHUA_YAUYOS_HONGOS-44-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,44,tongue,qaLu,,
QUECHUA_YAUYOS_HONGOS-48-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,48,hand,maki,,
QUECHUA_YAUYOS_HONGOS-57-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,57,see,lika,,
QUECHUA_YAUYOS_HONGOS-61-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,61,die,wa5u,,
QUECHUA_YAUYOS_HONGOS-66-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,66,come,Samu,,
QUECHUA_YAUYOS_HONGOS-72-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,72,sun,inti,,
QUECHUA_YAUYOS_HONGOS-75-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,75,water,yaku,,
QUECHUA_YAUYOS_HONGOS-77-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,77,stone,lumi,,
QUECHUA_YAUYOS_HONGOS-82-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,82,fire,nina,,
QUECHUA_YAUYOS_HONGOS-92-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,92,night,tuta,,
QUECHUA_YAUYOS_HONGOS-95-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,95,full,hunta,,
QUECHUA_YAUYOS_HONGOS-96-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,96,new,muSuX,,
QUECHUA_YAUYOS_HONGOS-100-1,QUECHUA_YAUYOS_HONGOS,Quechua Yauyos Hongos,100,name,Suti,,
