ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
QUICHUA_TUNGURAHUA_SALASACA-1-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,1,I,5uka,,
QUICHUA_TUNGURAHUA_SALASACA-2-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,2,you,kan,,
QUICHUA_TUNGURAHUA_SALASACA-3-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,3,we,5ukunCih,,
QUICHUA_TUNGURAHUA_SALASACA-11-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,11,one,Suh,,
QUICHUA_TUNGURAHUA_SALASACA-12-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,12,two,iSki,,
QUICHUA_TUNGURAHUA_SALASACA-18-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,18,person,hinti,,
QUICHUA_TUNGURAHUA_SALASACA-19-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,19,fish,Caula,,
QUICHUA_TUNGURAHUA_SALASACA-21-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,21,dog,aCku,,
QUICHUA_TUNGURAHUA_SALASACA-22-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,22,louse,usa,,
QUICHUA_TUNGURAHUA_SALASACA-22-2,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,22,louse,pilis,,
QUICHUA_TUNGURAHUA_SALASACA-23-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,23,tree,yura,,
QUICHUA_TUNGURAHUA_SALASACA-25-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,25,leaf,"p""anga",,
QUICHUA_TUNGURAHUA_SALASACA-28-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,28,skin,kara,,
QUICHUA_TUNGURAHUA_SALASACA-30-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,30,blood,ya3r,,
QUICHUA_TUNGURAHUA_SALASACA-31-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,31,bone,tuLu,,
QUICHUA_TUNGURAHUA_SALASACA-34-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,34,horn,kaCu,,
QUICHUA_TUNGURAHUA_SALASACA-39-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,39,ear,rinrin,,
QUICHUA_TUNGURAHUA_SALASACA-40-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,40,eye,5awi,,
QUICHUA_TUNGURAHUA_SALASACA-41-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,41,nose,singa,,
QUICHUA_TUNGURAHUA_SALASACA-43-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,43,tooth,kiru,,
QUICHUA_TUNGURAHUA_SALASACA-44-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,44,tongue,"k""aLu",,
QUICHUA_TUNGURAHUA_SALASACA-47-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,47,knee,kunguri,,
QUICHUA_TUNGURAHUA_SALASACA-48-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,48,hand,maki,,
QUICHUA_TUNGURAHUA_SALASACA-51-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,51,breast,CuCu,,
QUICHUA_TUNGURAHUA_SALASACA-53-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,53,liver,yana Sungu,,
QUICHUA_TUNGURAHUA_SALASACA-54-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,54,drink,ubya,,
QUICHUA_TUNGURAHUA_SALASACA-57-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,57,see,riku,,
QUICHUA_TUNGURAHUA_SALASACA-58-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,58,hear,uya,,
QUICHUA_TUNGURAHUA_SALASACA-61-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,61,die,wa5u,,
QUICHUA_TUNGURAHUA_SALASACA-66-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,66,come,Samu,,
QUICHUA_TUNGURAHUA_SALASACA-72-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,72,sun,inti,,
QUICHUA_TUNGURAHUA_SALASACA-74-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,74,star,luziru,,
QUICHUA_TUNGURAHUA_SALASACA-75-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,75,water,yaku,,
QUICHUA_TUNGURAHUA_SALASACA-77-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,77,stone,rumi,,
QUICHUA_TUNGURAHUA_SALASACA-82-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,82,fire,nina,,
QUICHUA_TUNGURAHUA_SALASACA-85-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,85,path,5an,,
QUICHUA_TUNGURAHUA_SALASACA-86-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,86,mountain,urku,,
QUICHUA_TUNGURAHUA_SALASACA-92-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,92,night,tuta,,
QUICHUA_TUNGURAHUA_SALASACA-95-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,95,full,hunda,,
QUICHUA_TUNGURAHUA_SALASACA-96-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,96,new,muSuh,,
QUICHUA_TUNGURAHUA_SALASACA-100-1,QUICHUA_TUNGURAHUA_SALASACA,Quichua Tungurahua Salasaca,100,name,Suti,,
