ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
RAJARAMPUR_SANTALI-1-1,RAJARAMPUR_SANTALI,Rajarampur Santali,1,I,in,,
RAJARAMPUR_SANTALI-2-1,RAJARAMPUR_SANTALI,Rajarampur Santali,2,you,am,,
RAJARAMPUR_SANTALI-3-1,RAJARAMPUR_SANTALI,Rajarampur Santali,3,we,abo,,
RAJARAMPUR_SANTALI-3-2,RAJARAMPUR_SANTALI,Rajarampur Santali,3,we,alE,,
RAJARAMPUR_SANTALI-11-1,RAJARAMPUR_SANTALI,Rajarampur Santali,11,one,mit,,
RAJARAMPUR_SANTALI-12-1,RAJARAMPUR_SANTALI,Rajarampur Santali,12,two,bar,,
RAJARAMPUR_SANTALI-18-1,RAJARAMPUR_SANTALI,Rajarampur Santali,18,person,hor,,
RAJARAMPUR_SANTALI-19-1,RAJARAMPUR_SANTALI,Rajarampur Santali,19,fish,hako,,
RAJARAMPUR_SANTALI-21-1,RAJARAMPUR_SANTALI,Rajarampur Santali,21,dog,Sita,,
RAJARAMPUR_SANTALI-23-1,RAJARAMPUR_SANTALI,Rajarampur Santali,23,tree,darE,,
RAJARAMPUR_SANTALI-25-1,RAJARAMPUR_SANTALI,Rajarampur Santali,25,leaf,sakam,,
RAJARAMPUR_SANTALI-28-1,RAJARAMPUR_SANTALI,Rajarampur Santali,28,skin,harta,,
RAJARAMPUR_SANTALI-30-1,RAJARAMPUR_SANTALI,Rajarampur Santali,30,blood,mayam,,
RAJARAMPUR_SANTALI-31-1,RAJARAMPUR_SANTALI,Rajarampur Santali,31,bone,jaN,,
RAJARAMPUR_SANTALI-34-1,RAJARAMPUR_SANTALI,Rajarampur Santali,34,horn,diriN,,
RAJARAMPUR_SANTALI-39-1,RAJARAMPUR_SANTALI,Rajarampur Santali,39,ear,lutur,,
RAJARAMPUR_SANTALI-40-1,RAJARAMPUR_SANTALI,Rajarampur Santali,40,eye,mEt,,
RAJARAMPUR_SANTALI-41-1,RAJARAMPUR_SANTALI,Rajarampur Santali,41,nose,mu,,
RAJARAMPUR_SANTALI-43-1,RAJARAMPUR_SANTALI,Rajarampur Santali,43,tooth,data,,
RAJARAMPUR_SANTALI-44-1,RAJARAMPUR_SANTALI,Rajarampur Santali,44,tongue,alaN,,
RAJARAMPUR_SANTALI-47-1,RAJARAMPUR_SANTALI,Rajarampur Santali,47,knee,gunth~i,,
RAJARAMPUR_SANTALI-48-1,RAJARAMPUR_SANTALI,Rajarampur Santali,48,hand,ti,,
RAJARAMPUR_SANTALI-54-1,RAJARAMPUR_SANTALI,Rajarampur Santali,54,drink,5u,,
RAJARAMPUR_SANTALI-57-1,RAJARAMPUR_SANTALI,Rajarampur Santali,57,see,5El,,
RAJARAMPUR_SANTALI-58-1,RAJARAMPUR_SANTALI,Rajarampur Santali,58,hear,anjom,,
RAJARAMPUR_SANTALI-61-1,RAJARAMPUR_SANTALI,Rajarampur Santali,61,die,goit,,
RAJARAMPUR_SANTALI-66-1,RAJARAMPUR_SANTALI,Rajarampur Santali,66,come,h3ju7,,
RAJARAMPUR_SANTALI-72-1,RAJARAMPUR_SANTALI,Rajarampur Santali,72,sun,Candu,,
RAJARAMPUR_SANTALI-74-1,RAJARAMPUR_SANTALI,Rajarampur Santali,74,star,ipil,,
RAJARAMPUR_SANTALI-75-1,RAJARAMPUR_SANTALI,Rajarampur Santali,75,water,da7,,
RAJARAMPUR_SANTALI-77-1,RAJARAMPUR_SANTALI,Rajarampur Santali,77,stone,dh~iri,,
RAJARAMPUR_SANTALI-82-1,RAJARAMPUR_SANTALI,Rajarampur Santali,82,fire,sENgEl,,
RAJARAMPUR_SANTALI-85-1,RAJARAMPUR_SANTALI,Rajarampur Santali,85,path,hor,,
RAJARAMPUR_SANTALI-86-1,RAJARAMPUR_SANTALI,Rajarampur Santali,86,mountain,buru,,
RAJARAMPUR_SANTALI-92-1,RAJARAMPUR_SANTALI,Rajarampur Santali,92,night,nind3,,
RAJARAMPUR_SANTALI-95-1,RAJARAMPUR_SANTALI,Rajarampur Santali,95,full,pEreit,,
RAJARAMPUR_SANTALI-96-1,RAJARAMPUR_SANTALI,Rajarampur Santali,96,new,nawa,,
RAJARAMPUR_SANTALI-100-1,RAJARAMPUR_SANTALI,Rajarampur Santali,100,name,nutum,,
