ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
RANQUELCHE-1-1,RANQUELCHE,Ranquelche,1,I,inCe,,
RANQUELCHE-2-1,RANQUELCHE,Ranquelche,2,you,eymi,,
RANQUELCHE-3-1,RANQUELCHE,Ranquelche,3,we,inCiu,,
RANQUELCHE-11-1,RANQUELCHE,Ranquelche,11,one,ki5e,,
RANQUELCHE-12-1,RANQUELCHE,Ranquelche,12,two,epu,,
RANQUELCHE-18-1,RANQUELCHE,Ranquelche,18,person,id,,
RANQUELCHE-18-2,RANQUELCHE,Ranquelche,18,person,Ce,,
RANQUELCHE-19-1,RANQUELCHE,Ranquelche,19,fish,Caly~wa,,
RANQUELCHE-21-1,RANQUELCHE,Ranquelche,21,dog,th~ewa,,
RANQUELCHE-22-1,RANQUELCHE,Ranquelche,22,louse,th~un,,
RANQUELCHE-22-2,RANQUELCHE,Ranquelche,22,louse,puth~ar,,
RANQUELCHE-23-1,RANQUELCHE,Ranquelche,23,tree,mumuly~,,
RANQUELCHE-25-1,RANQUELCHE,Ranquelche,25,leaf,tr~apul,,
RANQUELCHE-28-1,RANQUELCHE,Ranquelche,28,skin,th~ulke,,
RANQUELCHE-30-1,RANQUELCHE,Ranquelche,30,blood,muly~vu5,,
RANQUELCHE-31-1,RANQUELCHE,Ranquelche,31,bone,boro,,
RANQUELCHE-39-1,RANQUELCHE,Ranquelche,39,ear,pilun,,
RANQUELCHE-40-1,RANQUELCHE,Ranquelche,40,eye,ge,,
RANQUELCHE-41-1,RANQUELCHE,Ranquelche,41,nose,yu,,
RANQUELCHE-43-1,RANQUELCHE,Ranquelche,43,tooth,boroayeke,,
RANQUELCHE-44-1,RANQUELCHE,Ranquelche,44,tongue,keun,,
RANQUELCHE-44-2,RANQUELCHE,Ranquelche,44,tongue,dugun,,
RANQUELCHE-47-1,RANQUELCHE,Ranquelche,47,knee,luku,,
RANQUELCHE-48-1,RANQUELCHE,Ranquelche,48,hand,ku,,
RANQUELCHE-51-1,RANQUELCHE,Ranquelche,51,breast,ruku,,
RANQUELCHE-51-2,RANQUELCHE,Ranquelche,51,breast,puly~kuma,,
RANQUELCHE-53-1,RANQUELCHE,Ranquelche,53,liver,ke,,
RANQUELCHE-54-1,RANQUELCHE,Ranquelche,54,drink,putun,,
RANQUELCHE-54-2,RANQUELCHE,Ranquelche,54,drink,in,,
RANQUELCHE-57-1,RANQUELCHE,Ranquelche,57,see,pen,,
RANQUELCHE-57-2,RANQUELCHE,Ranquelche,57,see,pelon,,
RANQUELCHE-58-1,RANQUELCHE,Ranquelche,58,hear,aly~kun,,
RANQUELCHE-61-1,RANQUELCHE,Ranquelche,61,die,lan,,
RANQUELCHE-66-1,RANQUELCHE,Ranquelche,66,come,kupan,,
RANQUELCHE-66-2,RANQUELCHE,Ranquelche,66,come,gepan,,
RANQUELCHE-72-1,RANQUELCHE,Ranquelche,72,sun,antu,,
RANQUELCHE-74-1,RANQUELCHE,Ranquelche,74,star,wakelen,,
RANQUELCHE-75-1,RANQUELCHE,Ranquelche,75,water,ko,,
RANQUELCHE-77-1,RANQUELCHE,Ranquelche,77,stone,kura,,
RANQUELCHE-82-1,RANQUELCHE,Ranquelche,82,fire,gutr~al,,
RANQUELCHE-85-1,RANQUELCHE,Ranquelche,85,path,rupu,,
RANQUELCHE-86-1,RANQUELCHE,Ranquelche,86,mountain,mawida,,
RANQUELCHE-92-1,RANQUELCHE,Ranquelche,92,night,pun,,
RANQUELCHE-96-1,RANQUELCHE,Ranquelche,96,new,we,,
RANQUELCHE-100-1,RANQUELCHE,Ranquelche,100,name,gh~uy,,
