ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
REUNIONNAIS-1-1,REUNIONNAIS,Reunionnais,1,I,mwe*,,
REUNIONNAIS-1-2,REUNIONNAIS,Reunionnais,1,I,mi,,
REUNIONNAIS-2-1,REUNIONNAIS,Reunionnais,2,you,u,,
REUNIONNAIS-3-1,REUNIONNAIS,Reunionnais,3,we,nu,,
REUNIONNAIS-11-1,REUNIONNAIS,Reunionnais,11,one,e*n,,
REUNIONNAIS-12-1,REUNIONNAIS,Reunionnais,12,two,de,,
REUNIONNAIS-18-1,REUNIONNAIS,Reunionnais,18,person,mun,,
REUNIONNAIS-19-1,REUNIONNAIS,Reunionnais,19,fish,pwaso*,,
REUNIONNAIS-21-1,REUNIONNAIS,Reunionnais,21,dog,sje*,,
REUNIONNAIS-22-1,REUNIONNAIS,Reunionnais,22,louse,pu,,
REUNIONNAIS-23-1,REUNIONNAIS,Reunionnais,23,tree,pjedbwa,,
REUNIONNAIS-25-1,REUNIONNAIS,Reunionnais,25,leaf,fej,,
REUNIONNAIS-28-1,REUNIONNAIS,Reunionnais,28,skin,po,,
REUNIONNAIS-30-1,REUNIONNAIS,Reunionnais,30,blood,sa*,,
REUNIONNAIS-31-1,REUNIONNAIS,Reunionnais,31,bone,zo,,
REUNIONNAIS-34-1,REUNIONNAIS,Reunionnais,34,horn,korn,,
REUNIONNAIS-39-1,REUNIONNAIS,Reunionnais,39,ear,zorej,,
REUNIONNAIS-40-1,REUNIONNAIS,Reunionnais,40,eye,zje,,
REUNIONNAIS-41-1,REUNIONNAIS,Reunionnais,41,nose,ne,,
REUNIONNAIS-43-1,REUNIONNAIS,Reunionnais,43,tooth,da*,,
REUNIONNAIS-44-1,REUNIONNAIS,Reunionnais,44,tongue,la*g,,
REUNIONNAIS-47-1,REUNIONNAIS,Reunionnais,47,knee,zonu,,
REUNIONNAIS-48-1,REUNIONNAIS,Reunionnais,48,hand,me*,,
REUNIONNAIS-51-1,REUNIONNAIS,Reunionnais,51,breast,tete,,
REUNIONNAIS-53-1,REUNIONNAIS,Reunionnais,53,liver,fwa,,
REUNIONNAIS-54-1,REUNIONNAIS,Reunionnais,54,drink,bwar,,
REUNIONNAIS-57-1,REUNIONNAIS,Reunionnais,57,see,vwa,,
REUNIONNAIS-58-1,REUNIONNAIS,Reunionnais,58,hear,a*ta*,,
REUNIONNAIS-61-1,REUNIONNAIS,Reunionnais,61,die,mor,,
REUNIONNAIS-66-1,REUNIONNAIS,Reunionnais,66,come,vje*,,
REUNIONNAIS-72-1,REUNIONNAIS,Reunionnais,72,sun,solej,,
REUNIONNAIS-74-1,REUNIONNAIS,Reunionnais,74,star,zetwal,,
REUNIONNAIS-75-1,REUNIONNAIS,Reunionnais,75,water,lo,,
REUNIONNAIS-75-2,REUNIONNAIS,Reunionnais,75,water,dilo,,
REUNIONNAIS-77-1,REUNIONNAIS,Reunionnais,77,stone,gale,,
REUNIONNAIS-82-1,REUNIONNAIS,Reunionnais,82,fire,fe,,
REUNIONNAIS-85-1,REUNIONNAIS,Reunionnais,85,path,some*,,
REUNIONNAIS-86-1,REUNIONNAIS,Reunionnais,86,mountain,mo*tan,,
REUNIONNAIS-92-1,REUNIONNAIS,Reunionnais,92,night,nwi,,
REUNIONNAIS-95-1,REUNIONNAIS,Reunionnais,95,full,ple*,,
REUNIONNAIS-96-1,REUNIONNAIS,Reunionnais,96,new,nuvo,,
REUNIONNAIS-100-1,REUNIONNAIS,Reunionnais,100,name,no*,,
