ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
RGYALTHANG-1-1,RGYALTHANG,Rgyalthang,1,I,Na,,
RGYALTHANG-2-1,RGYALTHANG,Rgyalthang,2,you,CoS3,,
RGYALTHANG-11-1,RGYALTHANG,Rgyalthang,11,one,Ci,,
RGYALTHANG-12-1,RGYALTHANG,Rgyalthang,12,two,n3i,,
RGYALTHANG-18-1,RGYALTHANG,Rgyalthang,18,person,n3,,
RGYALTHANG-19-1,RGYALTHANG,Rgyalthang,19,fish,5a,,
RGYALTHANG-21-1,RGYALTHANG,Rgyalthang,21,dog,C3,,
RGYALTHANG-22-1,RGYALTHANG,Rgyalthang,22,louse,Ci,,
RGYALTHANG-23-1,RGYALTHANG,Rgyalthang,23,tree,SiNph~uN,,
RGYALTHANG-25-1,RGYALTHANG,Rgyalthang,25,leaf,alu3,,
RGYALTHANG-28-1,RGYALTHANG,Rgyalthang,28,skin,p3re,,
RGYALTHANG-30-1,RGYALTHANG,Rgyalthang,30,blood,Ch~,,
RGYALTHANG-31-1,RGYALTHANG,Rgyalthang,31,bone,ripa,,
RGYALTHANG-34-1,RGYALTHANG,Rgyalthang,34,horn,rua,,
RGYALTHANG-39-1,RGYALTHANG,Rgyalthang,39,ear,naC3,,
RGYALTHANG-40-1,RGYALTHANG,Rgyalthang,40,eye,5i,,
RGYALTHANG-41-1,RGYALTHANG,Rgyalthang,41,nose,na,,
RGYALTHANG-43-1,RGYALTHANG,Rgyalthang,43,tooth,su3,,
RGYALTHANG-44-1,RGYALTHANG,Rgyalthang,44,tongue,C3,,
RGYALTHANG-48-1,RGYALTHANG,Rgyalthang,48,hand,lawa,,
RGYALTHANG-51-1,RGYALTHANG,Rgyalthang,51,breast,n3ipo,,
RGYALTHANG-53-1,RGYALTHANG,Rgyalthang,53,liver,Ch~imb~a,,
RGYALTHANG-54-1,RGYALTHANG,Rgyalthang,54,drink,th~aN,,
RGYALTHANG-57-1,RGYALTHANG,Rgyalthang,57,see,th~oN,,
RGYALTHANG-61-1,RGYALTHANG,Rgyalthang,61,die,S3,,
RGYALTHANG-72-1,RGYALTHANG,Rgyalthang,72,sun,5iwaN,,
RGYALTHANG-74-1,RGYALTHANG,Rgyalthang,74,star,kuwaN,,
RGYALTHANG-75-1,RGYALTHANG,Rgyalthang,75,water,Ch~3,,
RGYALTHANG-77-1,RGYALTHANG,Rgyalthang,77,stone,nd~u3,,
RGYALTHANG-85-1,RGYALTHANG,Rgyalthang,85,path,laN,,
RGYALTHANG-86-1,RGYALTHANG,Rgyalthang,86,mountain,r3,,
RGYALTHANG-92-1,RGYALTHANG,Rgyalthang,92,night,cen,,
RGYALTHANG-95-1,RGYALTHANG,Rgyalthang,95,full,kaN,,
RGYALTHANG-96-1,RGYALTHANG,Rgyalthang,96,new,suwa,,
RGYALTHANG-100-1,RGYALTHANG,Rgyalthang,100,name,5aN,,
