ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
ROMBLOMANON_1-1-1,ROMBLOMANON_1,Romblomanon 1,1,I,Eko,,
ROMBLOMANON_1-2-1,ROMBLOMANON_1,Romblomanon 1,2,you,ikaw,,
ROMBLOMANON_1-3-1,ROMBLOMANON_1,Romblomanon 1,3,we,kita,,
ROMBLOMANON_1-11-1,ROMBLOMANON_1,Romblomanon 1,11,one,isa,,
ROMBLOMANON_1-12-1,ROMBLOMANON_1,Romblomanon 1,12,two,duha,,
ROMBLOMANON_1-18-1,ROMBLOMANON_1,Romblomanon 1,18,person,tawo,,
ROMBLOMANON_1-19-1,ROMBLOMANON_1,Romblomanon 1,19,fish,isda,,
ROMBLOMANON_1-21-1,ROMBLOMANON_1,Romblomanon 1,21,dog,ayam,,
ROMBLOMANON_1-21-2,ROMBLOMANON_1,Romblomanon 1,21,dog,iro7,,
ROMBLOMANON_1-22-1,ROMBLOMANON_1,Romblomanon 1,22,louse,koto,,
ROMBLOMANON_1-25-1,ROMBLOMANON_1,Romblomanon 1,25,leaf,dahon,,
ROMBLOMANON_1-28-1,ROMBLOMANON_1,Romblomanon 1,28,skin,anit,,
ROMBLOMANON_1-30-1,ROMBLOMANON_1,Romblomanon 1,30,blood,dugo,,
ROMBLOMANON_1-30-2,ROMBLOMANON_1,Romblomanon 1,30,blood,rugo,,
ROMBLOMANON_1-31-1,ROMBLOMANON_1,Romblomanon 1,31,bone,tuy7an,,
ROMBLOMANON_1-39-1,ROMBLOMANON_1,Romblomanon 1,39,ear,taliNa,,
ROMBLOMANON_1-40-1,ROMBLOMANON_1,Romblomanon 1,40,eye,mata,,
ROMBLOMANON_1-41-1,ROMBLOMANON_1,Romblomanon 1,41,nose,iloN,,
ROMBLOMANON_1-43-1,ROMBLOMANON_1,Romblomanon 1,43,tooth,Nipon,,
ROMBLOMANON_1-44-1,ROMBLOMANON_1,Romblomanon 1,44,tongue,dila7,,
ROMBLOMANON_1-48-1,ROMBLOMANON_1,Romblomanon 1,48,hand,kamot,,
ROMBLOMANON_1-51-1,ROMBLOMANON_1,Romblomanon 1,51,breast,soso,,
ROMBLOMANON_1-53-1,ROMBLOMANON_1,Romblomanon 1,53,liver,atay,,
ROMBLOMANON_1-53-2,ROMBLOMANON_1,Romblomanon 1,53,liver,agtay,,
ROMBLOMANON_1-54-1,ROMBLOMANON_1,Romblomanon 1,54,drink,pag7inum,,
ROMBLOMANON_1-57-1,ROMBLOMANON_1,Romblomanon 1,57,see,pagtan7aw,,
ROMBLOMANON_1-58-1,ROMBLOMANON_1,Romblomanon 1,58,hear,bati7,,
ROMBLOMANON_1-74-1,ROMBLOMANON_1,Romblomanon 1,74,star,bitu7on,,
ROMBLOMANON_1-75-1,ROMBLOMANON_1,Romblomanon 1,75,water,tubi7,,
ROMBLOMANON_1-77-1,ROMBLOMANON_1,Romblomanon 1,77,stone,bato,,
ROMBLOMANON_1-82-1,ROMBLOMANON_1,Romblomanon 1,82,fire,kalayo,,
ROMBLOMANON_1-85-1,ROMBLOMANON_1,Romblomanon 1,85,path,dayan,,
ROMBLOMANON_1-92-1,ROMBLOMANON_1,Romblomanon 1,92,night,gab7i,,
ROMBLOMANON_1-96-1,ROMBLOMANON_1,Romblomanon 1,96,new,bag7o,,
ROMBLOMANON_1-100-1,ROMBLOMANON_1,Romblomanon 1,100,name,Nayan,,
