ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
RUKAI-1-1,RUKAI,Rukai,1,I,kunako7,,
RUKAI-2-1,RUKAI,Rukai,2,you,k3so7,,
RUKAI-3-1,RUKAI,Rukai,3,we,kunaku7,,
RUKAI-11-1,RUKAI,Rukai,11,one,37a7,,
RUKAI-11-2,RUKAI,Rukai,11,one,deNa,,
RUKAI-12-1,RUKAI,Rukai,12,two,rusa7,,
RUKAI-12-2,RUKAI,Rukai,12,two,nousa,,
RUKAI-18-1,RUKAI,Rukai,18,person,omas7~,,
RUKAI-19-1,RUKAI,Rukai,19,fish,ka7aN,,
RUKAI-21-1,RUKAI,Rukai,21,dog,taupoN,,
RUKAI-22-1,RUKAI,Rukai,22,louse,dac37,,
RUKAI-22-2,RUKAI,Rukai,22,louse,koco,,
RUKAI-25-1,RUKAI,Rukai,25,leaf,bi7a7,,
RUKAI-28-1,RUKAI,Rukai,28,skin,ikid7~,,
RUKAI-30-1,RUKAI,Rukai,30,blood,3rai,,
RUKAI-31-1,RUKAI,Rukai,31,bone,r3m3r3m7~,,
RUKAI-39-1,RUKAI,Rukai,39,ear,caliNa7,,
RUKAI-40-1,RUKAI,Rukai,40,eye,maca7,,
RUKAI-41-1,RUKAI,Rukai,41,nose,NuNu7a,,
RUKAI-41-2,RUKAI,Rukai,41,nose,coumonu,,
RUKAI-43-1,RUKAI,Rukai,43,tooth,valis7~,,
RUKAI-44-1,RUKAI,Rukai,44,tongue,ridam7~,,
RUKAI-48-1,RUKAI,Rukai,48,hand,arima7,,
RUKAI-48-2,RUKAI,Rukai,48,hand,s3tapai,,
RUKAI-51-1,RUKAI,Rukai,51,breast,toto7,,
RUKAI-53-1,RUKAI,Rukai,53,liver,atai,,
RUKAI-54-1,RUKAI,Rukai,54,drink,woNol7~,,
RUKAI-57-1,RUKAI,Rukai,57,see,wac373l7~,,
RUKAI-58-1,RUKAI,Rukai,58,hear,kialala7,,
RUKAI-61-1,RUKAI,Rukai,61,die,wa7acai,,
RUKAI-61-2,RUKAI,Rukai,61,die,opacai,,
RUKAI-66-1,RUKAI,Rukai,66,come,niama7,,
RUKAI-66-2,RUKAI,Rukai,66,come,wak3la,,
RUKAI-74-1,RUKAI,Rukai,74,star,tariau,,
RUKAI-75-1,RUKAI,Rukai,75,water,acilai,,
RUKAI-77-1,RUKAI,Rukai,77,stone,r3n3g7~,,
RUKAI-82-1,RUKAI,Rukai,82,fire,a7oi,,
RUKAI-82-2,RUKAI,Rukai,82,fire,apoulu,,
RUKAI-85-1,RUKAI,Rukai,85,path,kaur7~a,,
RUKAI-85-2,RUKAI,Rukai,85,path,ka3l3a,,
RUKAI-92-1,RUKAI,Rukai,92,night,ma7uN,,
RUKAI-96-1,RUKAI,Rukai,96,new,ba7o7a7,,
RUKAI-100-1,RUKAI,Rukai,100,name,nagan7~,,
