ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SAMAL-1-1,SAMAL,Samal,1,I,aku,,
SAMAL-2-1,SAMAL,Samal,2,you,ka7a,,
SAMAL-3-1,SAMAL,Samal,3,we,kitam,,
SAMAL-11-1,SAMAL,Samal,11,one,isa,,
SAMAL-12-1,SAMAL,Samal,12,two,dua,,
SAMAL-18-1,SAMAL,Samal,18,person,a7a,,
SAMAL-19-1,SAMAL,Samal,19,fish,daiN,,
SAMAL-21-1,SAMAL,Samal,21,dog,edo7,,
SAMAL-22-1,SAMAL,Samal,22,louse,kutu,,
SAMAL-23-1,SAMAL,Samal,23,tree,kayu,,
SAMAL-25-1,SAMAL,Samal,25,leaf,daun,,
SAMAL-28-1,SAMAL,Samal,28,skin,kulit,,
SAMAL-30-1,SAMAL,Samal,30,blood,laha7,,
SAMAL-31-1,SAMAL,Samal,31,bone,koa7,,
SAMAL-39-1,SAMAL,Samal,39,ear,taliNa,,
SAMAL-40-1,SAMAL,Samal,40,eye,mata,,
SAMAL-41-1,SAMAL,Samal,41,nose,uung,,
SAMAL-43-1,SAMAL,Samal,43,tooth,empon,,
SAMAL-44-1,SAMAL,Samal,44,tongue,d3lla7,,
SAMAL-47-1,SAMAL,Samal,47,knee,tu7ut,,
SAMAL-48-1,SAMAL,Samal,48,hand,taNan,,
SAMAL-51-1,SAMAL,Samal,51,breast,dudu7,,
SAMAL-53-1,SAMAL,Samal,53,liver,atay,,
SAMAL-54-1,SAMAL,Samal,54,drink,inum,,
SAMAL-57-1,SAMAL,Samal,57,see,3nda7,,
SAMAL-58-1,SAMAL,Samal,58,hear,kale,,
SAMAL-74-1,SAMAL,Samal,74,star,bitu7un,,
SAMAL-75-1,SAMAL,Samal,75,water,bohe7,,
SAMAL-77-1,SAMAL,Samal,77,stone,batu,,
SAMAL-82-1,SAMAL,Samal,82,fire,api,,
SAMAL-85-1,SAMAL,Samal,85,path,laan,,
SAMAL-86-1,SAMAL,Samal,86,mountain,buud,,
SAMAL-92-1,SAMAL,Samal,92,night,saNom,,
SAMAL-95-1,SAMAL,Samal,95,full,ap3nno7,,
SAMAL-96-1,SAMAL,Samal,96,new,baha7u,,
SAMAL-100-1,SAMAL,Samal,100,name,oon,,
