ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SAMBAL_BOTOLAN-1-1,SAMBAL_BOTOLAN,Sambal Botolan,1,I,hiko,,
SAMBAL_BOTOLAN-2-1,SAMBAL_BOTOLAN,Sambal Botolan,2,you,hika,,
SAMBAL_BOTOLAN-3-1,SAMBAL_BOTOLAN,Sambal Botolan,3,we,hitamo,,
SAMBAL_BOTOLAN-11-1,SAMBAL_BOTOLAN,Sambal Botolan,11,one,miha,,
SAMBAL_BOTOLAN-12-1,SAMBAL_BOTOLAN,Sambal Botolan,12,two,loa,,
SAMBAL_BOTOLAN-18-1,SAMBAL_BOTOLAN,Sambal Botolan,18,person,tao,,
SAMBAL_BOTOLAN-19-1,SAMBAL_BOTOLAN,Sambal Botolan,19,fish,ikan,,
SAMBAL_BOTOLAN-21-1,SAMBAL_BOTOLAN,Sambal Botolan,21,dog,aho7,,
SAMBAL_BOTOLAN-22-1,SAMBAL_BOTOLAN,Sambal Botolan,22,louse,koto,,
SAMBAL_BOTOLAN-23-1,SAMBAL_BOTOLAN,Sambal Botolan,23,tree,kayo,,
SAMBAL_BOTOLAN-25-1,SAMBAL_BOTOLAN,Sambal Botolan,25,leaf,boloN,,
SAMBAL_BOTOLAN-28-1,SAMBAL_BOTOLAN,Sambal Botolan,28,skin,katat,,
SAMBAL_BOTOLAN-30-1,SAMBAL_BOTOLAN,Sambal Botolan,30,blood,daya7,,
SAMBAL_BOTOLAN-31-1,SAMBAL_BOTOLAN,Sambal Botolan,31,bone,bot7o,,
SAMBAL_BOTOLAN-39-1,SAMBAL_BOTOLAN,Sambal Botolan,39,ear,toli,,
SAMBAL_BOTOLAN-40-1,SAMBAL_BOTOLAN,Sambal Botolan,40,eye,mata,,
SAMBAL_BOTOLAN-41-1,SAMBAL_BOTOLAN,Sambal Botolan,41,nose,baloNo,,
SAMBAL_BOTOLAN-43-1,SAMBAL_BOTOLAN,Sambal Botolan,43,tooth,Nip3n,,
SAMBAL_BOTOLAN-44-1,SAMBAL_BOTOLAN,Sambal Botolan,44,tongue,dila7,,
SAMBAL_BOTOLAN-47-1,SAMBAL_BOTOLAN,Sambal Botolan,47,knee,to7ol,,
SAMBAL_BOTOLAN-48-1,SAMBAL_BOTOLAN,Sambal Botolan,48,hand,gam3t,,
SAMBAL_BOTOLAN-51-1,SAMBAL_BOTOLAN,Sambal Botolan,51,breast,nono7,,
SAMBAL_BOTOLAN-53-1,SAMBAL_BOTOLAN,Sambal Botolan,53,liver,agtay,,
SAMBAL_BOTOLAN-54-1,SAMBAL_BOTOLAN,Sambal Botolan,54,drink,minom,,
SAMBAL_BOTOLAN-54-2,SAMBAL_BOTOLAN,Sambal Botolan,54,drink,inom,,
SAMBAL_BOTOLAN-57-1,SAMBAL_BOTOLAN,Sambal Botolan,57,see,makit,,
SAMBAL_BOTOLAN-58-1,SAMBAL_BOTOLAN,Sambal Botolan,58,hear,mal3N37,,
SAMBAL_BOTOLAN-74-1,SAMBAL_BOTOLAN,Sambal Botolan,74,star,bito73n,,
SAMBAL_BOTOLAN-75-1,SAMBAL_BOTOLAN,Sambal Botolan,75,water,lanom,,
SAMBAL_BOTOLAN-77-1,SAMBAL_BOTOLAN,Sambal Botolan,77,stone,bato,,
SAMBAL_BOTOLAN-82-1,SAMBAL_BOTOLAN,Sambal Botolan,82,fire,apoy,,
SAMBAL_BOTOLAN-85-1,SAMBAL_BOTOLAN,Sambal Botolan,85,path,daan,,
SAMBAL_BOTOLAN-86-1,SAMBAL_BOTOLAN,Sambal Botolan,86,mountain,bakil,,
SAMBAL_BOTOLAN-92-1,SAMBAL_BOTOLAN,Sambal Botolan,92,night,yabi,,
SAMBAL_BOTOLAN-95-1,SAMBAL_BOTOLAN,Sambal Botolan,95,full,napno7,,
SAMBAL_BOTOLAN-95-2,SAMBAL_BOTOLAN,Sambal Botolan,95,full,pono7,,
SAMBAL_BOTOLAN-96-1,SAMBAL_BOTOLAN,Sambal Botolan,96,new,bayo,,
SAMBAL_BOTOLAN-100-1,SAMBAL_BOTOLAN,Sambal Botolan,100,name,Nalan,,
