ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SAMO-1-1,SAMO,Samo,1,I,a*,,
SAMO-2-1,SAMO,Samo,2,you,no*,,
SAMO-3-1,SAMO,Samo,3,we,oye,,
SAMO-11-1,SAMO,Samo,11,one,helenu*,,
SAMO-12-1,SAMO,Samo,12,two,be*na*u,,
SAMO-18-1,SAMO,Samo,18,person,oso,,
SAMO-19-1,SAMO,Samo,19,fish,dio,,
SAMO-21-1,SAMO,Samo,21,dog,sofo,,
SAMO-22-1,SAMO,Samo,22,louse,o*u,,
SAMO-23-1,SAMO,Samo,23,tree,homa*ne*,,
SAMO-25-1,SAMO,Samo,25,leaf,dibi,,
SAMO-28-1,SAMO,Samo,28,skin,kolofu,,
SAMO-30-1,SAMO,Samo,30,blood,ayo,,
SAMO-31-1,SAMO,Samo,31,bone,kibi,,
SAMO-39-1,SAMO,Samo,39,ear,duli,,
SAMO-40-1,SAMO,Samo,40,eye,hi*owo,,
SAMO-41-1,SAMO,Samo,41,nose,mi*ni*,,
SAMO-43-1,SAMO,Samo,43,tooth,mo*yo,,
SAMO-44-1,SAMO,Samo,44,tongue,me*nE*ma*ni*,,
SAMO-47-1,SAMO,Samo,47,knee,ibulu,,
SAMO-48-1,SAMO,Samo,48,hand,dEbE,,
SAMO-51-1,SAMO,Samo,51,breast,bu,,
SAMO-57-1,SAMO,Samo,57,see,ogo,,
SAMO-58-1,SAMO,Samo,58,hear,du,,
SAMO-66-1,SAMO,Samo,66,come,huga,,
SAMO-72-1,SAMO,Samo,72,sun,o*so*,,
SAMO-74-1,SAMO,Samo,74,star,gosomo*ni*,,
SAMO-75-1,SAMO,Samo,75,water,ho*,,
SAMO-77-1,SAMO,Samo,77,stone,yo,,
SAMO-82-1,SAMO,Samo,82,fire,dolo,,
SAMO-85-1,SAMO,Samo,85,path,ali,,
SAMO-86-1,SAMO,Samo,86,mountain,goufoda,,
SAMO-92-1,SAMO,Samo,92,night,go*si*,,
SAMO-95-1,SAMO,Samo,95,full,mo*yotono*ma*do,,
SAMO-96-1,SAMO,Samo,96,new,dwafi,,
SAMO-100-1,SAMO,Samo,100,name,hu*ti,,
