ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SAN_LORENZO_CUAUNECUILTITLA-1-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,1,I,o,,
SAN_LORENZO_CUAUNECUILTITLA-3-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,3,we,nkoh5o,,
SAN_LORENZO_CUAUNECUILTITLA-11-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,11,one,nk3,,
SAN_LORENZO_CUAUNECUILTITLA-12-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,12,two,hw3,,
SAN_LORENZO_CUAUNECUILTITLA-18-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,18,person,Ch~ito,,
SAN_LORENZO_CUAUNECUILTITLA-19-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,19,fish,te,,
SAN_LORENZO_CUAUNECUILTITLA-21-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,21,dog,no5o,,
SAN_LORENZO_CUAUNECUILTITLA-22-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,22,louse,note,,
SAN_LORENZO_CUAUNECUILTITLA-23-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,23,tree,ya,,
SAN_LORENZO_CUAUNECUILTITLA-25-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,25,leaf,Sko,,
SAN_LORENZO_CUAUNECUILTITLA-30-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,30,blood,hne,,
SAN_LORENZO_CUAUNECUILTITLA-31-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,31,bone,ninto,,
SAN_LORENZO_CUAUNECUILTITLA-41-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,41,nose,ntath~3,,
SAN_LORENZO_CUAUNECUILTITLA-41-2,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,41,nose,ntath~e,,
SAN_LORENZO_CUAUNECUILTITLA-43-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,43,tooth,na7i,,
SAN_LORENZO_CUAUNECUILTITLA-44-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,44,tongue,nahe,,
SAN_LORENZO_CUAUNECUILTITLA-44-2,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,44,tongue,nahi,,
SAN_LORENZO_CUAUNECUILTITLA-47-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,47,knee,Sk37a,,
SAN_LORENZO_CUAUNECUILTITLA-47-2,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,47,knee,Sk3no,,
SAN_LORENZO_CUAUNECUILTITLA-48-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,48,hand,ch~o,,
SAN_LORENZO_CUAUNECUILTITLA-48-2,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,48,hand,ncaha,,
SAN_LORENZO_CUAUNECUILTITLA-51-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,51,breast,Ciki,,
SAN_LORENZO_CUAUNECUILTITLA-53-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,53,liver,Cohnko,,
SAN_LORENZO_CUAUNECUILTITLA-54-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,54,drink,kino7wi,,
SAN_LORENZO_CUAUNECUILTITLA-58-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,58,hear,kinCa7a,,
SAN_LORENZO_CUAUNECUILTITLA-66-1,SAN_LORENZO_CUAUNECUILTITLA,San Lorenzo Cuaunecuiltitla,66,come,yanC3wo,,
