ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-1-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,1,I,au,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-2-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,2,you,ale,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-3-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,3,we,ite,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-11-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,11,one,esa,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-12-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,12,two,lua,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-19-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,19,fish,iane,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-21-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,21,dog,asu,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-22-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,22,louse,tumakwe,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-23-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,23,tree,a7ine,,
SAPOLEWA_SOOW_KWELE_ULUI_SERAM-25-1,SAPOLEWA_SOOW_KWELE_ULUI_SERAM,Sapolewa Soow Kwele Ului Seram,25,leaf,lo7ini,,
