ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SARCEE-1-1,SARCEE,Sarcee,1,I,sini,,
SARCEE-2-1,SARCEE,Sarcee,2,you,nini,,
SARCEE-3-1,SARCEE,Sarcee,3,we,nani,,
SARCEE-11-1,SARCEE,Sarcee,11,one,"Lik""aza",,
SARCEE-12-1,SARCEE,Sarcee,12,two,aki7,,
SARCEE-18-1,SARCEE,Sarcee,18,person,dina,,
SARCEE-19-1,SARCEE,Sarcee,19,fish,"Luk""a",,
SARCEE-21-1,SARCEE,Sarcee,21,dog,Li,,
SARCEE-22-1,SARCEE,Sarcee,22,louse,ya7,,
SARCEE-23-1,SARCEE,Sarcee,23,tree,iCi,,
SARCEE-25-1,SARCEE,Sarcee,25,leaf,"it""asi",,
SARCEE-30-1,SARCEE,Sarcee,30,blood,diL,,
SARCEE-31-1,SARCEE,Sarcee,31,bone,"c""in",,
SARCEE-34-1,SARCEE,Sarcee,34,horn,da7,,
SARCEE-39-1,SARCEE,Sarcee,39,ear,cix,,
SARCEE-40-1,SARCEE,Sarcee,40,eye,nax,,
SARCEE-41-1,SARCEE,Sarcee,41,nose,ci,,
SARCEE-43-1,SARCEE,Sarcee,43,tooth,xo,,
SARCEE-44-1,SARCEE,Sarcee,44,tongue,co,,
SARCEE-47-1,SARCEE,Sarcee,47,knee,gud,,
SARCEE-48-1,SARCEE,Sarcee,48,hand,la7,,
SARCEE-51-1,SARCEE,Sarcee,51,breast,"c""ow",,
SARCEE-54-1,SARCEE,Sarcee,54,drink,na,,
SARCEE-57-1,SARCEE,Sarcee,57,see,i,,
SARCEE-58-1,SARCEE,Sarcee,58,hear,"c""a",,
SARCEE-61-1,SARCEE,Sarcee,61,die,ca,,
SARCEE-72-1,SARCEE,Sarcee,72,sun,"Cat""axa",,
SARCEE-74-1,SARCEE,Sarcee,74,star,soh,,
SARCEE-75-1,SARCEE,Sarcee,75,water,tu,,
SARCEE-77-1,SARCEE,Sarcee,77,stone,ca,,
SARCEE-82-1,SARCEE,Sarcee,82,fire,ko7,,
SARCEE-85-1,SARCEE,Sarcee,85,path,asti,,
SARCEE-92-1,SARCEE,Sarcee,92,night,xiL,,
SARCEE-95-1,SARCEE,Sarcee,95,full,"c""ist",,
SARCEE-100-1,SARCEE,Sarcee,100,name,izi,,
