ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SAYULA_POPOLUCA-1-1,SAYULA_POPOLUCA,Sayula Popoluca,1,I,3c,,
SAYULA_POPOLUCA-2-1,SAYULA_POPOLUCA,Sayula Popoluca,2,you,mi,,
SAYULA_POPOLUCA-2-2,SAYULA_POPOLUCA,Sayula Popoluca,2,you,miC,,
SAYULA_POPOLUCA-3-1,SAYULA_POPOLUCA,Sayula Popoluca,3,we,3hcat,,
SAYULA_POPOLUCA-4-1,SAYULA_POPOLUCA,Sayula Popoluca,4,this,ay3h,,
SAYULA_POPOLUCA-5-1,SAYULA_POPOLUCA,Sayula Popoluca,5,that,yay3n,,
SAYULA_POPOLUCA-6-1,SAYULA_POPOLUCA,Sayula Popoluca,6,who,p3n,,
SAYULA_POPOLUCA-7-1,SAYULA_POPOLUCA,Sayula Popoluca,7,what,ti,,
SAYULA_POPOLUCA-8-1,SAYULA_POPOLUCA,Sayula Popoluca,8,not,kah,,
SAYULA_POPOLUCA-9-1,SAYULA_POPOLUCA,Sayula Popoluca,9,all,nu p3h3n,,
SAYULA_POPOLUCA-10-1,SAYULA_POPOLUCA,Sayula Popoluca,10,many,may,,
SAYULA_POPOLUCA-11-1,SAYULA_POPOLUCA,Sayula Popoluca,11,one,tuk,,
SAYULA_POPOLUCA-12-1,SAYULA_POPOLUCA,Sayula Popoluca,12,two,meCk,,
SAYULA_POPOLUCA-13-1,SAYULA_POPOLUCA,Sayula Popoluca,13,big,m3h,,
SAYULA_POPOLUCA-14-1,SAYULA_POPOLUCA,Sayula Popoluca,14,long,yagac,,
SAYULA_POPOLUCA-15-1,SAYULA_POPOLUCA,Sayula Popoluca,15,small,CiCik,,
SAYULA_POPOLUCA-16-1,SAYULA_POPOLUCA,Sayula Popoluca,16,woman,toSay,,
SAYULA_POPOLUCA-17-1,SAYULA_POPOLUCA,Sayula Popoluca,17,man,hayaw,,
SAYULA_POPOLUCA-18-1,SAYULA_POPOLUCA,Sayula Popoluca,18,person,hayaw,,
SAYULA_POPOLUCA-19-1,SAYULA_POPOLUCA,Sayula Popoluca,19,fish,akS,,
SAYULA_POPOLUCA-20-1,SAYULA_POPOLUCA,Sayula Popoluca,20,bird,hon,,
SAYULA_POPOLUCA-21-1,SAYULA_POPOLUCA,Sayula Popoluca,21,dog,tak,,
SAYULA_POPOLUCA-22-1,SAYULA_POPOLUCA,Sayula Popoluca,22,louse,awat,,
SAYULA_POPOLUCA-23-1,SAYULA_POPOLUCA,Sayula Popoluca,23,tree,kuy,,
SAYULA_POPOLUCA-24-1,SAYULA_POPOLUCA,Sayula Popoluca,24,seed,puh,,
SAYULA_POPOLUCA-25-1,SAYULA_POPOLUCA,Sayula Popoluca,25,leaf,ahy~,,
SAYULA_POPOLUCA-26-1,SAYULA_POPOLUCA,Sayula Popoluca,26,root,tikCik,,
SAYULA_POPOLUCA-27-1,SAYULA_POPOLUCA,Sayula Popoluca,27,bark,ak,,
SAYULA_POPOLUCA-28-1,SAYULA_POPOLUCA,Sayula Popoluca,28,skin,ak,,
SAYULA_POPOLUCA-29-1,SAYULA_POPOLUCA,Sayula Popoluca,29,flesh,SiS,,
SAYULA_POPOLUCA-30-1,SAYULA_POPOLUCA,Sayula Popoluca,30,blood,nipin,,
