ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SEBUYAU-1-1,SEBUYAU,Sebuyau,1,I,aku,,
SEBUYAU-2-1,SEBUYAU,Sebuyau,2,you,koa,,
SEBUYAU-3-1,SEBUYAU,Sebuyau,3,we,kami,,
SEBUYAU-3-2,SEBUYAU,Sebuyau,3,we,kitei,,
SEBUYAU-11-1,SEBUYAU,Sebuyau,11,one,sa,,
SEBUYAU-12-1,SEBUYAU,Sebuyau,12,two,dua,,
SEBUYAU-19-1,SEBUYAU,Sebuyau,19,fish,laok,,
SEBUYAU-19-2,SEBUYAU,Sebuyau,19,fish,lawak,,
SEBUYAU-21-1,SEBUYAU,Sebuyau,21,dog,ukoi,,
SEBUYAU-21-2,SEBUYAU,Sebuyau,21,dog,asu,,
SEBUYAU-23-1,SEBUYAU,Sebuyau,23,tree,pun,,
SEBUYAU-25-1,SEBUYAU,Sebuyau,25,leaf,daaun,,
SEBUYAU-28-1,SEBUYAU,Sebuyau,28,skin,kulit,,
SEBUYAU-30-1,SEBUYAU,Sebuyau,30,blood,darah,,
SEBUYAU-30-2,SEBUYAU,Sebuyau,30,blood,daha,,
SEBUYAU-31-1,SEBUYAU,Sebuyau,31,bone,tulaN,,
SEBUYAU-39-1,SEBUYAU,Sebuyau,39,ear,pendeN,,
SEBUYAU-40-1,SEBUYAU,Sebuyau,40,eye,mata,,
SEBUYAU-41-1,SEBUYAU,Sebuyau,41,nose,hidoug,,
SEBUYAU-43-1,SEBUYAU,Sebuyau,43,tooth,gigi,,
SEBUYAU-44-1,SEBUYAU,Sebuyau,44,tongue,leda,,
SEBUYAU-44-2,SEBUYAU,Sebuyau,44,tongue,dila,,
SEBUYAU-48-1,SEBUYAU,Sebuyau,48,hand,jahi,,
SEBUYAU-48-2,SEBUYAU,Sebuyau,48,hand,laNan,,
SEBUYAU-54-1,SEBUYAU,Sebuyau,54,drink,Niop,,
SEBUYAU-54-2,SEBUYAU,Sebuyau,54,drink,nyieup,,
SEBUYAU-57-1,SEBUYAU,Sebuyau,57,see,mudak,,
SEBUYAU-57-2,SEBUYAU,Sebuyau,57,see,peda,,
SEBUYAU-58-1,SEBUYAU,Sebuyau,58,hear,diNah,,
SEBUYAU-61-1,SEBUYAU,Sebuyau,61,die,mati,,
SEBUYAU-66-1,SEBUYAU,Sebuyau,66,come,datei,,
SEBUYAU-72-1,SEBUYAU,Sebuyau,72,sun,mataari,,
SEBUYAU-74-1,SEBUYAU,Sebuyau,74,star,bintaN,,
SEBUYAU-75-1,SEBUYAU,Sebuyau,75,water,kampoN,,
SEBUYAU-77-1,SEBUYAU,Sebuyau,77,stone,batu,,
SEBUYAU-82-1,SEBUYAU,Sebuyau,82,fire,api,,
SEBUYAU-85-1,SEBUYAU,Sebuyau,85,path,jalai,,
SEBUYAU-86-1,SEBUYAU,Sebuyau,86,mountain,bukit,,
SEBUYAU-86-2,SEBUYAU,Sebuyau,86,mountain,muNgu,,
SEBUYAU-92-1,SEBUYAU,Sebuyau,92,night,malam,,
SEBUYAU-96-1,SEBUYAU,Sebuyau,96,new,bahu,,
SEBUYAU-100-1,SEBUYAU,Sebuyau,100,name,nama,,
