ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SIANE-1-1,SIANE,Siane,1,I,namo,,
SIANE-2-1,SIANE,Siane,2,you,kamo,,
SIANE-3-1,SIANE,Siane,3,we,namo,,
SIANE-11-1,SIANE,Siane,11,one,rako,,
SIANE-12-1,SIANE,Siane,12,two,rere,,
SIANE-12-2,SIANE,Siane,12,two,rerekare,,
SIANE-18-1,SIANE,Siane,18,person,wenena,,
SIANE-19-1,SIANE,Siane,19,fish,feni,,
SIANE-21-1,SIANE,Siane,21,dog,kura,,
SIANE-22-1,SIANE,Siane,22,louse,ruta,,
SIANE-22-2,SIANE,Siane,22,louse,rutu,,
SIANE-23-1,SIANE,Siane,23,tree,ya,,
SIANE-25-1,SIANE,Siane,25,leaf,aira,,
SIANE-25-2,SIANE,Siane,25,leaf,yaire,,
SIANE-28-1,SIANE,Siane,28,skin,ukante,,
SIANE-30-1,SIANE,Siane,30,blood,wanu,,
SIANE-31-1,SIANE,Siane,31,bone,aumwa,,
SIANE-39-1,SIANE,Siane,39,ear,hate,,
SIANE-40-1,SIANE,Siane,40,eye,omunte,,
SIANE-41-1,SIANE,Siane,41,nose,hote,,
SIANE-43-1,SIANE,Siane,43,tooth,wera aumwa,,
SIANE-44-1,SIANE,Siane,44,tongue,kuruma,,
SIANE-47-1,SIANE,Siane,47,knee,hiante omura,,
SIANE-47-2,SIANE,Siane,47,knee,kiante omura,,
SIANE-48-1,SIANE,Siane,48,hand,ante,,
SIANE-51-1,SIANE,Siane,51,breast,aminte,,
SIANE-53-1,SIANE,Siane,53,liver,murute,,
SIANE-54-1,SIANE,Siane,54,drink,naiye,,
SIANE-57-1,SIANE,Siane,57,see,haiye,,
SIANE-57-2,SIANE,Siane,57,see,heaiye,,
SIANE-58-1,SIANE,Siane,58,hear,horaiye,,
SIANE-61-1,SIANE,Siane,61,die,foraiye,,
SIANE-66-1,SIANE,Siane,66,come,enaiye,,
SIANE-72-1,SIANE,Siane,72,sun,fo,,
SIANE-74-1,SIANE,Siane,74,star,okuru,,
SIANE-74-2,SIANE,Siane,74,star,ukere,,
SIANE-75-1,SIANE,Siane,75,water,no,,
SIANE-77-1,SIANE,Siane,77,stone,kifana,,
SIANE-82-1,SIANE,Siane,82,fire,yo,,
SIANE-85-1,SIANE,Siane,85,path,kanu,,
SIANE-86-1,SIANE,Siane,86,mountain,mowa,,
SIANE-95-1,SIANE,Siane,95,full,kura,,
SIANE-96-1,SIANE,Siane,96,new,hova,,
SIANE-100-1,SIANE,Siane,100,name,kuria,,
