ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SILA-1-1,SILA,Sila,1,I,yanaNg~a,,
SILA-3-1,SILA,Sila,3,we,koska,,
SILA-11-1,SILA,Sila,11,one,uNun,,
SILA-12-1,SILA,Sila,12,two,bidak,,
SILA-18-1,SILA,Sila,18,person,beke,,
SILA-19-1,SILA,Sila,19,fish,asiTe,,
SILA-21-1,SILA,Sila,21,dog,ise,,
SILA-22-1,SILA,Sila,22,louse,tuNg~urTe,,
SILA-23-1,SILA,Sila,23,tree,ette,,
SILA-28-1,SILA,Sila,28,skin,mie,,
SILA-30-1,SILA,Sila,30,blood,tamuke,,
SILA-31-1,SILA,Sila,31,bone,korgomne,,
SILA-34-1,SILA,Sila,34,horn,yaTe,,
SILA-39-1,SILA,Sila,39,ear,und~e,,
SILA-40-1,SILA,Sila,40,eye,oNo5T~e,,
SILA-41-1,SILA,Sila,41,nose,mone,,
SILA-43-1,SILA,Sila,43,tooth,5irte,,
SILA-44-1,SILA,Sila,44,tongue,5irbe,,
SILA-47-1,SILA,Sila,47,knee,simind~e,,
SILA-48-1,SILA,Sila,48,hand,and~e,,
SILA-51-1,SILA,Sila,51,breast,5idige,,
SILA-53-1,SILA,Sila,53,liver,miTin,,
SILA-54-1,SILA,Sila,54,drink,wura,,
SILA-57-1,SILA,Sila,57,see,or,,
SILA-58-1,SILA,Sila,58,hear,TiNa,,
SILA-61-1,SILA,Sila,61,die,nirhe,,
SILA-66-1,SILA,Sila,66,come,bou,,
SILA-72-1,SILA,Sila,72,sun,roNe,,
SILA-74-1,SILA,Sila,74,star,padawa,,
SILA-75-1,SILA,Sila,75,water,uNg~e,,
SILA-77-1,SILA,Sila,77,stone,Na5T~e,,
SILA-82-1,SILA,Sila,82,fire,mase,,
SILA-85-1,SILA,Sila,85,path,soge,,
SILA-86-1,SILA,Sila,86,mountain,5a5T~e,,
SILA-92-1,SILA,Sila,92,night,wide,,
SILA-100-1,SILA,Sila,100,name,aNg~e,,
