ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SINHALA-1-1,SINHALA,Sinhala,1,I,mama,,
SINHALA-2-1,SINHALA,Sinhala,2,you,oya,,
SINHALA-3-1,SINHALA,Sinhala,3,we,api,,
SINHALA-11-1,SINHALA,Sinhala,11,one,eka,,
SINHALA-12-1,SINHALA,Sinhala,12,two,deka,,
SINHALA-18-1,SINHALA,Sinhala,18,person,minisa,,
SINHALA-19-1,SINHALA,Sinhala,19,fish,maLuva,,
SINHALA-21-1,SINHALA,Sinhala,21,dog,balla,,
SINHALA-23-1,SINHALA,Sinhala,23,tree,gas,,
SINHALA-30-1,SINHALA,Sinhala,30,blood,le,,
SINHALA-34-1,SINHALA,Sinhala,34,horn,ang~a,,
SINHALA-39-1,SINHALA,Sinhala,39,ear,kana,,
SINHALA-40-1,SINHALA,Sinhala,40,eye,asa,,
SINHALA-41-1,SINHALA,Sinhala,41,nose,nakutu,,
SINHALA-43-1,SINHALA,Sinhala,43,tooth,data,,
SINHALA-44-1,SINHALA,Sinhala,44,tongue,diva,,
SINHALA-54-1,SINHALA,Sinhala,54,drink,bonava,,
SINHALA-58-1,SINHALA,Sinhala,58,hear,ahe,,
SINHALA-61-1,SINHALA,Sinhala,61,die,mare,,
SINHALA-66-1,SINHALA,Sinhala,66,come,enava,,
SINHALA-72-1,SINHALA,Sinhala,72,sun,ira,,
SINHALA-74-1,SINHALA,Sinhala,74,star,taraka,,
SINHALA-75-1,SINHALA,Sinhala,75,water,vatura,,
SINHALA-77-1,SINHALA,Sinhala,77,stone,gala,,
SINHALA-85-1,SINHALA,Sinhala,85,path,mang~a,,
SINHALA-86-1,SINHALA,Sinhala,86,mountain,kand~a,,
SINHALA-92-1,SINHALA,Sinhala,92,night,raya,,
SINHALA-96-1,SINHALA,Sinhala,96,new,nava,,
SINHALA-100-1,SINHALA,Sinhala,100,name,nama,,
