ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SISIQA-1-1,SISIQA,Sisiqa,1,I,aro,,
SISIQA-2-1,SISIQA,Sisiqa,2,you,ramu,,
SISIQA-3-1,SISIQA,Sisiqa,3,we,rami,,
SISIQA-4-1,SISIQA,Sisiqa,4,this,x3ti,,
SISIQA-5-1,SISIQA,Sisiqa,5,that,pande xi,,
SISIQA-6-1,SISIQA,Sisiqa,6,who,anda,,
SISIQA-7-1,SISIQA,Sisiqa,7,what,anda,,
SISIQA-8-1,SISIQA,Sisiqa,8,not,kai,,
SISIQA-8-2,SISIQA,Sisiqa,8,not,kareo,,
SISIQA-11-1,SISIQA,Sisiqa,11,one,kike,,
SISIQA-12-1,SISIQA,Sisiqa,12,two,keri,,
SISIQA-13-1,SISIQA,Sisiqa,13,big,p3u,,
SISIQA-14-1,SISIQA,Sisiqa,14,long,nava,,
SISIQA-15-1,SISIQA,Sisiqa,15,small,soi,,
SISIQA-16-1,SISIQA,Sisiqa,16,woman,gule,,
SISIQA-17-1,SISIQA,Sisiqa,17,man,leike,,
SISIQA-17-2,SISIQA,Sisiqa,17,man,like,,
SISIQA-18-1,SISIQA,Sisiqa,18,person,bosi,,
SISIQA-19-1,SISIQA,Sisiqa,19,fish,koete,,
SISIQA-20-1,SISIQA,Sisiqa,20,bird,roroko,,
SISIQA-21-1,SISIQA,Sisiqa,21,dog,seki,,
SISIQA-22-1,SISIQA,Sisiqa,22,louse,votu,,
SISIQA-25-1,SISIQA,Sisiqa,25,leaf,v3raNae,,
SISIQA-26-1,SISIQA,Sisiqa,26,root,l3Ngoto,,
SISIQA-28-1,SISIQA,Sisiqa,28,skin,k3pae,,
SISIQA-29-1,SISIQA,Sisiqa,29,flesh,zio,,
SISIQA-30-1,SISIQA,Sisiqa,30,blood,madakae,,
SISIQA-31-1,SISIQA,Sisiqa,31,bone,pandae,,
SISIQA-32-1,SISIQA,Sisiqa,32,grease,voae,,
SISIQA-33-1,SISIQA,Sisiqa,33,egg,n3qa,,
SISIQA-35-1,SISIQA,Sisiqa,35,tail,peputu,,
SISIQA-36-1,SISIQA,Sisiqa,36,feather,sava,,
SISIQA-37-1,SISIQA,Sisiqa,37,hair,varanae,,
SISIQA-38-1,SISIQA,Sisiqa,38,head,b3tua,,
SISIQA-39-1,SISIQA,Sisiqa,39,ear,talangae,,
SISIQA-40-1,SISIQA,Sisiqa,40,eye,matae,,
SISIQA-41-1,SISIQA,Sisiqa,41,nose,zeNoa,,
SISIQA-42-1,SISIQA,Sisiqa,42,mouth,zopae,,
SISIQA-43-1,SISIQA,Sisiqa,43,tooth,kikerea,,
SISIQA-43-2,SISIQA,Sisiqa,43,tooth,kogot3kae,,
SISIQA-44-1,SISIQA,Sisiqa,44,tongue,luleme,,
SISIQA-46-1,SISIQA,Sisiqa,46,foot,nikinia,,
SISIQA-48-1,SISIQA,Sisiqa,48,hand,k3risia,,
SISIQA-49-1,SISIQA,Sisiqa,49,belly,sea,,
SISIQA-50-1,SISIQA,Sisiqa,50,neck,kokunua,,
SISIQA-51-1,SISIQA,Sisiqa,51,breast,sosua,,
SISIQA-51-2,SISIQA,Sisiqa,51,breast,sea,,
SISIQA-53-1,SISIQA,Sisiqa,53,liver,popomae,,
SISIQA-54-1,SISIQA,Sisiqa,54,drink,3ke,,
SISIQA-55-1,SISIQA,Sisiqa,55,eat,aki,,
SISIQA-56-1,SISIQA,Sisiqa,56,bite,lube,,
SISIQA-57-1,SISIQA,Sisiqa,57,see,mimi,,
SISIQA-58-1,SISIQA,Sisiqa,58,hear,ase,,
SISIQA-59-1,SISIQA,Sisiqa,59,know,utini,,
SISIQA-60-1,SISIQA,Sisiqa,60,sleep,tutuda,,
SISIQA-61-1,SISIQA,Sisiqa,61,die,li,,
SISIQA-62-1,SISIQA,Sisiqa,62,kill,v3evale,,
SISIQA-63-1,SISIQA,Sisiqa,63,swim,siqe,,
SISIQA-64-1,SISIQA,Sisiqa,64,fly,reri,,
SISIQA-65-1,SISIQA,Sisiqa,65,walk,zozo,,
SISIQA-65-2,SISIQA,Sisiqa,65,walk,zo,,
SISIQA-66-1,SISIQA,Sisiqa,66,come,me,,
SISIQA-67-1,SISIQA,Sisiqa,67,lie,bokolo,,
SISIQA-68-1,SISIQA,Sisiqa,68,sit,tonuno,,
SISIQA-69-1,SISIQA,Sisiqa,69,stand,dire,,
SISIQA-71-1,SISIQA,Sisiqa,71,say,Nioro,,
SISIQA-73-1,SISIQA,Sisiqa,73,moon,okene,,
SISIQA-74-1,SISIQA,Sisiqa,74,star,sisiriputu,,
SISIQA-75-1,SISIQA,Sisiqa,75,water,bi,,
SISIQA-76-1,SISIQA,Sisiqa,76,rain,m3qa,,
SISIQA-77-1,SISIQA,Sisiqa,77,stone,katora,,
SISIQA-78-1,SISIQA,Sisiqa,78,sand,karakone,,
SISIQA-79-1,SISIQA,Sisiqa,79,earth,lua,,
