ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SOLOS-1-1,SOLOS,Solos,1,I,ena,,
SOLOS-3-1,SOLOS,Solos,3,we,enit,,
SOLOS-11-1,SOLOS,Solos,11,one,e nit nenapis,,
SOLOS-11-2,SOLOS,Solos,11,one,meg,,
SOLOS-12-1,SOLOS,Solos,12,two,huanu,,
SOLOS-18-1,SOLOS,Solos,18,person,nakatun,,
SOLOS-19-1,SOLOS,Solos,19,fish,nayean,,
SOLOS-21-1,SOLOS,Solos,21,dog,kus,,
SOLOS-22-1,SOLOS,Solos,22,louse,pehut,,
SOLOS-25-1,SOLOS,Solos,25,leaf,un,,
SOLOS-28-1,SOLOS,Solos,28,skin,toauh,,
SOLOS-30-1,SOLOS,Solos,30,blood,natiuh,,
SOLOS-31-1,SOLOS,Solos,31,bone,tinouh,,
SOLOS-39-1,SOLOS,Solos,39,ear,teNin nu,,
SOLOS-40-1,SOLOS,Solos,40,eye,touh,,
SOLOS-41-1,SOLOS,Solos,41,nose,osuh,,
SOLOS-43-1,SOLOS,Solos,43,tooth,nihouh,,
SOLOS-43-2,SOLOS,Solos,43,tooth,niho gukut tuh,,
SOLOS-44-1,SOLOS,Solos,44,tongue,mieuh,,
SOLOS-48-1,SOLOS,Solos,48,hand,minouh,,
SOLOS-48-2,SOLOS,Solos,48,hand,mina uh,,
SOLOS-51-1,SOLOS,Solos,51,breast,sus suh,,
SOLOS-51-2,SOLOS,Solos,51,breast,nunuma uh,,
SOLOS-54-1,SOLOS,Solos,54,drink,kau,,
SOLOS-57-1,SOLOS,Solos,57,see,tara,,
SOLOS-58-1,SOLOS,Solos,58,hear,noNon,,
SOLOS-61-1,SOLOS,Solos,61,die,mato,,
SOLOS-66-1,SOLOS,Solos,66,come,naomeh,,
SOLOS-74-1,SOLOS,Solos,74,star,bipit,,
SOLOS-75-1,SOLOS,Solos,75,water,kua,,
SOLOS-77-1,SOLOS,Solos,77,stone,rako,,
SOLOS-77-2,SOLOS,Solos,77,stone,dako,,
SOLOS-82-1,SOLOS,Solos,82,fire,toN,,
SOLOS-85-1,SOLOS,Solos,85,path,barobaron,,
SOLOS-92-1,SOLOS,Solos,92,night,boN,,
SOLOS-96-1,SOLOS,Solos,96,new,in binit,,
SOLOS-100-1,SOLOS,Solos,100,name,son nuh,,
