ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SONGOLA_KASENGA-11-1,SONGOLA_KASENGA,Songola Kasenga,11,one,kemonji,,
SONGOLA_KASENGA-11-2,SONGOLA_KASENGA,Songola Kasenga,11,one,monCi,,
SONGOLA_KASENGA-12-1,SONGOLA_KASENGA,Songola Kasenga,12,two,bibili,,
SONGOLA_KASENGA-18-1,SONGOLA_KASENGA,Songola Kasenga,18,person,ntu,,
SONGOLA_KASENGA-19-1,SONGOLA_KASENGA,Songola Kasenga,19,fish,fi,,
SONGOLA_KASENGA-21-1,SONGOLA_KASENGA,Songola Kasenga,21,dog,gw~a,,
SONGOLA_KASENGA-22-1,SONGOLA_KASENGA,Songola Kasenga,22,louse,sili,,
SONGOLA_KASENGA-23-1,SONGOLA_KASENGA,Songola Kasenga,23,tree,ti,,
SONGOLA_KASENGA-25-1,SONGOLA_KASENGA,Songola Kasenga,25,leaf,sesi*,,
SONGOLA_KASENGA-28-1,SONGOLA_KASENGA,Songola Kasenga,28,skin,koba,,
SONGOLA_KASENGA-30-1,SONGOLA_KASENGA,Songola Kasenga,30,blood,si,,
SONGOLA_KASENGA-31-1,SONGOLA_KASENGA,Songola Kasenga,31,bone,kuwa,,
SONGOLA_KASENGA-34-1,SONGOLA_KASENGA,Songola Kasenga,34,horn,siki,,
SONGOLA_KASENGA-39-1,SONGOLA_KASENGA,Songola Kasenga,39,ear,Cwi,,
SONGOLA_KASENGA-40-1,SONGOLA_KASENGA,Songola Kasenga,40,eye,iso,,
SONGOLA_KASENGA-41-1,SONGOLA_KASENGA,Songola Kasenga,41,nose,wemb~e,,
SONGOLA_KASENGA-43-1,SONGOLA_KASENGA,Songola Kasenga,43,tooth,i5o,,
SONGOLA_KASENGA-44-1,SONGOLA_KASENGA,Songola Kasenga,44,tongue,imi,,
SONGOLA_KASENGA-47-1,SONGOLA_KASENGA,Songola Kasenga,47,knee,lu*,,
SONGOLA_KASENGA-51-1,SONGOLA_KASENGA,Songola Kasenga,51,breast,bele,,
SONGOLA_KASENGA-53-1,SONGOLA_KASENGA,Songola Kasenga,53,liver,bali,,
SONGOLA_KASENGA-54-1,SONGOLA_KASENGA,Songola Kasenga,54,drink,kosola,,
SONGOLA_KASENGA-57-1,SONGOLA_KASENGA,Songola Kasenga,57,see,mona,,
SONGOLA_KASENGA-58-1,SONGOLA_KASENGA,Songola Kasenga,58,hear,unku5a,,
SONGOLA_KASENGA-61-1,SONGOLA_KASENGA,Songola Kasenga,61,die,kw~a,,
SONGOLA_KASENGA-66-1,SONGOLA_KASENGA,Songola Kasenga,66,come,baka,,
SONGOLA_KASENGA-72-1,SONGOLA_KASENGA,Songola Kasenga,72,sun,Cuba,,
SONGOLA_KASENGA-74-1,SONGOLA_KASENGA,Songola Kasenga,74,star,sokati,,
SONGOLA_KASENGA-75-1,SONGOLA_KASENGA,Songola Kasenga,75,water,anTh~i,,
SONGOLA_KASENGA-77-1,SONGOLA_KASENGA,Songola Kasenga,77,stone,we,,
SONGOLA_KASENGA-82-1,SONGOLA_KASENGA,Songola Kasenga,82,fire,ya,,
SONGOLA_KASENGA-85-1,SONGOLA_KASENGA,Songola Kasenga,85,path,Th~ila,,
SONGOLA_KASENGA-86-1,SONGOLA_KASENGA,Songola Kasenga,86,mountain,ulu,,
SONGOLA_KASENGA-86-2,SONGOLA_KASENGA,Songola Kasenga,86,mountain,lima,,
SONGOLA_KASENGA-92-1,SONGOLA_KASENGA,Songola Kasenga,92,night,uCu,,
SONGOLA_KASENGA-95-1,SONGOLA_KASENGA,Songola Kasenga,95,full,koma,,
SONGOLA_KASENGA-96-1,SONGOLA_KASENGA,Songola Kasenga,96,new,kiend~o kisi,,
SONGOLA_KASENGA-100-1,SONGOLA_KASENGA,Songola Kasenga,100,name,kumb~u,,
