ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SRE-1-1,SRE,Sre,1,I,a5,,
SRE-2-1,SRE,Sre,2,you,me,,
SRE-3-1,SRE,Sre,3,we,he,,
SRE-11-1,SRE,Sre,11,one,dul,,
SRE-12-1,SRE,Sre,12,two,bar,,
SRE-18-1,SRE,Sre,18,person,Tau,,
SRE-19-1,SRE,Sre,19,fish,ka,,
SRE-21-1,SRE,Sre,21,dog,so,,
SRE-22-1,SRE,Sre,22,louse,sai,,
SRE-23-1,SRE,Sre,23,tree,Th~i,,
SRE-25-1,SRE,Sre,25,leaf,nha,,
SRE-28-1,SRE,Sre,28,skin,g3ltau,,
SRE-30-1,SRE,Sre,30,blood,mham,,
SRE-31-1,SRE,Sre,31,bone,ntiN,,
SRE-34-1,SRE,Sre,34,horn,Nke,,
SRE-39-1,SRE,Sre,39,ear,tor,,
SRE-40-1,SRE,Sre,40,eye,mat,,
SRE-41-1,SRE,Sre,41,nose,muh,,
SRE-43-1,SRE,Sre,43,tooth,se,,
SRE-44-1,SRE,Sre,44,tongue,l3mpiat,,
SRE-47-1,SRE,Sre,47,knee,g3ltaN,,
SRE-48-1,SRE,Sre,48,hand,te,,
SRE-51-1,SRE,Sre,51,breast,nt3h,,
SRE-53-1,SRE,Sre,53,liver,kl3m,,
SRE-54-1,SRE,Sre,54,drink,5o,,
SRE-57-1,SRE,Sre,57,see,go,,
SRE-58-1,SRE,Sre,58,hear,k3no,,
SRE-61-1,SRE,Sre,61,die,Th3t,,
SRE-66-1,SRE,Sre,66,come,tus,,
SRE-72-1,SRE,Sre,72,sun,mat t3Nay,,
SRE-74-1,SRE,Sre,74,star,s3ma5,,
SRE-75-1,SRE,Sre,75,water,da,,
SRE-77-1,SRE,Sre,77,stone,lu7,,
SRE-82-1,SRE,Sre,82,fire,os,,
SRE-85-1,SRE,Sre,85,path,guN,,
SRE-86-1,SRE,Sre,86,mountain,m3n3m,,
SRE-92-1,SRE,Sre,92,night,maN,,
SRE-95-1,SRE,Sre,95,full,beN,,
SRE-96-1,SRE,Sre,96,new,t3me,,
SRE-100-1,SRE,Sre,100,name,"s3nd""an",,
