ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
SULKA-1-1,SULKA,Sulka,1,I,kua,,
SULKA-3-1,SULKA,Sulka,3,we,mur,,
SULKA-12-1,SULKA,Sulka,12,two,ka lu nan,,
SULKA-21-1,SULKA,Sulka,21,dog,guela,,
SULKA-23-1,SULKA,Sulka,23,tree,hu,,
SULKA-28-1,SULKA,Sulka,28,skin,ptek,,
SULKA-30-1,SULKA,Sulka,30,blood,gindiel,,
SULKA-30-2,SULKA,Sulka,30,blood,yindiel,,
SULKA-39-1,SULKA,Sulka,39,ear,nela,,
SULKA-40-1,SULKA,Sulka,40,eye,kik,,
SULKA-41-1,SULKA,Sulka,41,nose,wornap,,
SULKA-43-1,SULKA,Sulka,43,tooth,gunuruk,,
SULKA-48-1,SULKA,Sulka,48,hand,gtik,,
SULKA-57-1,SULKA,Sulka,57,see,nh~o,,
SULKA-58-1,SULKA,Sulka,58,hear,nan,,
SULKA-61-1,SULKA,Sulka,61,die,yur,,
SULKA-66-1,SULKA,Sulka,66,come,ul,,
SULKA-72-1,SULKA,Sulka,72,sun,kolkh~a,,
SULKA-75-1,SULKA,Sulka,75,water,yi,,
SULKA-77-1,SULKA,Sulka,77,stone,kietor,,
SULKA-82-1,SULKA,Sulka,82,fire,pui,,
SULKA-85-1,SULKA,Sulka,85,path,noi,,
SULKA-86-1,SULKA,Sulka,86,mountain,wul,,
SULKA-92-1,SULKA,Sulka,92,night,gim,,
SULKA-96-1,SULKA,Sulka,96,new,gunan,,
