ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
S_SIERRA_MIWOK-1-1,S_SIERRA_MIWOK,S Sierra Miwok,1,I,kani,,
S_SIERRA_MIWOK-2-1,S_SIERRA_MIWOK,S Sierra Miwok,2,you,m3,,
S_SIERRA_MIWOK-2-2,S_SIERRA_MIWOK,S Sierra Miwok,2,you,Ci,,
S_SIERRA_MIWOK-3-1,S_SIERRA_MIWOK,S Sierra Miwok,3,we,mahi,,
S_SIERRA_MIWOK-3-2,S_SIERRA_MIWOK,S Sierra Miwok,3,we,me,,
S_SIERRA_MIWOK-4-1,S_SIERRA_MIWOK,S Sierra Miwok,4,this,ne,,
S_SIERRA_MIWOK-6-1,S_SIERRA_MIWOK,S Sierra Miwok,6,who,mana,,
S_SIERRA_MIWOK-7-1,S_SIERRA_MIWOK,S Sierra Miwok,7,what,me,,
S_SIERRA_MIWOK-7-2,S_SIERRA_MIWOK,S Sierra Miwok,7,what,tin3,,
S_SIERRA_MIWOK-9-1,S_SIERRA_MIWOK,S Sierra Miwok,9,all,toko,,
S_SIERRA_MIWOK-9-2,S_SIERRA_MIWOK,S Sierra Miwok,9,all,aytu,,
S_SIERRA_MIWOK-10-1,S_SIERRA_MIWOK,S Sierra Miwok,10,many,3t3,,
S_SIERRA_MIWOK-11-1,S_SIERRA_MIWOK,S Sierra Miwok,11,one,keNe,,
S_SIERRA_MIWOK-12-1,S_SIERRA_MIWOK,S Sierra Miwok,12,two,oti,,
S_SIERRA_MIWOK-12-2,S_SIERRA_MIWOK,S Sierra Miwok,12,two,otiko,,
S_SIERRA_MIWOK-13-1,S_SIERRA_MIWOK,S Sierra Miwok,13,big,oyani,,
S_SIERRA_MIWOK-13-2,S_SIERRA_MIWOK,S Sierra Miwok,13,big,onaC3,,
S_SIERRA_MIWOK-14-1,S_SIERRA_MIWOK,S Sierra Miwok,14,long,wilato,,
