ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TAIRORA_BINUMARIEN-1-1,TAIRORA_BINUMARIEN,Tairora Binumarien,1,I,ine,,
TAIRORA_BINUMARIEN-2-1,TAIRORA_BINUMARIEN,Tairora Binumarien,2,you,ane,,
TAIRORA_BINUMARIEN-3-1,TAIRORA_BINUMARIEN,Tairora Binumarien,3,we,inei7i,,
TAIRORA_BINUMARIEN-11-1,TAIRORA_BINUMARIEN,Tairora Binumarien,11,one,mo7da,,
TAIRORA_BINUMARIEN-12-1,TAIRORA_BINUMARIEN,Tairora Binumarien,12,two,ara,,
TAIRORA_BINUMARIEN-21-1,TAIRORA_BINUMARIEN,Tairora Binumarien,21,dog,faini,,
TAIRORA_BINUMARIEN-22-1,TAIRORA_BINUMARIEN,Tairora Binumarien,22,louse,aru,,
TAIRORA_BINUMARIEN-23-1,TAIRORA_BINUMARIEN,Tairora Binumarien,23,tree,sa7ari,,
TAIRORA_BINUMARIEN-25-1,TAIRORA_BINUMARIEN,Tairora Binumarien,25,leaf,sa7ari mani,,
TAIRORA_BINUMARIEN-30-1,TAIRORA_BINUMARIEN,Tairora Binumarien,30,blood,fidika,,
TAIRORA_BINUMARIEN-30-2,TAIRORA_BINUMARIEN,Tairora Binumarien,30,blood,pi7dika,,
TAIRORA_BINUMARIEN-39-1,TAIRORA_BINUMARIEN,Tairora Binumarien,39,ear,a7o,,
TAIRORA_BINUMARIEN-39-2,TAIRORA_BINUMARIEN,Tairora Binumarien,39,ear,aa7o,,
TAIRORA_BINUMARIEN-40-1,TAIRORA_BINUMARIEN,Tairora Binumarien,40,eye,afu,,
TAIRORA_BINUMARIEN-41-1,TAIRORA_BINUMARIEN,Tairora Binumarien,41,nose,aiki,,
TAIRORA_BINUMARIEN-43-1,TAIRORA_BINUMARIEN,Tairora Binumarien,43,tooth,fai,,
TAIRORA_BINUMARIEN-44-1,TAIRORA_BINUMARIEN,Tairora Binumarien,44,tongue,makiri,,
TAIRORA_BINUMARIEN-47-1,TAIRORA_BINUMARIEN,Tairora Binumarien,47,knee,a7ori,,
TAIRORA_BINUMARIEN-47-2,TAIRORA_BINUMARIEN,Tairora Binumarien,47,knee,ori,,
TAIRORA_BINUMARIEN-48-1,TAIRORA_BINUMARIEN,Tairora Binumarien,48,hand,asauku,,
TAIRORA_BINUMARIEN-48-2,TAIRORA_BINUMARIEN,Tairora Binumarien,48,hand,umu,,
TAIRORA_BINUMARIEN-51-1,TAIRORA_BINUMARIEN,Tairora Binumarien,51,breast,nama,,
TAIRORA_BINUMARIEN-53-1,TAIRORA_BINUMARIEN,Tairora Binumarien,53,liver,anama,,
TAIRORA_BINUMARIEN-54-1,TAIRORA_BINUMARIEN,Tairora Binumarien,54,drink,narera,,
TAIRORA_BINUMARIEN-57-1,TAIRORA_BINUMARIEN,Tairora Binumarien,57,see,afe7a,,
TAIRORA_BINUMARIEN-58-1,TAIRORA_BINUMARIEN,Tairora Binumarien,58,hear,iri,,
TAIRORA_BINUMARIEN-61-1,TAIRORA_BINUMARIEN,Tairora Binumarien,61,die,kuino,,
TAIRORA_BINUMARIEN-66-1,TAIRORA_BINUMARIEN,Tairora Binumarien,66,come,ani,,
TAIRORA_BINUMARIEN-72-1,TAIRORA_BINUMARIEN,Tairora Binumarien,72,sun,suana,,
TAIRORA_BINUMARIEN-74-1,TAIRORA_BINUMARIEN,Tairora Binumarien,74,star,fasau,,
TAIRORA_BINUMARIEN-75-1,TAIRORA_BINUMARIEN,Tairora Binumarien,75,water,namari,,
TAIRORA_BINUMARIEN-77-1,TAIRORA_BINUMARIEN,Tairora Binumarien,77,stone,oni,,
TAIRORA_BINUMARIEN-82-1,TAIRORA_BINUMARIEN,Tairora Binumarien,82,fire,i7da,,
TAIRORA_BINUMARIEN-82-2,TAIRORA_BINUMARIEN,Tairora Binumarien,82,fire,ida7i,,
TAIRORA_BINUMARIEN-85-1,TAIRORA_BINUMARIEN,Tairora Binumarien,85,path,danda,,
TAIRORA_BINUMARIEN-85-2,TAIRORA_BINUMARIEN,Tairora Binumarien,85,path,ana,,
TAIRORA_BINUMARIEN-86-1,TAIRORA_BINUMARIEN,Tairora Binumarien,86,mountain,a7ana,,
TAIRORA_BINUMARIEN-92-1,TAIRORA_BINUMARIEN,Tairora Binumarien,92,night,eandamita,,
TAIRORA_BINUMARIEN-100-1,TAIRORA_BINUMARIEN,Tairora Binumarien,100,name,au7u,,
TAIRORA_BINUMARIEN-100-2,TAIRORA_BINUMARIEN,Tairora Binumarien,100,name,iena,,
