ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-1-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,1,I,n3k,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-2-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,2,you,S3g,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-3-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,3,we,nukni,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-11-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,11,one,yun,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-12-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,12,two,sin,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-18-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,18,person,b3na83m,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-19-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,19,fish,asl3m,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-21-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,21,dog,iy8i,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-22-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,22,louse,8axuy8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-23-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,23,tree,axlij,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-25-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,25,leaf,8awriq8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-28-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,28,skin,ajw~lim,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-30-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,30,blood,i8am3n,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-31-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,31,bone,ixs7,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-34-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,34,horn,iS,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-39-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,39,ear,am3zux,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-40-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,40,eye,8it7,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-41-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,41,nose,8ijnzar,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-43-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,43,tooth,uxs,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-44-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,44,tongue,irs,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-47-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,47,knee,afu8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-48-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,48,hand,afus,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-51-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,51,breast,if,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-53-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,53,liver,8asa,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-54-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,54,drink,s3w,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-57-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,57,see,anay,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-58-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,58,hear,s3l,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-61-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,61,die,m38,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-66-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,66,come,du,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-72-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,72,sun,8afuS8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-74-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,74,star,i8ri,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-75-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,75,water,aman,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-77-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,77,stone,azr7u,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-82-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,82,fire,l7afi8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-85-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,85,path,abri8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-86-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,86,mountain,Zb3l,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-92-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,92,night,i87,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-95-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,95,full,3m3r,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-96-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,96,new,uZ8i8,,
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR-100-1,TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,Tamazight Central Atlas Ayt Ndhir,100,name,ism,,
