ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TANGALE-11-1,TANGALE,Tangale,11,one,dok,,
TANGALE-12-1,TANGALE,Tangale,12,two,rap,,
TANGALE-18-1,TANGALE,Tangale,18,person,mu,,
TANGALE-19-1,TANGALE,Tangale,19,fish,wolok,,
TANGALE-21-1,TANGALE,Tangale,21,dog,b3y,,
TANGALE-22-1,TANGALE,Tangale,22,louse,SaNg~ur,,
TANGALE-23-1,TANGALE,Tangale,23,tree,fito,,
TANGALE-25-1,TANGALE,Tangale,25,leaf,wobok,,
TANGALE-28-1,TANGALE,Tangale,28,skin,kaloik,,
TANGALE-30-1,TANGALE,Tangale,30,blood,tom,,
TANGALE-31-1,TANGALE,Tangale,31,bone,wus,,
TANGALE-34-1,TANGALE,Tangale,34,horn,bw~ol,,
TANGALE-39-1,TANGALE,Tangale,39,ear,te,,
TANGALE-40-1,TANGALE,Tangale,40,eye,ido,,
TANGALE-41-1,TANGALE,Tangale,41,nose,wiSin,,
TANGALE-43-1,TANGALE,Tangale,43,tooth,wudo,,
TANGALE-44-1,TANGALE,Tangale,44,tongue,daga,,
TANGALE-47-1,TANGALE,Tangale,47,knee,fw~ofurum,,
TANGALE-51-1,TANGALE,Tangale,51,breast,widi,,
TANGALE-53-1,TANGALE,Tangale,53,liver,robo,,
TANGALE-54-1,TANGALE,Tangale,54,drink,yek,,
TANGALE-57-1,TANGALE,Tangale,57,see,me,,
TANGALE-58-1,TANGALE,Tangale,58,hear,kum,,
TANGALE-61-1,TANGALE,Tangale,61,die,toje mutu,,
TANGALE-66-1,TANGALE,Tangale,66,come,wana,,
TANGALE-72-1,TANGALE,Tangale,72,sun,fisi,,
TANGALE-74-1,TANGALE,Tangale,74,star,luwin tere,,
TANGALE-75-1,TANGALE,Tangale,75,water,am,,
TANGALE-75-2,TANGALE,Tangale,75,water,ham,,
TANGALE-77-1,TANGALE,Tangale,77,stone,fand~i,,
TANGALE-82-1,TANGALE,Tangale,82,fire,wi,,
TANGALE-85-1,TANGALE,Tangale,85,path,woko,,
TANGALE-86-1,TANGALE,Tangale,86,mountain,fand~i,,
TANGALE-92-1,TANGALE,Tangale,92,night,sum,,
TANGALE-96-1,TANGALE,Tangale,96,new,lara,,
TANGALE-100-1,TANGALE,Tangale,100,name,sumo,,
