ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TAO_SUAMATO-1-1,TAO_SUAMATO,Tao Suamato,1,I,no,,
TAO_SUAMATO-2-1,TAO_SUAMATO,Tao Suamato,2,you,go,,
TAO_SUAMATO-3-1,TAO_SUAMATO,Tao Suamato,3,we,ni,,
TAO_SUAMATO-11-1,TAO_SUAMATO,Tao Suamato,11,one,dagomolo,,
TAO_SUAMATO-12-1,TAO_SUAMATO,Tao Suamato,12,two,ukia moro,,
TAO_SUAMATO-19-1,TAO_SUAMATO,Tao Suamato,19,fish,ebi,,
TAO_SUAMATO-21-1,TAO_SUAMATO,Tao Suamato,21,dog,gaho,,
TAO_SUAMATO-22-1,TAO_SUAMATO,Tao Suamato,22,louse,oali,,
TAO_SUAMATO-25-1,TAO_SUAMATO,Tao Suamato,25,leaf,debahai,,
TAO_SUAMATO-28-1,TAO_SUAMATO,Tao Suamato,28,skin,ai pele,,
TAO_SUAMATO-30-1,TAO_SUAMATO,Tao Suamato,30,blood,rahage,,
TAO_SUAMATO-31-1,TAO_SUAMATO,Tao Suamato,31,bone,efole,,
TAO_SUAMATO-39-1,TAO_SUAMATO,Tao Suamato,39,ear,omEto,,
TAO_SUAMATO-40-1,TAO_SUAMATO,Tao Suamato,40,eye,ufiro,,
TAO_SUAMATO-41-1,TAO_SUAMATO,Tao Suamato,41,nose,dehi,,
TAO_SUAMATO-43-1,TAO_SUAMATO,Tao Suamato,43,tooth,behe,,
TAO_SUAMATO-44-1,TAO_SUAMATO,Tao Suamato,44,tongue,oda,,
TAO_SUAMATO-47-1,TAO_SUAMATO,Tao Suamato,47,knee,omu7u,,
TAO_SUAMATO-48-1,TAO_SUAMATO,Tao Suamato,48,hand,posi7i,,
TAO_SUAMATO-51-1,TAO_SUAMATO,Tao Suamato,51,breast,dolo,,
TAO_SUAMATO-54-1,TAO_SUAMATO,Tao Suamato,54,drink,bedemo,,
TAO_SUAMATO-57-1,TAO_SUAMATO,Tao Suamato,57,see,be7ai to,,
TAO_SUAMATO-58-1,TAO_SUAMATO,Tao Suamato,58,hear,bewo,,
TAO_SUAMATO-61-1,TAO_SUAMATO,Tao Suamato,61,die,detakamame,,
TAO_SUAMATO-66-1,TAO_SUAMATO,Tao Suamato,66,come,be7o vamoro,,
TAO_SUAMATO-72-1,TAO_SUAMATO,Tao Suamato,72,sun,seii,,
TAO_SUAMATO-74-1,TAO_SUAMATO,Tao Suamato,74,star,bobe,,
TAO_SUAMATO-75-1,TAO_SUAMATO,Tao Suamato,75,water,agi,,
TAO_SUAMATO-77-1,TAO_SUAMATO,Tao Suamato,77,stone,amahe,,
TAO_SUAMATO-82-1,TAO_SUAMATO,Tao Suamato,82,fire,taili,,
TAO_SUAMATO-85-1,TAO_SUAMATO,Tao Suamato,85,path,idi,,
TAO_SUAMATO-86-1,TAO_SUAMATO,Tao Suamato,86,mountain,ifia hakapu,,
TAO_SUAMATO-92-1,TAO_SUAMATO,Tao Suamato,92,night,dio,,
TAO_SUAMATO-100-1,TAO_SUAMATO,Tao Suamato,100,name,dogo,,
