ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TAQUILE-2-1,TAQUILE,Taquile,2,you,qan,,
TAQUILE-3-1,TAQUILE,Taquile,3,we,5uqanCis,,
TAQUILE-11-1,TAQUILE,Taquile,11,one,ux,,
TAQUILE-12-1,TAQUILE,Taquile,12,two,iskay,,
TAQUILE-18-1,TAQUILE,Taquile,18,person,runa,,
TAQUILE-21-1,TAQUILE,Taquile,21,dog,alqu,,
TAQUILE-22-1,TAQUILE,Taquile,22,louse,usa,,
TAQUILE-23-1,TAQUILE,Taquile,23,tree,"saC""a",,
TAQUILE-25-1,TAQUILE,Taquile,25,leaf,laph~i,,
TAQUILE-28-1,TAQUILE,Taquile,28,skin,qara,,
TAQUILE-30-1,TAQUILE,Taquile,30,blood,yawar,,
TAQUILE-31-1,TAQUILE,Taquile,31,bone,tuLu,,
TAQUILE-34-1,TAQUILE,Taquile,34,horn,waXra,,
TAQUILE-39-1,TAQUILE,Taquile,39,ear,ninri,,
TAQUILE-39-2,TAQUILE,Taquile,39,ear,rinri,,
TAQUILE-40-1,TAQUILE,Taquile,40,eye,5awi,,
TAQUILE-41-1,TAQUILE,Taquile,41,nose,sinqa,,
TAQUILE-43-1,TAQUILE,Taquile,43,tooth,kiru,,
TAQUILE-44-1,TAQUILE,Taquile,44,tongue,qaLu,,
TAQUILE-47-1,TAQUILE,Taquile,47,knee,qunqur,,
TAQUILE-48-1,TAQUILE,Taquile,48,hand,maki,,
TAQUILE-51-1,TAQUILE,Taquile,51,breast,5u5u,,
TAQUILE-51-2,TAQUILE,Taquile,51,breast,CuCu,,
TAQUILE-54-1,TAQUILE,Taquile,54,drink,upya,,
TAQUILE-57-1,TAQUILE,Taquile,57,see,riku,,
TAQUILE-58-1,TAQUILE,Taquile,58,hear,uyari,,
TAQUILE-61-1,TAQUILE,Taquile,61,die,wa5u,,
TAQUILE-66-1,TAQUILE,Taquile,66,come,hamu,,
TAQUILE-72-1,TAQUILE,Taquile,72,sun,inti,,
TAQUILE-72-2,TAQUILE,Taquile,72,sun,ruph~ay,,
TAQUILE-74-1,TAQUILE,Taquile,74,star,quyLur,,
TAQUILE-75-1,TAQUILE,Taquile,75,water,unu,,
TAQUILE-77-1,TAQUILE,Taquile,77,stone,rumi,,
TAQUILE-82-1,TAQUILE,Taquile,82,fire,nina,,
TAQUILE-85-1,TAQUILE,Taquile,85,path,5an,,
TAQUILE-86-1,TAQUILE,Taquile,86,mountain,urqu,,
TAQUILE-92-1,TAQUILE,Taquile,92,night,tuta,,
TAQUILE-92-2,TAQUILE,Taquile,92,night,"C""isi",,
TAQUILE-95-1,TAQUILE,Taquile,95,full,"hunt""a",,
TAQUILE-96-1,TAQUILE,Taquile,96,new,musuX,,
TAQUILE-100-1,TAQUILE,Taquile,100,name,suti,,
