ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TARINDING-1-1,TARINDING,Tarinding,1,I,kodi7,,
TARINDING-2-1,TARINDING,Tarinding,2,you,iko,,
TARINDING-3-1,TARINDING,Tarinding,3,we,kita,,
TARINDING-3-2,TARINDING,Tarinding,3,we,iasa7ta,,
TARINDING-18-1,TARINDING,Tarinding,18,person,tau,,
TARINDING-19-1,TARINDING,Tarinding,19,fish,bau,,
TARINDING-21-1,TARINDING,Tarinding,21,dog,asu,,
TARINDING-22-1,TARINDING,Tarinding,22,louse,kutu,,
TARINDING-22-2,TARINDING,Tarinding,22,louse,tuma,,
TARINDING-23-1,TARINDING,Tarinding,23,tree,sapontan,,
TARINDING-25-1,TARINDING,Tarinding,25,leaf,di7kayu,,
TARINDING-28-1,TARINDING,Tarinding,28,skin,lollo7,,
TARINDING-30-1,TARINDING,Tarinding,30,blood,rara,,
TARINDING-31-1,TARINDING,Tarinding,31,bone,buku,,
TARINDING-34-1,TARINDING,Tarinding,34,horn,tantu7na,,
TARINDING-39-1,TARINDING,Tarinding,39,ear,taliNa,,
TARINDING-40-1,TARINDING,Tarinding,40,eye,mata,,
TARINDING-41-1,TARINDING,Tarinding,41,nose,illoN,,
TARINDING-43-1,TARINDING,Tarinding,43,tooth,isi,,
TARINDING-44-1,TARINDING,Tarinding,44,tongue,palepa7,,
TARINDING-47-1,TARINDING,Tarinding,47,knee,ku7tu7,,
TARINDING-48-1,TARINDING,Tarinding,48,hand,lima,,
TARINDING-51-1,TARINDING,Tarinding,51,breast,susu,,
TARINDING-53-1,TARINDING,Tarinding,53,liver,ate,,
TARINDING-72-1,TARINDING,Tarinding,72,sun,mata kulla7,,
TARINDING-74-1,TARINDING,Tarinding,74,star,botikan,,
TARINDING-75-1,TARINDING,Tarinding,75,water,uai,,
TARINDING-77-1,TARINDING,Tarinding,77,stone,batu,,
TARINDING-82-1,TARINDING,Tarinding,82,fire,api,,
TARINDING-85-1,TARINDING,Tarinding,85,path,lappoan,,
TARINDING-86-1,TARINDING,Tarinding,86,mountain,tanEte,,
TARINDING-96-1,TARINDING,Tarinding,96,new,bakaru,,
