ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TCHUMBULI-11-1,TCHUMBULI,Tchumbuli,11,one,ko,,
TCHUMBULI-12-1,TCHUMBULI,Tchumbuli,12,two,a5o*,,
TCHUMBULI-18-1,TCHUMBULI,Tchumbuli,18,person,beku,,
TCHUMBULI-21-1,TCHUMBULI,Tchumbuli,21,dog,jono*,,
TCHUMBULI-23-1,TCHUMBULI,Tchumbuli,23,tree,ja,,
TCHUMBULI-30-1,TCHUMBULI,Tchumbuli,30,blood,boya,,
TCHUMBULI-31-1,TCHUMBULI,Tchumbuli,31,bone,gbowi,,
TCHUMBULI-39-1,TCHUMBULI,Tchumbuli,39,ear,sugbo,,
TCHUMBULI-40-1,TCHUMBULI,Tchumbuli,40,eye,kato,,
TCHUMBULI-43-1,TCHUMBULI,Tchumbuli,43,tooth,bwano*,,
TCHUMBULI-47-1,TCHUMBULI,Tchumbuli,47,knee,wuni,,
TCHUMBULI-48-1,TCHUMBULI,Tchumbuli,48,hand,sale,,
TCHUMBULI-54-1,TCHUMBULI,Tchumbuli,54,drink,nu,,
TCHUMBULI-57-1,TCHUMBULI,Tchumbuli,57,see,ke,,
TCHUMBULI-58-1,TCHUMBULI,Tchumbuli,58,hear,nu,,
TCHUMBULI-61-1,TCHUMBULI,Tchumbuli,61,die,hwu,,
TCHUMBULI-66-1,TCHUMBULI,Tchumbuli,66,come,ba,,
TCHUMBULI-72-1,TCHUMBULI,Tchumbuli,72,sun,Cyowi,,
TCHUMBULI-74-1,TCHUMBULI,Tchumbuli,74,star,tyekpeji,,
TCHUMBULI-75-1,TCHUMBULI,Tchumbuli,75,water,Cyu,,
TCHUMBULI-77-1,TCHUMBULI,Tchumbuli,77,stone,bu,,
TCHUMBULI-82-1,TCHUMBULI,Tchumbuli,82,fire,kpa,,
TCHUMBULI-85-1,TCHUMBULI,Tchumbuli,85,path,kpa,,
