ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TEBUL_URE-1-1,TEBUL_URE,Tebul Ure,1,I,mi,,
TEBUL_URE-11-1,TEBUL_URE,Tebul Ure,11,one,turgo,,
TEBUL_URE-12-1,TEBUL_URE,Tebul Ure,12,two,yile,,
TEBUL_URE-18-1,TEBUL_URE,Tebul Ure,18,person,5E,,
TEBUL_URE-19-1,TEBUL_URE,Tebul Ure,19,fish,ide,,
TEBUL_URE-21-1,TEBUL_URE,Tebul Ure,21,dog,Ngy$E,,
TEBUL_URE-22-1,TEBUL_URE,Tebul Ure,22,louse,karank~a,,
TEBUL_URE-23-1,TEBUL_URE,Tebul Ure,23,tree,tima,,
TEBUL_URE-25-1,TEBUL_URE,Tebul Ure,25,leaf,kula,,
TEBUL_URE-28-1,TEBUL_URE,Tebul Ure,28,skin,gudugo,,
TEBUL_URE-30-1,TEBUL_URE,Tebul Ure,30,blood,gy~ENg~e,,
TEBUL_URE-31-1,TEBUL_URE,Tebul Ure,31,bone,kina,,
TEBUL_URE-34-1,TEBUL_URE,Tebul Ure,34,horn,kila,,
TEBUL_URE-39-1,TEBUL_URE,Tebul Ure,39,ear,suno,,
TEBUL_URE-40-1,TEBUL_URE,Tebul Ure,40,eye,gire,,
TEBUL_URE-41-1,TEBUL_URE,Tebul Ure,41,nose,kinE,,
TEBUL_URE-43-1,TEBUL_URE,Tebul Ure,43,tooth,in,,
TEBUL_URE-44-1,TEBUL_URE,Tebul Ure,44,tongue,nEnd~E,,
TEBUL_URE-47-1,TEBUL_URE,Tebul Ure,47,knee,kund~ugo,,
TEBUL_URE-48-1,TEBUL_URE,Tebul Ure,48,hand,numa kEnd~E,,
TEBUL_URE-51-1,TEBUL_URE,Tebul Ure,51,breast,EnE,,
TEBUL_URE-53-1,TEBUL_URE,Tebul Ure,53,liver,kEnd~E,,
TEBUL_URE-54-1,TEBUL_URE,Tebul Ure,54,drink,5E,,
TEBUL_URE-57-1,TEBUL_URE,Tebul Ure,57,see,yi,,
TEBUL_URE-58-1,TEBUL_URE,Tebul Ure,58,hear,no,,
TEBUL_URE-61-1,TEBUL_URE,Tebul Ure,61,die,tibi,,
TEBUL_URE-66-1,TEBUL_URE,Tebul Ure,66,come,wo,,
TEBUL_URE-72-1,TEBUL_URE,Tebul Ure,72,sun,udugu,,
TEBUL_URE-74-1,TEBUL_URE,Tebul Ure,74,star,tond~o,,
TEBUL_URE-75-1,TEBUL_URE,Tebul Ure,75,water,Ngy$E,,
TEBUL_URE-77-1,TEBUL_URE,Tebul Ure,77,stone,kinu,,
TEBUL_URE-82-1,TEBUL_URE,Tebul Ure,82,fire,gu,,
TEBUL_URE-85-1,TEBUL_URE,Tebul Ure,85,path,oduba,,
TEBUL_URE-86-1,TEBUL_URE,Tebul Ure,86,mountain,koNg~o,,
TEBUL_URE-92-1,TEBUL_URE,Tebul Ure,92,night,dEnd~E,,
