ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TEDAGA-1-1,TEDAGA,Tedaga,1,I,tani,,
TEDAGA-1-2,TEDAGA,Tedaga,1,I,tarE,,
TEDAGA-2-1,TEDAGA,Tedaga,2,you,nore,,
TEDAGA-2-2,TEDAGA,Tedaga,2,you,narE,,
TEDAGA-2-3,TEDAGA,Tedaga,2,you,3nta,,
TEDAGA-2-4,TEDAGA,Tedaga,2,you,3nda,,
TEDAGA-3-1,TEDAGA,Tedaga,3,we,t3nta,,
TEDAGA-3-2,TEDAGA,Tedaga,3,we,tanta,,
TEDAGA-3-3,TEDAGA,Tedaga,3,we,tantai,,
TEDAGA-3-4,TEDAGA,Tedaga,3,we,t3nda,,
TEDAGA-3-5,TEDAGA,Tedaga,3,we,tara,,
TEDAGA-11-1,TEDAGA,Tedaga,11,one,tron,,
TEDAGA-11-2,TEDAGA,Tedaga,11,one,turon,,
TEDAGA-12-1,TEDAGA,Tedaga,12,two,cu,,
TEDAGA-12-2,TEDAGA,Tedaga,12,two,ky~u,,
TEDAGA-19-1,TEDAGA,Tedaga,19,fish,bosu,,
TEDAGA-19-2,TEDAGA,Tedaga,19,fish,fosu,,
TEDAGA-21-1,TEDAGA,Tedaga,21,dog,kedi,,
TEDAGA-22-1,TEDAGA,Tedaga,22,louse,masko,,
TEDAGA-23-1,TEDAGA,Tedaga,23,tree,akE,,
TEDAGA-23-2,TEDAGA,Tedaga,23,tree,EkE,,
TEDAGA-23-3,TEDAGA,Tedaga,23,tree,idi,,
TEDAGA-25-1,TEDAGA,Tedaga,25,leaf,koli,,
TEDAGA-25-2,TEDAGA,Tedaga,25,leaf,si,,
TEDAGA-25-3,TEDAGA,Tedaga,25,leaf,ogur,,
TEDAGA-28-1,TEDAGA,Tedaga,28,skin,asi,,
TEDAGA-28-2,TEDAGA,Tedaga,28,skin,aSye,,
TEDAGA-30-1,TEDAGA,Tedaga,30,blood,gerE,,
TEDAGA-31-1,TEDAGA,Tedaga,31,bone,suru,,
TEDAGA-31-2,TEDAGA,Tedaga,31,bone,surki,,
TEDAGA-34-1,TEDAGA,Tedaga,34,horn,yai,,
TEDAGA-34-2,TEDAGA,Tedaga,34,horn,yayi,,
TEDAGA-39-1,TEDAGA,Tedaga,39,ear,si,,
TEDAGA-39-2,TEDAGA,Tedaga,39,ear,Si,,
TEDAGA-39-3,TEDAGA,Tedaga,39,ear,sumo,,
TEDAGA-39-4,TEDAGA,Tedaga,39,ear,Sima,,
TEDAGA-40-1,TEDAGA,Tedaga,40,eye,sa,,
TEDAGA-40-2,TEDAGA,Tedaga,40,eye,sao,,
TEDAGA-40-3,TEDAGA,Tedaga,40,eye,somo,,
TEDAGA-41-1,TEDAGA,Tedaga,41,nose,ca,,
TEDAGA-41-2,TEDAGA,Tedaga,41,nose,ky~a,,
TEDAGA-43-1,TEDAGA,Tedaga,43,tooth,tei,,
TEDAGA-43-2,TEDAGA,Tedaga,43,tooth,te,,
TEDAGA-43-3,TEDAGA,Tedaga,43,tooth,tomai,,
TEDAGA-44-1,TEDAGA,Tedaga,44,tongue,triSi,,
TEDAGA-44-2,TEDAGA,Tedaga,44,tongue,t3rSe,,
TEDAGA-44-3,TEDAGA,Tedaga,44,tongue,t3rhi,,
TEDAGA-44-4,TEDAGA,Tedaga,44,tongue,tirmesu,,
TEDAGA-47-1,TEDAGA,Tedaga,47,knee,tei,,
TEDAGA-47-2,TEDAGA,Tedaga,47,knee,ti,,
TEDAGA-47-3,TEDAGA,Tedaga,47,knee,toya,,
TEDAGA-48-1,TEDAGA,Tedaga,48,hand,kobei,,
TEDAGA-48-2,TEDAGA,Tedaga,48,hand,kE,,
TEDAGA-51-1,TEDAGA,Tedaga,51,breast,tugum,,
TEDAGA-51-2,TEDAGA,Tedaga,51,breast,kunji,,
TEDAGA-53-1,TEDAGA,Tedaga,53,liver,mahan,,
TEDAGA-53-2,TEDAGA,Tedaga,53,liver,maheno,,
TEDAGA-54-1,TEDAGA,Tedaga,54,drink,ya,,
TEDAGA-57-1,TEDAGA,Tedaga,57,see,dut,,
TEDAGA-57-2,TEDAGA,Tedaga,57,see,dot,,
TEDAGA-57-3,TEDAGA,Tedaga,57,see,dit,,
TEDAGA-58-1,TEDAGA,Tedaga,58,hear,bas,,
TEDAGA-61-1,TEDAGA,Tedaga,61,die,nus,,
TEDAGA-61-2,TEDAGA,Tedaga,61,die,nos,,
TEDAGA-61-3,TEDAGA,Tedaga,61,die,nas,,
TEDAGA-66-1,TEDAGA,Tedaga,66,come,Er,,
TEDAGA-66-2,TEDAGA,Tedaga,66,come,ir,,
TEDAGA-72-1,TEDAGA,Tedaga,72,sun,eze,,
TEDAGA-72-2,TEDAGA,Tedaga,72,sun,ize,,
TEDAGA-72-3,TEDAGA,Tedaga,72,sun,zE,,
TEDAGA-74-1,TEDAGA,Tedaga,74,star,tEski,,
TEDAGA-75-1,TEDAGA,Tedaga,75,water,yi,,
TEDAGA-75-2,TEDAGA,Tedaga,75,water,iyi,,
TEDAGA-75-3,TEDAGA,Tedaga,75,water,i,,
TEDAGA-77-1,TEDAGA,Tedaga,77,stone,Ei,,
TEDAGA-77-2,TEDAGA,Tedaga,77,stone,Eyi,,
TEDAGA-77-3,TEDAGA,Tedaga,77,stone,tigi,,
TEDAGA-77-4,TEDAGA,Tedaga,77,stone,tuge,,
