ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TENHARIM-1-1,TENHARIM,Tenharim,1,I,5ihi,,
TENHARIM-2-1,TENHARIM,Tenharim,2,you,nehe,,
TENHARIM-3-1,TENHARIM,Tenharim,3,we,5a*ne,,
TENHARIM-11-1,TENHARIM,Tenharim,11,one,o5ipe5i,,
TENHARIM-12-1,TENHARIM,Tenharim,12,two,mo*ko*i,,
TENHARIM-19-1,TENHARIM,Tenharim,19,fish,pira,,
TENHARIM-21-1,TENHARIM,Tenharim,21,dog,5a*Nw~ati*Na,,
TENHARIM-22-1,TENHARIM,Tenharim,22,louse,k3,,
TENHARIM-23-1,TENHARIM,Tenharim,23,tree,iba,,
TENHARIM-25-1,TENHARIM,Tenharim,25,leaf,ka7a,,
TENHARIM-28-1,TENHARIM,Tenharim,28,skin,pira,,
TENHARIM-30-1,TENHARIM,Tenharim,30,blood,Nw~3,,
TENHARIM-31-1,TENHARIM,Tenharim,31,bone,ka*Na*,,
TENHARIM-34-1,TENHARIM,Tenharim,34,horn,a*to,,
TENHARIM-39-1,TENHARIM,Tenharim,39,ear,na*mi,,
TENHARIM-40-1,TENHARIM,Tenharim,40,eye,akw~ara,,
TENHARIM-41-1,TENHARIM,Tenharim,41,nose,ap3*5a*,,
TENHARIM-43-1,TENHARIM,Tenharim,43,tooth,aha*5a*,,
TENHARIM-44-1,TENHARIM,Tenharim,44,tongue,ko*,,
TENHARIM-47-1,TENHARIM,Tenharim,47,knee,nep37a*,,
TENHARIM-48-1,TENHARIM,Tenharim,48,hand,po,,
TENHARIM-51-1,TENHARIM,Tenharim,51,breast,ka*ma*,,
TENHARIM-53-1,TENHARIM,Tenharim,53,liver,p37a,,
TENHARIM-54-1,TENHARIM,Tenharim,54,drink,37u,,
TENHARIM-57-1,TENHARIM,Tenharim,57,see,eipe,,
TENHARIM-58-1,TENHARIM,Tenharim,58,hear,e*nu,,
TENHARIM-61-1,TENHARIM,Tenharim,61,die,mo*no*,,
TENHARIM-66-1,TENHARIM,Tenharim,66,come,ruri,,
TENHARIM-72-1,TENHARIM,Tenharim,72,sun,kw~ara,,
TENHARIM-74-1,TENHARIM,Tenharim,74,star,5ah3tata7i,,
TENHARIM-75-1,TENHARIM,Tenharim,75,water,3h3,,
TENHARIM-77-1,TENHARIM,Tenharim,77,stone,ita,,
TENHARIM-82-1,TENHARIM,Tenharim,82,fire,tata,,
TENHARIM-85-1,TENHARIM,Tenharim,85,path,pehe,,
TENHARIM-86-1,TENHARIM,Tenharim,86,mountain,3b3tera,,
TENHARIM-92-1,TENHARIM,Tenharim,92,night,3p3tu*na*,,
TENHARIM-95-1,TENHARIM,Tenharim,95,full,ha3Nw~e5i7i,,
TENHARIM-96-1,TENHARIM,Tenharim,96,new,p3ahu,,
