ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
TERMANU-1-1,TERMANU,Termanu,1,I,au,,
TERMANU-2-1,TERMANU,Termanu,2,you,o,,
TERMANU-3-1,TERMANU,Termanu,3,we,ita,,
TERMANU-11-1,TERMANU,Termanu,11,one,esa,,
TERMANU-12-1,TERMANU,Termanu,12,two,dua,,
TERMANU-18-1,TERMANU,Termanu,18,person,hataholi,,
TERMANU-19-1,TERMANU,Termanu,19,fish,i7a,,
TERMANU-21-1,TERMANU,Termanu,21,dog,busa,,
TERMANU-22-1,TERMANU,Termanu,22,louse,utu,,
TERMANU-25-1,TERMANU,Termanu,25,leaf,do,,
TERMANU-28-1,TERMANU,Termanu,28,skin,louk,,
TERMANU-28-2,TERMANU,Termanu,28,skin,lou,,
TERMANU-30-1,TERMANU,Termanu,30,blood,da,,
TERMANU-31-1,TERMANU,Termanu,31,bone,dui,,
TERMANU-39-1,TERMANU,Termanu,39,ear,di7i do,,
TERMANU-40-1,TERMANU,Termanu,40,eye,mata,,
TERMANU-41-1,TERMANU,Termanu,41,nose,pana,,
TERMANU-43-1,TERMANU,Termanu,43,tooth,nisi,,
TERMANU-44-1,TERMANU,Termanu,44,tongue,ma,,
TERMANU-48-1,TERMANU,Termanu,48,hand,lima,,
TERMANU-51-1,TERMANU,Termanu,51,breast,su7u,,
TERMANU-53-1,TERMANU,Termanu,53,liver,ate,,
TERMANU-54-1,TERMANU,Termanu,54,drink,inu,,
TERMANU-57-1,TERMANU,Termanu,57,see,ita,,
TERMANU-58-1,TERMANU,Termanu,58,hear,nene,,
TERMANU-61-1,TERMANU,Termanu,61,die,mate,,
TERMANU-66-1,TERMANU,Termanu,66,come,mai,,
TERMANU-74-1,TERMANU,Termanu,74,star,nd~uk,,
TERMANU-75-1,TERMANU,Termanu,75,water,oe,,
TERMANU-77-1,TERMANU,Termanu,77,stone,batu,,
TERMANU-82-1,TERMANU,Termanu,82,fire,a7i,,
TERMANU-85-1,TERMANU,Termanu,85,path,eno,,
TERMANU-92-1,TERMANU,Termanu,92,night,le7odaek,,
TERMANU-96-1,TERMANU,Termanu,96,new,beu,,
TERMANU-100-1,TERMANU,Termanu,100,name,nade,,
